snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
no_noise,2025.06.18_0.3_3,index=1.0,20,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,7003514435.7246065,3742238564.9954977,6810849572.950632,3565942184.147875,62728.80859375,62728.80859517,3934903427.7694736,0,0,120751.09375,120751.09375142,14580826642.164223,0,0,70721.390625,70721.39062642,5001515092.134687,0,0,103661.72389279326,103661.72389421327,10745753000.720106,0,0,84733.76432291667,84733.76432433668,7179810816.572231,0,0
no_noise,2025.06.18_0.3_3,index=1.0,21,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10628004196.445314,4570738784.884932,11163327281.92498,6308210089.513626,63524.921875,63524.92187642,4035415699.405264,0,0,149643.0,149643.00000142,22393027449.424988,0,0,69700.9453125,69700.94531392,4858221777.654067,0,0,123283.18206868331,123283.18207010331,15198742981.330244,0,0,94289.62239583333,94289.62239725333,8890532891.816618,0,0
no_noise,2025.06.18_0.3_3,index=1.0,22,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10232010234.252728,5272758935.2116375,10834354839.398148,5429465956.934824,68340.4296875,68340.42968892,4670414330.066218,0,0,146069.125,146069.12500142,21336189278.68046,0,0,86717.875,86717.87500142,7519989844.761905,0,0,124518.14795085386,124518.14795227387,15504769169.464365,0,0,100375.80989583333,100375.80989725333,10075303212.529541,0,0
no_noise,2025.06.18_0.3_3,index=1.0,23,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12067402000.636744,3896868692.6204624,13889556801.166162,7872716771.3672905,64078.90234375,64078.90234517,4106105725.761833,0,0,160231.265625,160231.26562642,25674058484.244366,0,0,45549.02734375,45549.02734517,2074713892.0910442,0,0,126349.79498558109,126349.79498700109,15964270693.257206,0,0,89953.06510416667,89953.06510558668,8091553921.889915,0,0
no_noise,2025.06.18_0.3_3,index=1.0,24,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,9860815140.535942,4891840188.13223,11444335453.864183,5454302924.486832,57517.99609375,57517.99609517,3308319874.8039913,0,0,143452.828125,143452.82812642,20578713897.468197,0,0,88313.0703125,88313.07031392,7799198388.2713785,0,0,121460.5093366697,121460.5093380897,14752655328.668175,0,0,96427.96484375,96427.96484517,9298352404.181343,0,0
no_noise,2025.06.18_0.3_3,index=1.0,25,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,15641013832.11807,5969508251.07731,17822461947.16024,9893213937.934595,61547.21875,61547.21875142,3788060136.0351453,0,0,181897.203125,181897.20312642,33086592505.2141,0,0,81295.125,81295.12500142,6608897348.996504,0,0,147005.1770611426,147005.1770625626,21610522083.195385,0,0,108246.515625,108246.51562642,11717308145.26079,0,0
no_noise,2025.06.18_0.3_3,index=1.0,26,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10837830584.459614,6868704898.688888,13382271934.709736,4690007382.82449,65759.1328125,65759.13281392,4324263548.43877,0,0,148568.3125,148568.31250142,22072543479.519592,0,0,127942.5546875,127942.55468892,16369297300.327286,0,0,133065.9065379656,133065.9065393856,17706535483.148506,0,0,114090.0,114090.00000142,13016528100.324017,0,0
no_noise,2025.06.18_0.3_3,index=1.0,27,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,13466177624.140116,6048515974.701229,15224688708.43559,7896726683.951857,65498.12890625,65498.12890767,4290004890.405756,0,0,168181.609375,168181.60937642,28285053732.442726,0,0,89680.28125,89680.28125142,8042552845.333795,0,0,139695.00205248795,139695.00205390796,19514693598.841347,0,0,107786.67317708333,107786.67317850333,11617966914.88949,0,0
no_noise,2025.06.18_0.3_3,index=1.0,28,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10205685302.061136,4485800115.191337,10455752593.903517,5970532638.818853,65082.5078125,65082.50781392,4235732823.3489575,0,0,146579.09375,146579.09375142,21485430724.987576,0,0,68496.5234375,68496.52343892,4691773723.218517,0,0,121208.43789484394,121208.43789626395,14691485417.252474,0,0,93386.04166666667,93386.04166808668,8720952778.43362,0,0
no_noise,2025.06.18_0.3_3,index=1.0,29,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,5787526283.679583,2567878954.069335,6658649153.103966,3255792491.1137094,62680.33984375,62680.33984517,3928825003.1060057,0,0,110362.6796875,110362.67968892,12179921068.119156,0,0,41191.69921875,41191.69922017,1696756084.6449535,0,0,91407.9057712697,91407.9057726897,8355405237.7489195,0,0,71411.57291666667,71411.57291808668,5099612746.63521,0,0
no_noise,2025.06.18_0.3_3,index=1.0,30,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,11002059925.668598,6557383502.344629,14326240787.832148,5210277286.429287,56861.2578125,56861.25781392,3233202640.181078,0,0,149995.296875,149995.29687642,22498589085.045372,0,0,126523.8515625,126523.85156392,16008285014.568863,0,0,132512.0501223828,132512.0501238028,17559443428.013226,0,0,111126.80208333333,111126.80208475333,12349166141.583939,0,0
no_noise,2025.06.18_0.3_3,index=1.0,31,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,9261077941.005335,2908842316.528509,10905413047.11228,6051181325.191531,58707.9296875,58707.92968892,3446621008.3591743,0,0,140399.265625,140399.26562642,19711953788.43804,0,0,35559.91015625,35559.91015767,1264507210.421562,0,0,110317.36154033299,110317.361541753,12169920257.533842,0,0,78222.36848958333,78222.36849100333,6118738932.342311,0,0
no_noise,2025.06.18_0.3_3,index=1.0,32,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12454332516.691309,4969454858.444363,14101847359.209719,7732245780.477823,57636.2734375,57636.27343892,3321940015.925955,0,0,162181.71875,162181.71875142,26302909897.1647,0,0,75518.890625,75518.89062642,5703102841.445188,0,0,131999.19459890955,131999.19460032956,17423787375.135674,0,0,98445.62760416667,98445.62760558668,9691541594.65785,0,0
no_noise,2025.06.18_0.3_3,index=1.0,33,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,13061170494.88131,5770010273.453445,15362125839.090803,7775027111.444317,58898.68359375,58898.68359517,3469054929.2439475,0,0,165633.46875,165633.46875142,27434445970.62763,0,0,90912.5859375,90912.58593892,8265098282.101516,0,0,137226.74946214032,137226.74946356032,18831180768.33475,0,0,105148.24609375,105148.24609517,11056153656.890434,0,0
no_noise,2025.06.18_0.3_3,index=1.0,34,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,8354245238.256591,4326591335.476102,9472400044.19292,4458358614.398317,56643.0625,56643.06250142,3208436529.5397725,0,0,131880.375,131880.37500142,17392433310.515167,0,0,83510.203125,83510.20312642,6973954026.21593,0,0,112609.22064117521,112609.22064259522,12680836573.732693,0,0,90677.88020833333,90677.88020975333,8222477959.334375,0,0
no_noise,2025.06.18_0.3_3,index=1.0,35,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,16010858378.699863,7349451450.88199,19128788525.86059,9352201921.94282,65050.14453125,65050.14453267,4231521303.7212563,0,0,183155.9375,183155.93750142,33546097442.02407,0,0,106861.4765625,106861.47656392,11419375173.421225,0,0,152840.79896790575,152840.79896932576,23360309829.58185,0,0,118355.85286458333,118355.85286600333,14008107907.639029,0,0
no_noise,2025.06.18_0.3_3,index=1.0,36,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,7064769562.152983,3066089022.1014624,7381967610.806654,4122784168.1686945,58096.05859375,58096.05859517,3375152024.2934256,0,0,122009.3828125,122009.38281392,14886289494.633678,0,0,52429.8671875,52429.86718892,2748890973.4477897,0,0,100652.16631532871,100652.16631674871,10130858584.254444,0,0,77511.76953125,77511.76953267,6008074416.08575,0,0
no_noise,2025.06.18_0.3_3,index=1.0,37,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10525413373.401606,4313745858.865458,12267068764.325184,6489083280.44505,50715.78125,50715.78125142,2572090467.941884,0,0,148969.34375,148969.34375142,22191865377.728737,0,0,74451.125,74451.12500142,5542970013.977067,0,0,121816.08773852946,121816.08773994946,14839159232.267067,0,0,91378.75,91378.75000142,8350075951.822017,0,0
