before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_before,sse_after,sse_reduction_w_m2_squared
-8,-16,randomforest,index=13.496023,496023.3525,above_onb,60,85615071423.55865,86990096120.73036,-1375024697.1717072
-8,-16,conformer,index=13.496023,496023.3525,above_onb,60,61829053979.36111,58161798785.61859,3667255193.7425156
-8,-16,alexnet,index=13.496023,496023.3525,above_onb,60,163966476877.69305,154841705398.86313,9124771478.829926
-8,-16,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,73172095408.40295,64384956408.92847,8787138999.474487
-8,-16,equal_offline,index=13.496023,496023.3525,above_onb,60,83206539091.88548,78093242144.28168,5113296947.603806
-8,-16,randomforest,index=14.562158,562158.7854,above_onb,60,117587906645.88533,116305072641.46184,1282834004.4234924
-8,-16,conformer,index=14.562158,562158.7854,above_onb,60,74492568440.0485,48739872675.76321,25752695764.285286
-8,-16,alexnet,index=14.562158,562158.7854,above_onb,60,68426512920.60659,135542986549.19574,-67116473628.58915
-8,-16,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,31648639401.302532,53887926008.76009,-22239286607.45756
-8,-16,equal_offline,index=14.562158,562158.7854,above_onb,60,38771292601.26975,71613719615.28917,-32842427014.019417
-8,-16,randomforest,index=15.633482,633482.536,above_onb,60,158785956652.5548,164156400957.4035,-5370444304.848694
-8,-16,conformer,index=15.633482,633482.536,above_onb,60,110045510623.61485,37996496437.441795,72049014186.17307
-8,-16,alexnet,index=15.633482,633482.536,above_onb,60,33282570178.252884,143983131243.9434,-110700561065.6905
-8,-16,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,26960616760.664772,39372276340.20189,-12411659579.537117
-8,-16,equal_offline,index=15.633482,633482.536,above_onb,60,28063253673.99585,64817546966.740364,-36754293292.744514
-8,-16,randomforest,index=16.709792,709792.7143,above_onb,60,215132871987.4754,208539714056.68817,6593157930.787231
-8,-16,conformer,index=16.709792,709792.7143,above_onb,60,98247078985.02353,37578030212.68626,60669048772.33727
-8,-16,alexnet,index=16.709792,709792.7143,above_onb,60,55000890343.405464,260991106964.93704,-205990216621.5316
-8,-16,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,21290727861.7215,52011331851.1847,-30720603989.4632
-8,-16,equal_offline,index=16.709792,709792.7143,above_onb,60,33285695050.732876,98629014152.10725,-65343319101.374374
-8,-16,randomforest,index=17.789500,789500.1968,above_onb,60,645165148400.3647,647621250717.0006,-2456102316.6358643
-8,-16,conformer,index=17.789500,789500.1968,above_onb,60,25900462214.89496,31330942096.851044,-5430479881.956085
-8,-16,alexnet,index=17.789500,789500.1968,above_onb,60,169585146163.2172,465359588647.75714,-295774442484.5399
-8,-16,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,59272040977.77793,134589382640.4457,-75317341662.66776
-8,-16,equal_offline,index=17.789500,789500.1968,above_onb,60,138787415228.44208,256095526876.87756,-117308111648.43549
-8,-16,randomforest,index=18.873637,873637.0359,above_onb,60,1641391059675.4373,1644690324436.2046,-3299264760.767334
-8,-16,conformer,index=18.873637,873637.0359,above_onb,60,70608395924.9683,99120944741.80637,-28512548816.83806
-8,-16,alexnet,index=18.873637,873637.0359,above_onb,60,647623561557.3954,1073966441071.013,-426342879513.61755
-8,-16,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,375781814894.902,469182477002.99994,-93400662108.09796
-8,-16,equal_offline,index=18.873637,873637.0359,above_onb,60,593564290668.9397,747315483343.8533,-153751192674.91357
-8,-16,randomforest,index=2.2380,2380.025286,below_onb,60,327651789388.14465,312551641227.7816,15100148160.363037
-8,-16,conformer,index=2.2380,2380.025286,below_onb,60,43094070283.5204,492541178119.8497,-449447107836.3293
-8,-16,alexnet,index=2.2380,2380.025286,below_onb,60,253688662768.23615,52431921091.91702,201256741676.31912
-8,-16,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,106140589068.07887,300603959014.9629,-194463369946.88403
-8,-16,equal_offline,index=2.2380,2380.025286,below_onb,60,152519936919.59167,223247693182.2769,-70727756262.68521
-8,-16,randomforest,index=3.21242,21242.86319,below_onb,60,149576484533.88406,170568816395.26205,-20992331861.37799
-8,-16,conformer,index=3.21242,21242.86319,below_onb,60,27182641551.319595,312046868968.2241,-284864227416.90454
-8,-16,alexnet,index=3.21242,21242.86319,below_onb,60,184522835101.75116,38588394155.68076,145934440946.0704
-8,-16,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,44734849786.70311,163454640767.89984,-118719790981.19673
-8,-16,equal_offline,index=3.21242,21242.86319,below_onb,60,71508628612.71649,108179109728.3384,-36670481115.6219
-8,-16,randomforest,index=4.58389,58389.85471,below_onb,60,12761587278.616776,15531805243.53169,-2770217964.914915
-8,-16,conformer,index=4.58389,58389.85471,below_onb,60,211600549366.03796,67994242887.0948,143606306478.94318
-8,-16,alexnet,index=4.58389,58389.85471,below_onb,60,46634504602.96786,110815661850.35977,-64181157247.391914
-8,-16,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,60148330910.97335,16869385904.669168,43278945006.304184
-8,-16,equal_offline,index=4.58389,58389.85471,below_onb,60,27680057331.155087,7592024590.565588,20088032740.5895
-8,-16,randomforest,index=5.113188,113188.2901,below_onb,60,123405840343.0247,122343851682.5334,1061988660.4913025
-8,-16,conformer,index=5.113188,113188.2901,below_onb,60,1197402756123.406,86459816783.03339,1110942939340.3726
-8,-16,alexnet,index=5.113188,113188.2901,below_onb,60,597566371243.0089,452088403837.2821,145477967405.7268
-8,-16,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,681193483331.787,128809260667.23035,552384222664.5566
-8,-16,equal_offline,index=5.113188,113188.2901,below_onb,60,504745268556.5052,169050633235.35443,335694635321.15076
-8,-16,randomforest,index=6.146381,146381.6505,below_onb,60,350825724671.0417,308857988980.0578,41967735690.98389
-8,-16,conformer,index=6.146381,146381.6505,below_onb,60,2163443473526.9321,217078426690.5075,1946365046836.4246
-8,-16,alexnet,index=6.146381,146381.6505,below_onb,60,1371460413881.4314,895939686689.502,475520727191.92944
-8,-16,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,1433260431197.8228,326128091775.99805,1107132339421.8247
-8,-16,equal_offline,index=6.146381,146381.6505,below_onb,60,1153951338704.5303,406629178882.9055,747322159821.6248
-8,-16,randomforest,index=7.184190,184190.9699,below_onb,60,761755583746.6593,710116291263.9346,51639292482.72473
-8,-16,conformer,index=7.184190,184190.9699,below_onb,60,2634296921908.764,597513856405.9772,2036783065502.787
-8,-16,alexnet,index=7.184190,184190.9699,below_onb,60,1887448648299.3972,1563917803978.225,323530844321.1721
-8,-16,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,1929601269638.0916,774790560830.3607,1154810708807.731
-8,-16,equal_offline,index=7.184190,184190.9699,below_onb,60,1648447405291.2805,890597182787.1583,757850222504.1222
-8,-16,randomforest,index=8.225704,225704.9618,below_onb,60,1423508558416.8003,1343119153220.364,80389405196.43628
-8,-16,conformer,index=8.225704,225704.9618,below_onb,60,2387911403476.664,1167825088528.6328,1220086314948.0312
-8,-16,alexnet,index=8.225704,225704.9618,below_onb,60,1898231739829.7402,2511102191273.716,-612870451443.9756
-8,-16,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,1998915393879.1243,1439262926480.488,559652467398.6362
-8,-16,equal_offline,index=8.225704,225704.9618,below_onb,60,1849288211530.283,1605547064951.135,243741146579.14795
-8,-16,randomforest,index=9.271677,271677.6816,near_onb,60,1810871282318.218,1941813805698.173,-130942523379.95508
-8,-16,conformer,index=9.271677,271677.6816,near_onb,60,3244786535846.7515,1656512558682.0615,1588273977164.69
-8,-16,alexnet,index=9.271677,271677.6816,near_onb,60,2750470752126.446,3063465654463.119,-312994902336.67334
-8,-16,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,2726722880859.6235,1961093499743.7642,765629381115.8594
-8,-16,equal_offline,index=9.271677,271677.6816,near_onb,60,2512350526731.1143,2143571879130.7793,368778647600.33496
-8,-20,randomforest,index=1.0,-1.42e-06,below_onb,60,291111090249.2786,337415604867.6566,-46304514618.37799
-8,-20,conformer,index=1.0,-1.42e-06,below_onb,60,117139059132.50264,75178270317.22421,41960788815.27843
-8,-20,alexnet,index=1.0,-1.42e-06,below_onb,60,529711459318.1411,712516449259.7108,-182804989941.5697
-8,-20,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,213649512546.98715,273535290500.73264,-59885777953.74548
-8,-20,equal_offline,index=1.0,-1.42e-06,below_onb,60,263085010343.8994,281944158989.52673,-18859148645.62732
-8,-20,randomforest,index=10.322114,322114.2428,above_onb,60,2382052554866.3457,2454058069915.869,-72005515049.52344
-8,-20,conformer,index=10.322114,322114.2428,above_onb,60,3699059574604.408,3713411561283.2603,-14351986678.85205
-8,-20,alexnet,index=10.322114,322114.2428,above_onb,60,3429258167561.838,1767171114327.0095,1662087053234.8284
-8,-20,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,3275235762566.711,2562947697841.342,712288064725.3691
