before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-16,alexnet,index=3.21242,below_onb,145934440946.070404,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=4.58389,below_onb,-64181157247.391891,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=5.113188,below_onb,145477967405.726837,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=6.146381,below_onb,475520727191.928955,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=7.184190,below_onb,323530844321.171509,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=8.225704,below_onb,-612870451443.977417,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=9.271677,onb_or_above,-312994902336.674072,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,ensemble__inner_holdout,index=1.0,below_onb,-102861821366.833298,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=10.322114,onb_or_above,803066591365.718262,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=11.376320,onb_or_above,210808402390.042847,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=12.434018,onb_or_above,66844329698.954758,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=13.496023,onb_or_above,8787138999.474470,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=14.562158,onb_or_above,-22239286607.457561,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=15.633482,onb_or_above,-12411659579.537130,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=16.709792,onb_or_above,-30720603989.463196,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=17.789500,onb_or_above,-75317341662.667831,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=18.873637,onb_or_above,-93400662108.097839,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=2.2380,below_onb,-194463369946.883820,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=3.21242,below_onb,-118719790981.196808,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=4.58389,below_onb,43278945006.304184,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=5.113188,below_onb,552384222664.556763,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=6.146381,below_onb,1107132339421.824951,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=7.184190,below_onb,1154810708807.730713,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=8.225704,below_onb,559652467398.636841,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
-8,-16,ensemble__inner_holdout,index=9.271677,onb_or_above,765629381115.859863,4622259990626.966797,10,8,3001213701004.141113,1621046289622.823486
