selection,snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=7.184190,32,184190.9699,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,718227219.324232,202942936.7489142,174271085.1038301,-601214545.5127339,57688.8046875,-126502.1652125,16002797803.450644,0,0,156861.515625,-27329.454274999996,746899070.9693155,0,0,220969.34375,36778.37385,1352648783.050364,0,0,153840.18480186546,-30350.78509813454,921170156.0731456,0,0,145173.22135416666,-39017.74854583334,1522384701.5858796,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=7.184190,19,184190.9699,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,5819935467.751794,4687554493.881619,6743252237.983458,640830014.467701,55005.53515625,-129185.43474375,16688876549.931688,0,0,76736.6015625,-107454.3683375,11546441274.811121,0,0,122837.5859375,-61353.3839625,3764237723.649952,0,0,81684.92148512152,-102506.04841487847,10507489961.63341,0,0,84859.90755208333,-99331.06234791667,9866659947.165709,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=8.225704,54,225704.9618,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6179873430.775977,-5202555537.256676,-8888178253.639181,-1885126278.8841217,57721.46484375,-167983.49695625,28218455249.650448,0,0,332508.21875,106803.25695000001,11406935695.127726,0,1,126379.7578125,-99325.20398749999,9865496147.158484,0,0,256967.04575995542,31262.08395995543,977317893.5193026,0,0,172203.14713541666,-53501.81466458333,2862444172.4034243,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=8.225704,37,225704.9618,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,4789264778.976663,7925420830.327316,6080123531.937448,-8504538905.607105,67471.3046875,-158233.6571125,25037890243.19622,0,0,144252.140625,-81452.82117499999,6634562077.366527,0,0,28386.83984375,-197318.12195625,38934441252.341545,0,0,112945.54707420437,-112759.41472579562,12714685609.303974,0,0,80036.76171875,-145668.20008125,21219224514.91108,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=9.271677,37,271677.6816,near_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,2837716241.0136275,-2724497205.349186,-4540745905.582199,-2881405003.61355,117842.9765625,-153834.7050375,23665116473.974632,1,0,339897.65625,68219.97464999999,4653964941.246641,0,0,193122.9375,-78554.74410000001,6170847820.616487,1,0,282318.1249960452,10640.443396045186,113219035.66444162,0,0,216954.5234375,-54723.15816250001,2994624039.277992,1,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=9.271677,4,271677.6816,near_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,13014242896.910877,17852117938.745255,9054852611.480072,-11292638287.1936,51903.4296875,-219774.2519125,48300721803.69901,1,0,123990.484375,-147687.197225,21811508224.176052,1,0,23159.4296875,-248518.2519125,61761321533.64481,1,0,95989.43260293099,-175688.24899706902,30866360835.656124,1,0,66351.11458333333,-205326.5670166667,42158999122.849724,1,0
ensemble_best_vs_all_singles,-8,2025.06.18_0.3_3,index=1.0,5,-1.42e-06,below_onb,0.21586592770911422,0.515518634944208,0.2686154373466777,467494050.12233454,-221654915.01160148,-169220471.32373238,-683402970.1601815,73092.1328125,73092.13281392,5342459879.287722,0,0,-20373.01171875,-20373.01171733,415059606.4344654,0,0,38731.296875,38731.29687642,1500113357.7293816,0,0,15679.258115937882,15679.258117357882,245839135.11073303,0,0,30483.47265625,30483.47265767,929242105.2709146,0,0
ensemble_worst_vs_best_single,-8,2025.06.18_0.3_3,index=1.0,26,-1.42e-06,below_onb,0.21586592770911422,0.515518634944208,0.2686154373466777,4409610032.188299,6147938517.920124,4623684521.461675,895584185.994194,77031.578125,77031.57812642,5933864028.646749,0,0,111794.46875,111794.46875142,12498003243.412224,0,0,106059.828125,106059.82812642,11248687142.205751,0,0,102749.9321158735,102749.9321172935,10557548550.108423,0,0,98295.29166666667,98295.29166808668,9661964364.11423,0,0
ensemble_best_vs_all_singles,-8,2025.06.18_0.3_3,index=10.322114,24,322114.2428,above_onb,0.21586592770911422,0.515518634944208,0.2686154373466777,1293260373.4062183,12136423.330811977,-1455653234.7685769,695010459.1492603,374659.9375,52545.69469999999,2761050031.505607,0,0,267642.375,-54471.86780000001,2967184381.6206775,1,0,249922.421875,-72191.820925,5211659008.467269,1,0,285983.9674517961,-36130.2753482039,1305396796.7370303,0,0,297408.2447916667,-24705.99800833332,610386337.58777,0,0
ensemble_worst_vs_best_single,-8,2025.06.18_0.3_3,index=10.322114,57,322114.2428,above_onb,0.21586592770911422,0.515518634944208,0.2686154373466777,43503527098.37513,60497968436.94313,50324453802.12761,9008927797.912262,90431.1796875,-231683.0631125,53677041733.19066,1,0,-27597.705078125,-349711.947878125,122298446488.71242,1,0,-21116.67578125,-343230.91858125,117807463470.12868,1,0,-378.3858526845097,-322492.6286526845,104001495535.31827,1,0,13905.599609375,-308208.643190625,94992567737.406,1,0
