day,role,feature,heat_flux,q_ratio,threshold_db,median_db,n,kept
2025.06.11_0.3_2,training,band_10000_15000_db,624442.5514,1.6923566546042077,-73.54875972919895,-54.84341846445167,60,60
2025.06.11_0.3_2,training,band_10000_15000_db,698421.296,1.8928529539713477,-73.54875972919895,-52.67153833487025,60,60
2025.06.11_0.3_2,training,band_10000_15000_db,776647.2223,2.104859913842313,-73.54875972919895,-50.92652116719453,60,60
2025.06.11_0.3_2,training,band_10000_15000_db,859343.9142,2.3289834886002247,-73.54875972919895,-49.440798915128994,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,0.000328047,8.890690140001667e-10,-74.08183755961217,-87.30656591409232,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,2355.33535,0.0063834013945082,-74.08183755961217,-85.73457299894531,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,20979.71604,0.0568589728108663,-74.08183755961217,-85.87051132644523,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,57593.31665,0.1560887106024895,-74.08183755961217,-85.87907085534712,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,111264.7017,0.3015482495905821,-74.08183755961217,-85.78396802387735,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,144324.2618,0.391145869752895,-74.08183755961217,-85.96003161184015,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,181378.003,0.49156847125116,-74.08183755961217,-85.96312814578897,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,221505.1102,0.6003204721320795,-74.08183755961217,-85.56307197697012,60,0
2025.06.11_0.3_2,training,band_15000_22050_db,266907.6965,0.7233700127003472,-74.08183755961217,-84.53516467834496,60,1
2025.06.11_0.3_2,training,band_15000_22050_db,315466.1173,0.854972457783098,-74.08183755961217,-83.86586460559,60,5
2025.06.11_0.3_2,training,band_15000_22050_db,368978.105,1.0,-74.08183755961217,-70.84725000767617,60,50
2025.06.11_0.3_2,training,band_15000_22050_db,427276.195,1.1579987788164288,-74.08183755961217,-65.48677327792893,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,489453.9981,1.3265123091788875,-74.08183755961217,-60.998732798641115,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,554196.3218,1.501976172271794,-74.08183755961217,-57.65506600156725,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,624442.5514,1.6923566546042077,-74.08183755961217,-55.81341365809038,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,698421.296,1.8928529539713477,-74.08183755961217,-53.7189035066629,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,776647.2223,2.104859913842313,-74.08183755961217,-52.33567259679876,60,60
2025.06.11_0.3_2,training,band_15000_22050_db,859343.9142,2.3289834886002247,-74.08183755961217,-51.07289472219597,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,0.000328047,8.890690140001667e-10,-52.28999599822421,-78.25999101698949,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,2355.33535,0.0063834013945082,-52.28999599822421,-75.8962028006303,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,20979.71604,0.0568589728108663,-52.28999599822421,-75.9724213839381,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,57593.31665,0.1560887106024895,-52.28999599822421,-75.79738904583145,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,111264.7017,0.3015482495905821,-52.28999599822421,-75.9560101684424,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,144324.2618,0.391145869752895,-52.28999599822421,-76.17934164117698,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,181378.003,0.49156847125116,-52.28999599822421,-76.56454880997384,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,221505.1102,0.6003204721320795,-52.28999599822421,-78.83007469706499,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,266907.6965,0.7233700127003472,-52.28999599822421,-63.18190345582226,60,0
2025.06.11_0.3_2,training,band_1000_5000_db,315466.1173,0.854972457783098,-52.28999599822421,-57.36434876262538,60,6
2025.06.11_0.3_2,training,band_1000_5000_db,368978.105,1.0,-52.28999599822421,-48.926156220608775,60,50
2025.06.11_0.3_2,training,band_1000_5000_db,427276.195,1.1579987788164288,-52.28999599822421,-42.69756908363132,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,489453.9981,1.3265123091788875,-52.28999599822421,-39.65027883439407,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,554196.3218,1.501976172271794,-52.28999599822421,-36.746264574341424,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,624442.5514,1.6923566546042077,-52.28999599822421,-34.475342503472035,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,698421.296,1.8928529539713477,-52.28999599822421,-32.72986303235351,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,776647.2223,2.104859913842313,-52.28999599822421,-31.409785247403867,60,60
2025.06.11_0.3_2,training,band_1000_5000_db,859343.9142,2.3289834886002247,-52.28999599822421,-30.210331828515173,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,0.000328047,8.890690140001667e-10,-53.72065419027487,-81.67921134019068,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,2355.33535,0.0063834013945082,-53.72065419027487,-79.28008452971068,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,20979.71604,0.0568589728108663,-53.72065419027487,-79.45212023562975,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,57593.31665,0.1560887106024895,-53.72065419027487,-79.16985354046062,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,111264.7017,0.3015482495905821,-53.72065419027487,-79.29799199310096,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,144324.2618,0.391145869752895,-53.72065419027487,-79.42226658407253,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,181378.003,0.49156847125116,-53.72065419027487,-79.83934975825517,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,221505.1102,0.6003204721320795,-53.72065419027487,-81.99975092011374,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,266907.6965,0.7233700127003472,-53.72065419027487,-64.89267012861117,60,0
2025.06.11_0.3_2,training,band_2000_5000_db,315466.1173,0.854972457783098,-53.72065419027487,-58.6846055774735,60,6
2025.06.11_0.3_2,training,band_2000_5000_db,368978.105,1.0,-53.72065419027487,-49.81528670258848,60,52
2025.06.11_0.3_2,training,band_2000_5000_db,427276.195,1.1579987788164288,-53.72065419027487,-43.903842941126484,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,489453.9981,1.3265123091788875,-53.72065419027487,-40.885803685020484,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,554196.3218,1.501976172271794,-53.72065419027487,-37.90693323945652,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,624442.5514,1.6923566546042077,-53.72065419027487,-35.52566017260332,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,698421.296,1.8928529539713477,-53.72065419027487,-33.79469799955692,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,776647.2223,2.104859913842313,-53.72065419027487,-32.43305672474627,60,60
2025.06.11_0.3_2,training,band_2000_5000_db,859343.9142,2.3289834886002247,-53.72065419027487,-31.143691216607,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,-1.42e-06,-3.773383149491613e-12,-65.81047562030906,-84.43236057681305,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,2380.025286,0.0063244699363072,-65.81047562030906,-81.52267573934857,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,21242.86319,0.0564489169071138,-65.81047562030906,-81.59389307114645,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,58389.85471,0.1551600661013926,-65.81047562030906,-81.65747935157907,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,113188.2901,0.3007766102697946,-65.81047562030906,-76.56133360805421,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,146381.6505,0.3889817277404722,-65.81047562030906,-77.27591120377912,60,0
