experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.18_0.3_3,index=8.225704,25,25.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0025.npy,376320.1201,0.5997685208540621,1.2830570195501049e-08,-84.18122149569115,-85.00418815990159,-86.8068933554447,-90.35552683397728,-90.65966923451461,-93.30181900151265,-88.73692343610821,-82.09953504122426,-85.21811602219233
2025.06.18_0.3_3,index=8.225704,26,26.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0026.npy,376320.1201,0.5997685208540621,1.3424193805859735e-08,-84.06077812547151,-84.92267322602706,-86.74714211463754,-88.95273612174239,-90.38098949441135,-93.17311166308713,-88.86521766430626,-81.80017515707897,-84.70110274279365
2025.06.18_0.3_3,index=8.225704,27,27.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0027.npy,376320.1201,0.5997685208540621,1.2729513866963051e-08,-84.14868334478619,-85.07697980731041,-86.8740021724657,-90.39227088738109,-90.64851130768085,-93.3337370035245,-88.7411681462681,-82.16500073021376,-85.27589913626835
2025.06.18_0.3_3,index=8.225704,28,28.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0028.npy,376320.1201,0.5997685208540621,1.3348312754545918e-08,-84.01090820082919,-84.83846710992029,-86.63167304627783,-89.39619554277735,-90.02961802183839,-93.10966755716802,-88.79512142651541,-81.80249798424126,-84.78727959957271
2025.06.18_0.3_3,index=8.225704,29,29.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0029.npy,376320.1201,0.5997685208540621,1.2886700237349614e-08,-84.24547762003932,-84.87705751684857,-86.74737384389209,-90.0656372474113,-90.55660475199747,-93.07860537696345,-88.90881681148906,-81.9703182041492,-85.0867087335746
2025.06.18_0.3_3,index=8.225704,30,30.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0030.npy,376320.1201,0.5997685208540621,1.296951174076419e-08,-84.21007344024355,-84.85228874987743,-86.62059345637785,-90.08542002595061,-90.76684859030686,-93.2349085204367,-88.76081332874962,-81.91814829169482,-85.0059671831751
2025.06.18_0.3_3,index=8.225704,31,31.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0031.npy,376320.1201,0.5997685208540621,1.2782992395563966e-08,-84.18815623890815,-85.01639528394057,-86.79818508592057,-90.1200381746903,-90.46134249099009,-93.17105676908804,-88.64032250819554,-82.0667976067545,-85.13866033321003
2025.06.18_0.3_3,index=8.225704,32,32.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0032.npy,376320.1201,0.5997685208540621,1.2909672862344958e-08,-84.11787875461988,-85.00058696435923,-86.7746231724925,-89.87244644487885,-90.65050290204067,-93.236494302378,-88.72975718529293,-82.01128724435158,-85.04268947752662
2025.06.18_0.3_3,index=8.225704,33,33.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0033.npy,376320.1201,0.5997685208540621,1.2451524291915918e-08,-84.30255280339222,-85.17122229622791,-87.04245695541141,-90.43616490171722,-90.78479501087665,-93.16190375411887,-88.73331047771033,-82.27654185530328,-85.40562377785987
2025.06.18_0.3_3,index=8.225704,34,34.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0034.npy,376320.1201,0.5997685208540621,1.2705014514273178e-08,-84.22883633950384,-85.02774578615109,-86.84979734245272,-90.67470084688934,-90.85788814447172,-93.14404887053924,-88.79808609490951,-82.17260401129046,-85.34381144343045
