experiment_name,source_wav_id,heat_flux,n_chunks,band_500_1000_db_median,band_1000_2000_db_median,band_2000_3000_db_median,band_3000_5000_db_median,band_5000_10000_db_median,band_10000_15000_db_median,band_15000_22050_db_median,band_1000_5000_db_median,band_2000_5000_db_median
2025.06.18_0.3_3,index=14.562158,562158.7854,60,-48.901496409295035,-43.424570395297195,-38.96758208575696,-55.7948973263192,-47.793632102620926,-58.37196038838003,-61.89323483551166,-37.56882597893,-38.8613895397653
2025.06.18_0.3_3,index=15.633482,633482.536,60,-46.84751282637923,-41.374189033335284,-36.320239198665334,-52.17430216788644,-44.533190593820095,-55.16653828812602,-58.70454637730562,-35.03325245794531,-36.214059389516066
2025.06.18_0.3_3,index=16.709792,709792.7143,60,-45.315486191817584,-40.00510594955064,-34.59927743977749,-49.17991392784304,-41.862327714919005,-52.6445895304748,-56.328300663009266,-33.34063287808365,-34.46113940552936
2025.06.18_0.3_3,index=17.789500,789500.1968,60,-44.670558361560325,-39.37926234509244,-33.67622700350947,-47.00193557404542,-39.73864544701701,-50.51254294795513,-54.26699568741796,-32.50472818108916,-33.47872206777369
2025.06.18_0.3_3,index=18.873637,873637.0359,60,-44.35740343054358,-38.83605829582987,-32.98121070735682,-45.41419190217263,-38.13433171203572,-49.137251947181866,-52.94571388804369,-31.761949509428362,-32.741248385657606
2025.06.18_0.3_3,index=2.2380,2380.025286,60,-81.52267573934857,-84.02249257775848,-87.08586829520233,-90.89925991036074,-93.09119833743075,-95.34787375305487,-90.18730145634042,-81.73208276219857,-85.59101120726517
2025.06.18_0.3_3,index=3.21242,21242.86319,60,-81.59389307114645,-84.25242333623854,-87.22069032702363,-90.70246224093982,-92.34231538832387,-94.5423064774464,-89.52551554486799,-81.86946804189667,-85.62488566308059
2025.06.18_0.3_3,index=4.58389,58389.85471,60,-81.65747935157907,-84.19390042299358,-87.11311838818423,-90.5016387674981,-91.99322524737865,-94.14327837415738,-89.45626677394398,-81.78072817177059,-85.48917972584954
2025.06.18_0.3_3,index=5.113188,113188.2901,60,-76.56133360805421,-78.83578509675053,-82.18412247628044,-85.46878738431488,-87.73995543018776,-90.74865608856588,-85.5885822237728,-76.52013965125933,-80.52295006312617
2025.06.18_0.3_3,index=6.146381,146381.6505,60,-77.27591120377912,-79.18495422285605,-82.28109430260959,-85.39242996392353,-87.73935113046157,-90.57644906388906,-85.61142524993323,-76.7819902713357,-80.56649696971817
2025.06.18_0.3_3,index=7.184190,184190.9699,60,-79.9257429883038,-81.03724953635617,-83.95062742154377,-86.82821412337269,-87.9976970059404,-90.82290073907313,-85.74148123448569,-78.43816883429989,-82.03421658855615
2025.06.18_0.3_3,index=8.225704,225704.9618,60,-84.06904037724814,-84.91357045011948,-86.73259939295454,-90.13662964897414,-90.64134891485877,-93.16899090293501,-88.74118772184282,-82.01120991803062,-85.12695302005814
2025.06.18_0.3_3,index=9.271677,271677.6816,60,-83.87292325095659,-84.76514607972136,-85.5865371074639,-89.65559057445833,-89.54300001297452,-92.80565082647573,-88.71281531069101,-81.66570596002656,-84.26722709301998
2025.07.09_0.3_1,index=1.0,6.98060403920294e-05,60,-76.28812679187095,-76.63985409222863,-81.3115286930556,-85.25771606193243,-89.79312831815783,-92.8335574140688,-93.40846165799073,-74.9840266178473,-79.88366307165438
2025.07.09_0.3_1,index=10.383287,383287.35455980786,60,-76.49501832475849,-76.58388820846332,-81.53420696694835,-85.32451917429756,-89.60922093271193,-93.04096914465302,-93.48115022023593,-74.95536911386827,-79.99991770985937
2025.07.09_0.3_1,index=11.442169,442169.29243200656,60,-76.51723376987803,-76.5100123272741,-81.30866032811252,-85.30080237799427,-89.18470589904234,-93.01313861364136,-93.50984870554652,-74.85524026876016,-79.84118287191133
2025.07.09_0.3_1,index=12.505101,505101.26893061603,60,-76.59198973808154,-76.55422413583386,-81.13760559529067,-85.25541372836676,-89.10551584554528,-93.03916571583746,-93.5049997361977,-74.83098754487105,-79.7310113203576
2025.07.09_0.3_1,index=13.571694,571694.2524911674,60,-76.47346040518357,-76.4799679260772,-81.08209468522085,-85.11010855225629,-88.77636195675582,-92.86720896655156,-93.52130332821662,-74.7742896049673,-79.67856075291488
2025.07.09_0.3_1,index=14.643516,643516.9402884921,60,-76.5401249870149,-76.45527883714392,-81.38392570853037,-84.96807762693416,-88.8034717668643,-92.92269714433968,-93.44300367997724,-74.82407138412935,-79.87323358725416
2025.07.09_0.3_1,index=15.720690,720690.9057380507,60,-58.218262764723775,-53.53045589271838,-46.184354768816874,-69.05688838620317,-60.27304528260025,-69.00235052001594,-72.7345628634317,-45.47328464600892,-46.161691637758025
2025.07.09_0.3_1,index=16.802409,802409.6877461649,60,-51.969642118378175,-47.10710741364868,-40.19950526471646,-64.80881682676124,-52.6260921449003,-62.022582631085555,-66.31837731612993,-39.33199803525005,-40.18604906122541
2025.07.09_0.3_1,index=17.887789,887789.2369537686,60,-47.95659243340985,-43.58080689231984,-35.8751809173827,-57.15547455825066,-47.0309629724222,-56.90041934709807,-60.97194657831048,-35.1693680243889,-35.84243574903179
2025.07.09_0.3_1,index=2.2424,2424.7546537583808,60,-76.14507741608818,-76.42451290841768,-81.17296815905897,-84.67998849099448,-88.22886480104559,-90.6184236657939,-91.11409449994815,-74.77601076589113,-79.61812499782893
2025.07.09_0.3_1,index=4.59375,59375.420914051836,60,-74.35478061789954,-73.47432899069307,-77.42318591758746,-80.99609990916584,-84.87810689271168,-88.29805991311233,-89.1318437710014,-71.4633521651361,-75.79880953109051
2025.07.09_0.3_1,index=6.187171,187171.7169773235,60,-74.57772131907244,-73.68082129990704,-77.51318351884673,-81.06007086412512,-84.57218956852603,-87.98064357065059,-89.21566806656654,-71.65209707369037,-75.90954515706673
2025.07.09_0.3_1,index=8.275174,275174.6640882674,60,-76.05108797223306,-75.70166912182006,-80.00363701463117,-83.15686373810493,-86.78047309609735,-89.23214453768092,-89.64065434416058,-73.78611220864136,-78.30008231021115
