seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
43,-4,alexnet,AlexNet,0.766795,131502.307275,100126.383837,0.908236,58314.441451,48856.220788,15507.583388,12718.077136,0.929903,0.958872,0.834259,0.834658,0.875,0.854353
43,-4,ensemble__simple_equal,Equal ensemble,0.846686,106624.077771,78626.923593,0.934646,49212.695282,40878.270886,44870.105001,43135.536773,0.943122,0.966441,0.907407,0.998008,0.835,0.909256
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.7852,126206.467152,94005.166149,0.933916,49486.694381,41446.908226,15291.273658,12828.496446,0.938153,0.963257,0.882407,0.926126,0.856667,0.890043
43,-8,randomforest,RandomForest,0.876304,95772.680024,80034.145817,0.697285,105915.133627,85392.871831,153329.798584,147327.667676,0.932278,0.940257,0.906481,0.996024,0.835,0.908432
43,-8,conformer,Conformer,0.571361,178283.039176,136785.587542,0.900581,60698.119908,50828.193967,74115.567397,71907.684025,0.880712,0.92752,0.555556,0.555556,1.0,0.714286
43,-8,alexnet,AlexNet,0.775995,128882.262621,95631.819724,0.941781,46448.482737,38969.341765,15627.029313,11929.910342,0.934264,0.962364,0.87963,0.89966,0.881667,0.890572
43,-8,ensemble__simple_equal,Equal ensemble,0.828377,112811.283768,81614.611169,0.951424,42427.906944,34785.78696,33347.96183,31638.728202,0.94459,0.967522,0.912963,0.996078,0.846667,0.915315
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,0.751817,135659.398471,99066.658552,0.953818,41369.094621,34370.490976,18801.101372,14076.705438,0.94059,0.96525,0.713889,0.668208,0.963333,0.789078
43,-12,randomforest,RandomForest,0.876475,95706.361835,79991.573316,0.698207,105753.637831,85202.871759,153598.770056,147305.985711,0.93467,0.942477,0.908333,0.99604,0.838333,0.910407
43,-12,conformer,Conformer,0.355051,218688.929127,172551.50598,0.84166,76601.24151,66424.274396,132383.812122,131034.424129,0.871118,0.923089,0.555556,0.555556,1.0,0.714286
43,-12,alexnet,AlexNet,0.730419,141386.861377,101084.048781,0.969144,33815.005209,28256.286803,24269.776582,20014.071062,0.92112,0.954301,0.59537,0.579824,0.986667,0.730413
43,-12,ensemble__simple_equal,Equal ensemble,0.780445,127595.55076,90119.583292,0.968212,34321.728313,27065.335106,25344.274712,16119.40229,0.936903,0.963863,0.863889,0.871921,0.885,0.878412
43,-12,ensemble__inner_holdout,Inner-holdout ensemble,0.667194,157093.957664,112395.426067,0.968157,34351.414596,28246.139908,49661.174548,47045.828825,0.932003,0.960889,0.555556,0.555556,1.0,0.714286
43,-16,randomforest,RandomForest,0.878485,94924.872554,79519.136696,0.717659,102288.675846,82987.072743,141774.381554,135448.873017,0.92567,0.953131,0.911111,0.996063,0.843333,0.913357
43,-16,conformer,Conformer,0.025773,268778.371868,218242.636499,0.699337,105555.542482,91810.52782,201416.47915,200402.44965,0.851901,0.911023,0.555556,0.555556,1.0,0.714286
43,-16,alexnet,AlexNet,0.589361,174499.45861,127314.592692,0.95474,40954.193441,33730.872092,69968.519754,68498.985588,0.901531,0.942829,0.555556,0.555556,1.0,0.714286
43,-16,ensemble__simple_equal,Equal ensemble,0.673272,155652.86214,110711.77523,0.965554,35728.26452,27185.014206,53231.876008,47568.073695,0.926115,0.9588,0.555556,0.555556,1.0,0.714286
43,-16,ensemble__inner_holdout,Inner-holdout ensemble,0.49662,193202.344155,140877.04492,0.943385,45804.263508,35025.703095,101752.978253,100563.518005,0.920806,0.954671,0.555556,0.555556,1.0,0.714286
43,-20,randomforest,RandomForest,0.765586,131842.64433,103948.787629,0.811259,83632.354341,66730.292982,80199.846078,56759.08374,0.92105,0.951197,0.693519,0.654776,0.948333,0.774677
43,-20,conformer,Conformer,-0.398085,321981.516272,265671.581743,0.449827,142787.500108,119766.545301,272026.250531,271133.586108,0.822979,0.890727,0.555556,0.555556,1.0,0.714286
43,-20,alexnet,AlexNet,0.37548,215197.613551,167080.303553,0.870693,69223.086375,58808.621538,126905.409105,126052.281421,0.880812,0.927458,0.555556,0.555556,1.0,0.714286
43,-20,ensemble__simple_equal,Equal ensemble,0.404733,210097.080977,157328.362044,0.897018,61776.089548,47103.228492,126754.609299,122896.43728,0.901691,0.940796,0.555556,0.555556,1.0,0.714286
43,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.203628,243008.850061,185529.47209,0.834996,78196.654104,58798.797609,170220.900075,169016.582266,0.885312,0.928319,0.555556,0.555556,1.0,0.714286
44,clean,randomforest,RandomForest,0.875985,95896.343374,80181.355201,0.696118,106119.044117,85658.343214,152084.427937,146327.944172,0.932205,0.940322,0.90463,0.996008,0.831667,0.906449
44,clean,conformer,Conformer,0.892737,89184.357762,74894.608418,0.826243,80243.83316,68318.983929,98012.841887,91031.166432,0.955986,0.97335,0.883333,1.0,0.79,0.882682
44,clean,alexnet,AlexNet,0.904534,84137.301313,74558.266809,0.795881,86972.597435,76933.834014,86985.276884,79441.785182,0.963146,0.975454,0.880556,0.997886,0.786667,0.879776
