seed,snr,ensemble_key,ensemble,best_single_key,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,delta_rmse_vs_best_single,delta_onb_rmse_vs_rf,delta_below_rmse_vs_rf,delta_near_rmse_vs_rf,delta_above_rmse_vs_rf
43,-12,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.20928100000000005,61387.59582899998,61387.59582899998,-103937.595508,151067.9929621204,-103937.59550786327,-66816.46500596992
43,-16,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.20521299999999998,60727.98958600001,60727.98958600001,-88542.505546,145210.956560288,-88542.50554523652,-63694.44131886759
43,-16,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.38186499999999995,98277.471601,98277.471601,-40021.403301,200417.0729559168,-40021.40330042194,-62551.478334356616
43,-20,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.360853,78254.436647,78254.436647,46554.763221,133220.90755497708,46554.7632206087,-34455.87295183012
43,-20,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.561958,111166.205731,111166.205731,90021.05399700001,179610.52414540216,90021.05399612643,-24216.55927814606
44,clean,ensemble__simple_equal,Equal ensemble,alexnet,AlexNet,0.04684599999999994,-20250.31538,-8491.273319,-42610.35765600001,635.2808108618046,-42610.35765629407,-35360.9304394442
44,clean,ensemble__inner_holdout,Inner-holdout ensemble,alexnet,AlexNet,0.04329799999999995,-18530.79875500001,-6771.756694000011,-50899.346458,1546.7646598240535,-50899.34645827126,-30953.516939111534
44,0,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.009963999999999973,3776.686963,3776.686963,-86728.85174800002,53851.29201014465,-86728.85174743443,-43589.82639328325
44,0,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.03613900000000003,13076.52633400001,13076.52633400001,-101081.301274,67197.62856027743,-101081.30127439507,-37663.08170868022
44,-4,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.04250199999999993,15222.934913000005,15222.934913000005,-111444.62627499999,75971.2734966992,-111444.62627477862,-49600.53061167887
44,-4,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.08438199999999996,28412.77674300001,28412.77674300001,-127857.91256499998,95092.39427746006,-127857.91256532073,-43427.99722948652
44,-8,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.08273900000000001,27944.971707999997,27944.971707999997,-126376.745838,97973.15659151506,-126376.7458375716,-55178.26227122263
44,-8,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.14297400000000005,44838.99517099999,44838.99517099999,-126041.041322,122504.21643670913,-126041.04132239622,-49103.336820783254
44,-12,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.12381799999999998,39751.16731199999,39751.16731199999,-122614.35932800002,117150.81840586102,-122614.35932844464,-60462.9786777392
44,-12,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.19899,58976.12280699999,58976.12280699999,-106022.91156000001,145209.40597731166,-106022.91156073957,-55546.9372859315
44,-16,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.20978200000000002,61856.38262199999,61856.38262199999,-84728.611117,145747.50687600163,-84728.6111162903,-61761.04814418308
44,-16,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.30674100000000004,83330.21277299999,83330.21277299999,-58398.005327999985,176867.3781876012,-58398.00532800329,-57319.2667459506
44,-20,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.343045,74886.054348,74886.054348,46148.259527999995,128343.47432730132,46148.259528455266,-37146.01152867409
44,-20,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.442056,91897.72558,91897.72558,68164.40188,152205.23521017452,68164.40187968292,-30783.53034537947
