snr,model_key,model,r2_mean_mean,r2_mean_std,r2_mean_min,r2_mean_max,rmse_all_mean_mean,rmse_all_mean_std,rmse_all_mean_min,rmse_all_mean_max,mae_all_mean_mean,mae_all_mean_std,mae_all_mean_min,mae_all_mean_max,rmse_onb_mean_mean,rmse_onb_mean_std,rmse_onb_mean_min,rmse_onb_mean_max,roc_auc_cont_mean_mean,roc_auc_cont_mean_std,roc_auc_cont_mean_min,roc_auc_cont_mean_max,recall_mean_mean,recall_mean_std,recall_mean_min,recall_mean_max,f1_mean_mean,f1_mean_std,f1_mean_min,f1_mean_max
-4,randomforest,RandomForest,0.8762876666666667,0.00029784951457627204,0.87596,0.876542,95779.06232266668,115.20998359766864,95680.774319,95905.846144,80107.44354933333,50.47976095328586,80060.242171,80160.662285,152304.89124833333,538.7895184834184,151796.003703,152869.285412,0.933141,0.0008168892213758092,0.932347,0.933979,0.833333,0.0,0.833333,0.833333,0.907441,0.0,0.907441,0.907441
-4,conformer,Conformer,0.6824716666666667,0.04137528629911012,0.637242,0.718414,153232.24767666668,9914.91320803945,144500.604149,164010.892914,116373.022666,11438.15100029221,105629.679299,128398.018953,39741.51547233333,10232.108488402382,32637.741114,51469.485853,0.911448,0.02348603442473847,0.886045,0.932372,0.9855553333333334,0.009476882205310658,0.975,0.993333,0.7475866666666667,0.0105986448347575,0.738538,0.759247
-4,alexnet,AlexNet,0.7539573333333333,0.018078261651312977,0.733283,0.766795,135013.59161,4917.359136700699,131502.307275,140633.633164,103573.05185033333,7883.975922819439,97999.301778,112593.469936,16839.72456833333,1639.0661333737955,15507.583388,18670.092241,0.9168726666666668,0.014673051909310997,0.900979,0.929903,0.8905556666666667,0.021430265895068478,0.875,0.915,0.832532,0.018954357098039512,0.820155,0.854353
-4,ensemble__simple_equal,Equal ensemble,0.8422083333333333,0.007578704132853663,0.833458,0.846686,108149.42783666665,2580.4421721984513,106624.077771,111128.781057,79637.64061533334,2183.293616449708,78142.846797,82143.151456,43700.408858,2523.08336715974,40804.758355,45426.363218,0.942654,0.003523388709750864,0.93892,0.94592,0.8344443333333333,0.0009624428987390512,0.833333,0.835,0.908651,0.0005305572542148228,0.908265,0.909256
-4,ensemble__inner_holdout,Inner-holdout ensemble,0.7907316666666667,0.005160812177684217,0.7852,0.795417,124564.43697266666,1533.966599174733,123168.220879,126206.467152,91648.56442999998,3515.989422345361,87607.222727,94005.166149,19591.145252,4570.694075450642,15291.273658,24391.472065,0.9403666666666667,0.005437653200906891,0.936385,0.946562,0.8633333333333333,0.013016805381249778,0.855,0.878333,0.899557,0.008961346048446067,0.890043,0.907838
-8,randomforest,RandomForest,0.8768889999999999,0.001083270510999001,0.876224,0.878139,95545.35254366667,420.775900271427,95059.809763,95803.567844,79879.26495866667,287.15499986449277,79547.921135,80055.727924,151583.892184,2233.9123925000167,149066.486884,153329.798584,0.9325013333333333,0.0003256567722822966,0.932278,0.932875,0.835,0.0,0.835,0.835,0.908432,0.0,0.908432,0.908432
-8,conformer,Conformer,0.542373,0.027308379886034986,0.517131,0.571361,184157.85490366665,5515.605045268032,178283.039176,189225.240265,143754.10605166666,8825.75840861153,136785.587542,153678.382684,83708.47203,8897.557364900718,74115.567397,91690.620909,0.901742,0.018212514241586698,0.880712,0.912257,1.0,0.0,1.0,1.0,0.7145693333333334,0.00024537386440558797,0.714286,0.714711
-8,alexnet,AlexNet,0.7256766666666667,0.06373959345911555,0.654001,0.775995,142006.76075766666,16246.388209760602,128882.262621,160177.446041,109195.55798766667,14819.294733334304,95631.819724,125012.373142,24462.529868666665,14460.958488609227,15627.029313,41150.967489,0.9014153333333333,0.029598272928218837,0.876819,0.934264,0.9072223333333334,0.08139941759824414,0.841667,0.998333,0.7984316666666667,0.08612639816184892,0.719952,0.890572
-8,ensemble__simple_equal,Equal ensemble,0.8116289999999999,0.01748783943201678,0.793485,0.828377,118102.86309266667,5477.21914905226,112811.283768,123748.539552,85912.27694266666,4346.854976139911,81614.611169,90306.705487,28932.912963333336,3895.78206570774,25978.645246,33347.96183,0.941375,0.004532496111415865,0.936191,0.94459,0.8511113333333333,0.007697811139105287,0.846667,0.86,0.9109093333333332,0.007630838507879319,0.902098,0.915315
-8,ensemble__inner_holdout,Inner-holdout ensemble,0.7340606666666666,0.017365197561022262,0.717115,0.751817,140378.49703,4592.762637530439,135659.398471,144833.529604,102037.38815133333,2753.2358995186673,99066.658552,104503.253922,26425.642544666665,7680.792314652537,18801.101372,34161.4765,0.93931,0.005097977638240451,0.933694,0.943646,0.9744443333333334,0.015123332481081475,0.963333,0.991667,0.7600159999999999,0.03152827308940338,0.726496,0.789078
