seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,-12,randomforest,RandomForest,all,1080,0.8788326425554099,94788.79884991483,79362.44122717611,-38010.93882333315,97,2
42,-12,conformer,Conformer,below,480,-15.385771499001187,327559.2558751457,316497.52547328174,316497.52547328174,0,480
42,-12,conformer,Conformer,near,60,-6.320392296578442e+30,146336.33198593184,144810.27933749996,144810.27933749996,0,0
42,-12,conformer,Conformer,above,540,0.82741779435159,74111.9174250249,67105.13780981481,66344.71395648149,0,0
42,-12,conformer,Conformer,all,1080,0.30383521803101177,227206.22517814735,182263.15130067148,181882.9393740048,0,480
42,-12,alexnet,AlexNet,below,480,-4.785696723030952,194640.9703999263,175990.2455904692,175990.2455904692,0,206
42,-12,alexnet,AlexNet,near,60,-5.740037571028913e+28,13945.609977536351,11707.668425833333,312.76267083332255,29,0
42,-12,alexnet,AlexNet,above,540,0.7357962740262864,91697.92556378785,86439.41952152779,-86439.41952152779,61,0
42,-12,alexnet,AlexNet,all,1080,0.7160883532395509,145096.122330789,122088.02271351872,35015.55287226871,90,206
42,-12,ensemble__simple_equal,Equal ensemble,below,480,-4.420262059451243,188393.78469959946,169675.80188929723,169675.80188929723,0,78
42,-12,ensemble__simple_equal,Equal ensemble,near,60,-1.3349673989660543e+29,21267.452789975807,13285.074256736118,4120.536672569397,34,0
42,-12,ensemble__simple_equal,Equal ensemble,above,540,0.9400872383869383,43666.6335060631,35818.093677145116,-32022.403472145143,27,0
42,-12,ensemble__simple_equal,Equal ensemble,all,1080,0.7740772852361559,129432.74173430375,94058.5740258567,59629.184474313406,61,78
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-8.413943546051428,248280.27828343704,234104.61541128132,234104.61541128132,0,480
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-1.306176713090677e+30,66524.42291141294,64905.42526916091,64905.42526916091,0,0
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9736948832990766,28934.112009655873,23167.739477891726,5473.654468869381,0,0
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.6215742436576814,167515.3255111288,119236.22243669094,110389.17993217977,0,480
42,-16,randomforest,RandomForest,below,480,-0.11393347447524826,85405.54259943547,75414.60888513061,27517.90110804729,0,2
42,-16,randomforest,RandomForest,near,60,-5.669877369812122e+30,138601.19680756616,132135.4639025,-123424.24670416667,52,0
42,-16,randomforest,RandomForest,above,540,0.7117238029435228,95784.32300803906,76668.12650266204,-74958.683540625,42,0
42,-16,randomforest,RandomForest,all,1080,0.8800265868621236,94320.63348467198,79192.5263059724,-32106.066094745183,94,2
42,-16,conformer,Conformer,below,480,-20.052684970365398,371287.36864296015,361753.4146659901,361753.4146659901,0,480
42,-16,conformer,Conformer,near,60,-1.0424768439428998e+31,187937.4612544626,186955.1053791666,186955.1053791666,0,0
42,-16,conformer,Conformer,above,540,0.6920770793847477,98994.49638853452,91421.09327194445,90972.07130601852,0,0
42,-16,conformer,Conformer,all,1080,0.08121266288119122,261018.7480591146,216876.23678636592,216651.72580340295,0,480
42,-16,alexnet,AlexNet,below,480,-5.727636450190665,209888.03717836912,193064.7485201567,193064.7485201567,0,418
42,-16,alexnet,AlexNet,near,60,-1.1907449211870808e+29,20085.81768334247,17501.537404999992,16657.751733333324,4,0
42,-16,alexnet,AlexNet,above,540,0.5734808955860409,116508.9494416332,111062.05305740742,-111062.05305740742,19,0
42,-16,alexnet,AlexNet,all,1080,0.6441316410744558,162445.9504944223,142309.88906016224,31200.959020995564,23,418
42,-16,ensemble__simple_equal,Equal ensemble,below,480,-5.766415997653407,210492.08791612877,194112.02143139797,194112.02143139797,0,456
42,-16,ensemble__simple_equal,Equal ensemble,near,60,-3.514800099296194e+29,34508.848066063074,27489.22978916662,26729.536802777722,3,0
42,-16,ensemble__simple_equal,Equal ensemble,above,540,0.9361668150239726,45072.67141427742,35726.693919621976,-31682.888430671373,2,0
42,-16,ensemble__simple_equal,Equal ensemble,all,1080,0.7198506974859907,144131.52260906852,105662.53591760821,71915.53957655106,5,456
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-10.906478605691085,279221.0119127649,266878.7387104721,266878.7387104721,0,480
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.747651247420635e+30,96485.2555394793,95400.40677449858,95400.40677449858,0,0
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9595417854205903,35883.38449648173,29649.844362075324,13957.050998449165,0,0
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.5170545085428122,189240.13962739496,138737.71753983074,130891.32085801766,0,480
42,-20,randomforest,RandomForest,below,480,-3.6139882678719575,173817.96924087266,150138.52655916708,135646.998650365,0,300
42,-20,randomforest,RandomForest,near,60,-1.790608222888431e+30,77889.77238151291,54527.344026666666,-28322.768058333346,18,0
42,-20,randomforest,RandomForest,above,540,0.7825527083756634,83189.21828416034,67554.97922256945,-65845.08799664352,13,0
42,-20,randomforest,RandomForest,all,1080,0.7677080925930737,131244.5390267891,103535.02052795156,25791.523843044175,31,300
42,-20,conformer,Conformer,below,480,-25.287407008634183,414887.4551689138,406434.42684046924,406434.42684046924,0,480
42,-20,conformer,Conformer,near,60,-1.5751434811028475e+31,231015.01467627106,230173.0861083333,230173.0861083333,0,0
42,-20,conformer,Conformer,above,540,0.5186705446165218,123768.82321053458,113028.95731101852,112585.2283662037,0,0
42,-20,conformer,Conformer,all,1080,-0.1749658732118018,295173.13516801386,249939.39536840297,249717.53089599553,0,480
