created_at,experiment_name,max_freq_hz,noise_dir_name,snr_value,threshold,model_key,model_label,epochs_completed,stopped_by_memory_error,claim_safe,r2_mean,r2_se,rmse_all_mean,rmse_all_se,mae_all_mean,mae_all_se,rmse_onb_mean,rmse_onb_se,mae_onb_mean,mae_onb_se,roc_auc_cont_mean,roc_auc_cont_se,pr_auc_cont_mean,pr_auc_cont_se,accuracy_mean,accuracy_se,precision_mean,precision_se,recall_mean,recall_se,f1_mean,f1_se
2026-09-03T08:55:44,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,275174.6641,ensemble__simple_equal,ensemble__simple_equal,,0,True,0.4057151715,0.1899734529,205161.0073,36861.85555,163221.4906,23435.00036,152775.1032,0,129333.7706,0,0.8077160494,0.08427632328,0.9051239521,0.05461962476,0.7358333333,0.08867204453,0.8018680395,0.09882603235,0.8740740741,0.08994358848,0.8199986242,0.05930675368
2026-09-03T08:55:44,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,275174.6641,ensemble__val_fold_legacy,ensemble__val_fold_legacy,,0,False,0.4365078773,0.1881763342,199448.3526,37520.2855,159488.8182,24653.43587,145758.862,0,123073.4063,0,0.8100771605,0.08418822612,0.9061004987,0.05433603376,0.7269444444,0.0875149899,0.7892258205,0.09442064555,0.8759259259,0.09079741239,0.8147203704,0.05892194529
2026-09-03T08:55:44,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,275174.6641,rf,RandomForest,,0,True,0.3939505626,0.1087743217,209124.5089,21948.2776,169679.1133,15191.99607,111686.8777,0,95112.40988,0,0.820632716,0.06280774903,0.9123550068,0.04827815818,0.7188888889,0.05245441878,0.8381432508,0.1128707539,0.8111111111,0.09246287209,0.7992419199,0.03394567703
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,alexnet,AlexNet,300,0,True,0.1454810854,0.220279411,245600.1174,36805.98744,200274.6548,25131.67511,178740.8642,0,161777.9182,0,0.7822376543,0.059758114,0.8955172453,0.04954818635,0.665,0.04063158778,0.8324080864,0.1142135675,0.7481481481,0.1242398009,0.7524186178,0.02785819264
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,cnntf_v2_gap,CNN+Tf v2 GAP,300,0,True,0.0235146409,0.4418253756,257291.1595,63768.63488,201165.5371,53425.82644,297885.1729,0,286793.3166,0,0.776095679,0.04275335614,0.8931254693,0.04230758261,0.7027777778,0.05144516438,0.7525559589,0.08524119342,0.912962963,0.07885062539,0.8095001365,0.03190676132
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,ensemble__inner_holdout,ensemble__inner_holdout,,0,True,0.2770992889,0.2166527902,225511.1911,38862.81441,178630.5929,27220.87691,175737.1708,0,167431.047,0,0.8044290123,0.05851501648,0.9050430284,0.047466048,0.6930555556,0.05413104242,0.7939393939,0.110263063,0.8518518519,0.1265778333,0.7885712207,0.0411845036
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,ensemble__prediction_max,ensemble__prediction_max,,0,True,0.06584748847,0.4695122705,249180.9425,68840.34003,195748.517,56848.94964,297963.7508,0,286962.0823,0,0.7801697531,0.04180074735,0.8949453546,0.04241935839,0.7138888889,0.05714733503,0.745077772,0.0799248638,0.9407407407,0.05925925926,0.8204822961,0.0355122587
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,ensemble__simple_equal,ensemble__simple_equal,,0,True,0.2672194239,0.2310516969,226663.4296,40899.26634,179454.3234,28166.79974,184882.8363,0,176858.3567,0,0.8066049383,0.05765184255,0.9057672451,0.04728902875,0.6944444444,0.05099322153,0.7877571687,0.1057891947,0.8574074074,0.1134174222,0.792448523,0.03516939025
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,ensemble__val_fold_legacy,ensemble__val_fold_legacy,,0,False,0.3302468445,0.1842024209,217857.8964,34505.54664,174559.0279,24749.28142,153816.0194,0,147243.4781,0,0.805462963,0.05765151208,0.9061279349,0.04660413777,0.7041666667,0.05511981898,0.7919418516,0.1063324963,0.8648148148,0.1061064248,0.8001171851,0.03556746991
2026-09-03T09:10:46,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,275174.6641,rf,RandomForest,,0,True,0.3889563039,0.09416782449,210244.314,18470.56515,174244.7651,13721.26711,89453.00862,0,85484.76768,0,0.7448148148,0.03060466499,0.8865037976,0.03789004643,0.6388888889,0.03888888889,0.8009929449,0.1123198146,0.7592592593,0.1541047868,0.7330512034,0.0500736661
