experiment_name,max_freq_hz,noise_dir_name,snr_value,model_key,top_frequency_group,mean_r2_drop_after_mask,contributing_fold_rows
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_no_noise,no_noise,alexnet,freq_1000_2000Hz,4.295799796,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_10000_15000Hz,0.8155852847,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_no_noise,no_noise,rf,freq_2000_5000Hz,0.3432763761,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_1000_2000Hz,9.338788182,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_512_1000Hz,1.412867305,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_3000Hz,0.3191707863,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_2000_3000Hz,25.79929037,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_1000_2000Hz,1.715908071,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_3000Hz,0.3136062268,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_2000_3000Hz,35.23631102,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_1000_2000Hz,1.263532053,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_3000Hz,0.3143308283,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_1000_2000Hz,10.47926923,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_512_1000Hz,1.22942048,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_3000Hz,0.3569026143,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_1000_2000Hz,11.84168208,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_1000_2000Hz,3.357415612,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_3000Hz,0.343092922,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=0,0,alexnet,freq_1000_2000Hz,7.075195386,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_512_1000Hz,1.502782751,3
