experiment_name,max_freq_hz,snr_value,model_key,model_label,claim_safe,best_single_model_by_r2,best_single_r2,r2_mean,r2_delta_vs_best_single,best_single_recall,recall_mean,recall_delta_vs_best_r2_single,best_single_f1,f1_mean,f1_delta_vs_best_r2_single
2025.07.09_0.3_1,maxfreq=3kHz,-16,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5270438157,0.5355423032,0.0084984875,0.812962963,0.8796296296,0.0666666666,0.8078201066,0.840945677,0.0331255704
2025.07.09_0.3_1,maxfreq=3kHz,-20,ensemble__inner_holdout,ensemble__inner_holdout,True,rf,0.3973123354,0.4077155873,0.0104032519,0.8074074074,0.8333333333,0.0259259259,0.7745423565,0.7950519687,0.0205096122
2025.07.09_0.3_1,maxfreq=3kHz,-20,ensemble__prediction_max,ensemble__prediction_max,True,rf,0.3973123354,0.3373810289,-0.0599313065,0.8074074074,0.9611111111,0.1537037037,0.7745423565,0.8308653228,0.0563229663
2025.07.09_0.3_1,maxfreq=3kHz,-20,ensemble__simple_equal,ensemble__simple_equal,True,rf,0.3973123354,0.4083430758,0.0110307404,0.8074074074,0.8351851852,0.0277777778,0.7745423565,0.7952050964,0.0206627399
2025.07.09_0.3_1,maxfreq=3kHz,-20,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,rf,0.3973123354,0.4155429376,0.0182306022,0.8074074074,0.837037037,0.0296296296,0.7745423565,0.7970255182,0.0224831617
2025.07.09_0.3_1,maxfreq=3kHz,-4,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.4968110583,0.4715468135,-0.0252642448,0.8722222222,0.8574074074,-0.0148148148,0.8458076669,0.8562793163,0.0104716494
2025.07.09_0.3_1,maxfreq=3kHz,-4,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.4968110583,0.4822714981,-0.0145395602,0.8722222222,0.9685185185,0.0962962963,0.8458076669,0.8910318702,0.0452242033
2025.07.09_0.3_1,maxfreq=3kHz,-4,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.4968110583,0.4814235089,-0.0153875494,0.8722222222,0.8666666667,-0.0055555555,0.8458076669,0.8623255696,0.0165179027
2025.07.09_0.3_1,maxfreq=3kHz,-4,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.4968110583,0.4954184879,-0.0013925704,0.8722222222,0.8777777778,0.0055555556,0.8458076669,0.868587043,0.0227793761
2025.07.09_0.3_1,maxfreq=3kHz,-8,ensemble__inner_holdout,ensemble__inner_holdout,True,alexnet,0.4824343093,0.4889945702,0.0065602609,0.8333333333,0.8925925926,0.0592592593,0.83976556,0.8650911741,0.0253256141
2025.07.09_0.3_1,maxfreq=3kHz,-8,ensemble__prediction_max,ensemble__prediction_max,True,alexnet,0.4824343093,0.4583734609,-0.0240608484,0.8333333333,0.962962963,0.1296296297,0.83976556,0.8637109597,0.0239453997
2025.07.09_0.3_1,maxfreq=3kHz,-8,ensemble__simple_equal,ensemble__simple_equal,True,alexnet,0.4824343093,0.5121418831,0.0297075738,0.8333333333,0.8962962963,0.062962963,0.83976556,0.8685282722,0.0287627122
2025.07.09_0.3_1,maxfreq=3kHz,-8,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,alexnet,0.4824343093,0.534540088,0.0521057787,0.8333333333,0.9055555556,0.0722222223,0.83976556,0.8778431568,0.0380775968
2025.07.09_0.3_1,maxfreq=3kHz,0,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.4848900435,0.4770317512,-0.0078582923,0.8555555556,0.8833333333,0.0277777777,0.8458903714,0.8716178293,0.0257274579
2025.07.09_0.3_1,maxfreq=3kHz,0,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.4848900435,0.397939368,-0.0869506755,0.8555555556,0.9888888889,0.1333333333,0.8458903714,0.8974254743,0.0515351029
