experiment_name,snr_value,model_key,model_label,claim_safe,r2_mean_across_frequencies,rmse_all_mean_across_frequencies,mae_all_mean_across_frequencies,rmse_onb_mean_across_frequencies,mae_onb_mean_across_frequencies,roc_auc_cont_mean_across_frequencies,pr_auc_cont_mean_across_frequencies,accuracy_mean_across_frequencies,precision_mean_across_frequencies,recall_mean_across_frequencies,f1_mean_across_frequencies,frequency_condition_count
2025.07.09_0.3_1,-12,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.4286057302,199677.5394,154710.1376,152946.1223,133706.3738,0.863595679,0.9290747418,0.767962963,0.8258122664,0.8944444444,0.8443128802,3
2025.07.09_0.3_1,-12,rf,RandomForest,True,0.4162637948,203420.4333,162657.6886,143908.9721,125856.2826,0.871718107,0.9296581035,0.7909259259,0.8544224063,0.875308642,0.8543747768,3
2025.07.09_0.3_1,-16,alexnet,AlexNet,True,0.3112920666,218333.5911,177662.9616,134798.3782,116768.2995,0.7879372428,0.8970216735,0.707962963,0.8052683541,0.8203703704,0.7876115692,3
2025.07.09_0.3_1,-16,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.4617135693,194985.3658,151381.7859,145201.6143,122748.7163,0.8023919753,0.9061568227,0.7292592593,0.7827167496,0.8617283951,0.8138280352,3
2025.07.09_0.3_1,-16,ensemble__inner_holdout,ensemble__inner_holdout,True,0.4420170602,199473.1666,157768.5505,122740.1698,103537.9638,0.8254372428,0.9125352152,0.7337962963,0.8122578157,0.8524691358,0.8143465753,3
2025.07.09_0.3_1,-16,ensemble__prediction_max,ensemble__prediction_max,True,0.4215763154,198568.2521,154969.5297,171403.4226,154367.4238,0.8164454732,0.9087177104,0.7560185185,0.7563504539,0.9771604938,0.8476816203,3
2025.07.09_0.3_1,-16,ensemble__simple_equal,ensemble__simple_equal,True,0.4475643173,198572.806,157568.4439,121377.5976,102227.3167,0.8287860082,0.9135503753,0.7366666667,0.8119214419,0.8574074074,0.8171979427,3
2025.07.09_0.3_1,-16,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.4851635233,191862.1814,152604.9197,117427.1956,99072.4921,0.8301286008,0.9139698296,0.7518518518,0.803514849,0.8851851852,0.8320301127,3
2025.07.09_0.3_1,-16,rf,RandomForest,True,0.4030858735,207269.9851,167541.8727,121223.8831,104116.3162,0.8460185185,0.921739578,0.7363888889,0.844339291,0.8265432099,0.8136214723,3
2025.07.09_0.3_1,-20,alexnet,AlexNet,True,0.3221622284,219994.1629,179899.3682,148398.1779,128262.4405,0.7722633745,0.8933511464,0.6783333333,0.8033718428,0.7734567901,0.7661661615,3
2025.07.09_0.3_1,-20,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.2380339677,230189.8822,178493.0126,209526.5772,192834.4448,0.7724485597,0.8942888808,0.7019444444,0.7692132213,0.8771604938,0.8039675532,3
2025.07.09_0.3_1,-20,ensemble__inner_holdout,ensemble__inner_holdout,True,0.3772902271,210685.1615,167886.1511,139041.1731,125081.1767,0.7992541152,0.9043190618,0.7006481482,0.7966343287,0.8419753086,0.7952599313,3
2025.07.09_0.3_1,-20,ensemble__prediction_max,ensemble__prediction_max,True,0.2707903709,222617.609,174445.0841,217515.5853,204074.095,0.7793364198,0.8959810926,0.7223148148,0.7407393334,0.9574074074,0.8276521279,3
2025.07.09_0.3_1,-20,ensemble__simple_equal,ensemble__simple_equal,True,0.3741165766,211084.6725,168604.1435,141164.3571,127583.2396,0.8006121399,0.9048068266,0.7041666667,0.7958949192,0.8475308642,0.7989011407,3
2025.07.09_0.3_1,-20,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.4005413609,207206.5026,166315.8062,128537.2938,115435.4907,0.7999485597,0.9047992751,0.7082407408,0.7957734232,0.8524691358,0.8023310485,3
2025.07.09_0.3_1,-20,rf,RandomForest,True,0.3952877715,209142.51,171678.703,95265.97328,87940.91056,0.7769650206,0.8966610757,0.6616666667,0.8014986877,0.7882716049,0.7577603139,3
2025.07.09_0.3_1,-4,alexnet,AlexNet,True,0.4977131624,188370.0764,147105.3203,137244.6695,121904.806,0.8781121399,0.9337251252,0.7912037037,0.8556413328,0.8635802469,0.8495221973,3
2025.07.09_0.3_1,-4,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.5168435104,182985.9263,136752.8362,139598.9187,122372.3252,0.8849691358,0.9402575964,0.7992592592,0.8240440202,0.9141975309,0.8619006208,3
2025.07.09_0.3_1,-4,ensemble__inner_holdout,ensemble__inner_holdout,True,0.5293170982,180322.5053,135075.4744,140488.6796,131840.4791,0.9019032922,0.9435136182,0.8305555555,0.8658258306,0.9049382716,0.8793687594,3
2025.07.09_0.3_1,-4,ensemble__prediction_max,ensemble__prediction_max,True,0.4970138649,183474.235,137224.5681,161474.5974,139151.1153,0.8970010288,0.9407362122,0.8192592593,0.8151884502,0.961728395,0.8788698178,3
2025.07.09_0.3_1,-4,ensemble__simple_equal,ensemble__simple_equal,True,0.5389103038,178553.7482,134652.5859,133891.914,123423.115,0.906563786,0.9451191013,0.8356481482,0.8689626904,0.9092592593,0.883043042,3
2025.07.09_0.3_1,-4,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.5526492275,175945.1557,132817.3731,131671.2782,121401.0884,0.9058281893,0.9445692073,0.8378703704,0.8675330369,0.912962963,0.8845725006,3
2025.07.09_0.3_1,-4,rf,RandomForest,True,0.4694875929,190753.7841,150717.3712,164305.2545,156034.6807,0.8907716049,0.9348983219,0.8233333333,0.8765824413,0.8808641975,0.8728638751,3
2025.07.09_0.3_1,-8,alexnet,AlexNet,True,0.4233372235,201692.1548,159988.2758,111900.0174,98072.11057,0.8593415638,0.9264500147,0.7549074074,0.8511786493,0.8197530864,0.8210590978,3
2025.07.09_0.3_1,-8,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.513293474,186075.6515,141162.9347,134242.9412,115136.448,0.8464557613,0.9260014102,0.7713888889,0.8088693015,0.8913580247,0.8437163565,3
2025.07.09_0.3_1,-8,ensemble__inner_holdout,ensemble__inner_holdout,True,0.4942814199,188820.3671,145326.5581,131481.0196,116756.339,0.8846244856,0.9370566243,0.802037037,0.8507355392,0.8851851852,0.8609538057,3
2025.07.09_0.3_1,-8,ensemble__prediction_max,ensemble__prediction_max,True,0.4783590345,189427.127,141888.758,154166.4063,129905.0607,0.8663888889,0.9296827639,0.8012962963,0.8017745952,0.9555555556,0.8682886104,3
2025.07.09_0.3_1,-8,ensemble__simple_equal,ensemble__simple_equal,True,0.5052219804,186794.9225,144588.6509,126918.9392,113045.666,0.891409465,0.9388721892,0.8098148148,0.8543088568,0.8919753086,0.8663267151,3
2025.07.09_0.3_1,-8,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.5300946985,181924.9907,140363.4091,124945.8782,111195.7058,0.8956018519,0.94012008,0.8210185185,0.8596173423,0.9018518519,0.8742850116,3
2025.07.09_0.3_1,-8,rf,RandomForest,True,0.4482742311,195892.921,155683.2553,152817.8531,137762.4757,0.8862397119,0.9329106002,0.8143518519,0.8666591497,0.8833333333,0.8679644817,3
2025.07.09_0.3_1,0,alexnet,AlexNet,True,0.3820475125,201735.757,153245.7318,168816.0608,154364.974,0.8789660494,0.9335141868,0.8081481481,0.8581269036,0.9030864198,0.8677089113,3
2025.07.09_0.3_1,0,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.5148896925,183678.9408,136934.5869,136787.3102,120596.8593,0.8827263374,0.93704842,0.8117592593,0.8529871384,0.8956790124,0.8676909109,3
2025.07.09_0.3_1,0,ensemble__inner_holdout,ensemble__inner_holdout,True,0.5082643267,182491.3127,134906.6763,140223.5696,124970.9829,0.9036882716,0.9440708873,0.8383333333,0.8750532568,0.9055555555,0.8841219315,3
2025.07.09_0.3_1,0,ensemble__prediction_max,ensemble__prediction_max,True,0.454305227,188145.1321,142442.348,177448.0461,159286.9146,0.892037037,0.9360889509,0.8369444444,0.8389639883,0.9685185185,0.8921952823,3
2025.07.09_0.3_1,0,ensemble__simple_equal,ensemble__simple_equal,True,0.5052628957,182826.4684,135717.6435,139105.5766,120930.4283,0.9065123457,0.9448034032,0.8437962963,0.8749192289,0.9185185185,0.8896539051,3
2025.07.09_0.3_1,0,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.5269753558,178820.1201,132862.8102,137548.6133,121017.7861,0.9083230453,0.945738241,0.8443518519,0.8746873796,0.9172839506,0.8895427271,3
2025.07.09_0.3_1,0,rf,RandomForest,True,0.4884331343,186470.154,146887.511,164443.4751,156222.1487,0.8938734568,0.9362171199,0.8349074074,0.8818709259,0.8888888889,0.8800897312,3
2025.07.09_0.3_1,no_noise,alexnet,AlexNet,True,0.4622927501,189904.3274,143223.1372,138936.0923,130009.5051,0.8558384774,0.9188631076,0.8038888889,0.8595217389,0.874691358,0.8588675321,3
2025.07.09_0.3_1,no_noise,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.4972329393,183764.739,137827.9303,152215.6162,142786.0778,0.8740329218,0.9278165152,0.8191666667,0.8611997548,0.8913580247,0.8702064378,3
2025.07.09_0.3_1,no_noise,ensemble__inner_holdout,ensemble__inner_holdout,True,0.5130064967,180365.3508,134321.9465,147710.5969,140927.354,0.8838168724,0.9301100818,0.8311111111,0.8721640383,0.8981481482,0.8785164086,3
2025.07.09_0.3_1,no_noise,ensemble__prediction_max,ensemble__prediction_max,True,0.5102945246,179127.9656,134812.1028,158612.4392,146220.491,0.8840380658,0.9309263698,0.8402777778,0.848470704,0.9382716049,0.8877921566,3
2025.07.09_0.3_1,no_noise,ensemble__simple_equal,ensemble__simple_equal,True,0.5224300432,178559.679,134207.1033,147210.7674,140577.1202,0.8861316872,0.930697146,0.8388888889,0.873643083,0.9067901235,0.8841719772,3
2025.07.09_0.3_1,no_noise,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.5335058678,176289.6608,133155.5211,146661.1526,140096.2702,0.8862551441,0.9307049248,0.8412962963,0.8727515823,0.9111111111,0.8862635585,3
2025.07.09_0.3_1,no_noise,rf,RandomForest,True,0.5021604227,184159.5907,145034.9891,161259.6379,154199.3591,0.8856790123,0.9314483349,0.8453703704,0.879706089,0.9037037037,0.8875761579,3
