source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=1.3.28E-04,59,0.000328047,3000-5000,1.2126229142712117e-08,3.1352603372795725e-07,-14.12547837834677,5.87452162165323
index=1.3.28E-04,59,0.000328047,5000-10000,7.678802450222854e-09,8.803116670416599e-06,-30.593429629375393,-10.593429629375393
index=1.3.28E-04,59,0.000328047,10000-15000,3.6591321996246898e-09,3.761802899323205e-05,-40.12017936576626,-20.120179365766262
index=1.3.28E-04,59,0.000328047,15000-22050,6.464897525005887e-09,1.8667815056408032e-05,-34.60531844367356,-14.60531844367356
index=1.3.28E-04,59,0.000328047,500-3000,9.178735415357764e-08,1.8351549874534266e-06,-13.008898972048009,6.991101027951991
index=1.3.28E-04,59,0.000328047,3000-22050,2.992906131756555e-08,6.540248675378464e-05,-33.39501165493536,-13.39501165493536
index=1.3.28E-04,59,0.000328047,0-22050,1.2309217408245116e-07,6.724528607258909e-05,-27.37431403122177,-7.374314031221768
index=10.3.15E+05,0,315466.1173,500-1000,5.2384210720747517e-08,3.4340345216325014e-06,-18.16604251990127,1.8339574800987286
index=10.3.15E+05,0,315466.1173,1000-2000,1.786798953236943e-07,4.7051219214316043e-07,-4.204951921846356,15.795048078153645
index=10.3.15E+05,0,315466.1173,2000-3000,1.1434210864911978e-06,4.49573190584588e-07,4.05405791994861,24.05405791994861
index=10.3.15E+05,0,315466.1173,3000-5000,2.0595693488122313e-08,7.874422966769743e-07,-15.824423188852322,4.175576811147678
index=10.3.15E+05,0,315466.1173,5000-10000,2.6324284478957966e-08,1.319820927204971e-05,-27.00158434846264,-7.001584348462639
index=10.3.15E+05,0,315466.1173,10000-15000,3.274559299872898e-09,3.0488541387334577e-05,-39.68983788041208,-19.689837880412078
index=10.3.15E+05,0,315466.1173,15000-22050,7.173007260388616e-09,2.162941859450793e-05,-34.79343575204676,-14.793435752046761
index=10.3.15E+05,0,315466.1173,500-3000,1.3744851925356397e-06,4.35411990436025e-06,-5.007603190242119,14.992396809757881
index=10.3.15E+05,0,315466.1173,3000-22050,5.736754452734179e-08,6.610361155056919e-05,-30.615589262765212,-10.615589262765212
index=10.3.15E+05,0,315466.1173,0-22050,1.4334078874775896e-06,7.047151456644572e-05,-16.916438155181694,3.0835618448183055
index=10.3.15E+05,30,315466.1173,500-1000,1.3197510072410754e-06,1.6935737324480336e-06,-1.0831210696988696,18.91687893030113
index=10.3.15E+05,30,315466.1173,1000-2000,3.7928166116128463e-06,2.1421019097518153e-07,12.48121716023151,32.48121716023151
index=10.3.15E+05,30,315466.1173,2000-3000,1.352462866650232e-05,2.2874730006400457e-07,17.71769373180534,37.71769373180534
index=10.3.15E+05,30,315466.1173,3000-5000,6.800583016290622e-08,3.9738488453477373e-07,-7.666651971640589,12.33334802835941
index=10.3.15E+05,30,315466.1173,5000-10000,2.5511520564023774e-07,1.2332727545712567e-05,-16.843227925339527,3.1567720746604735
index=10.3.15E+05,30,315466.1173,10000-15000,2.046176676635254e-08,3.299398763413439e-05,-32.074916772474594,-12.074916772474594
index=10.3.15E+05,30,315466.1173,15000-22050,2.087142274244455e-08,1.9401005726237185e-05,-29.68272189219472,-9.68272189219472
index=10.3.15E+05,30,315466.1173,500-3000,1.8637196285356243e-05,2.1365312234872198e-06,9.406713351645692,29.406713351645692
index=10.3.15E+05,30,315466.1173,3000-22050,3.6445422531194104e-07,6.512510579061892e-05,-22.521054521844007,-2.5210545218440075
index=10.3.15E+05,30,315466.1173,0-22050,1.9013532650923127e-05,6.727049294886384e-05,-5.487617953163442,14.512382046836558
index=10.3.15E+05,59,315466.1173,500-1000,4.187203006425274e-08,1.4234308639376297e-06,-15.314123611837525,4.685876388162475
index=10.3.15E+05,59,315466.1173,1000-2000,1.1557057777563921e-07,2.1537695066987777e-07,-2.703519394161087,17.296480605838912
index=10.3.15E+05,59,315466.1173,2000-3000,4.973930601010409e-07,1.9634717284591896e-07,4.03675069109685,24.03675069109685
index=10.3.15E+05,59,315466.1173,3000-5000,1.7870996570882578e-08,3.1352603372795725e-07,-12.44124836950834,7.55875163049166
index=10.3.15E+05,59,315466.1173,5000-10000,5.76213909328233e-07,8.803116670416599e-06,-11.84052720151646,8.15947279848354
index=10.3.15E+05,59,315466.1173,10000-15000,4.642746824665323e-08,3.761802899323205e-05,-29.086210351942846,-9.086210351942846
index=10.3.15E+05,59,315466.1173,15000-22050,5.7385304913893544e-08,1.8667815056408032e-05,-25.12292796058249,-5.122927960582491
