run,experiment,maxfreq,snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,294546.46875,20919.648549999984,integrated_gradients,heat_flux,-57229940.0,201897.234375,-57431837.234375,284.4607426751682,277761.5953125,193589.2421875,84172.35312500002,293572.620703125,193589.2421875,99983.37851562502,22,2209.8214285714284,60,0.2700892857142857,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,507536.15625,18082.158149999974,integrated_gradients,heat_flux,-5969085952.0,414886.921875,-5969500838.921875,14388.25984666831,298294.9125,300101.5859375,-1806.6734375000233,335925.004296875,300101.5859375,35823.41835937498,22,2209.8214285714284,19,0.08705357142857142,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,worst_prediction_val0017,17,0.000328047,210319.640625,210319.640296953,integrated_gradients,heat_flux,-283549.84375,117670.40625,-401220.25,3.409695460280609,211050.319921875,151492.96875,59557.351171874994,280229.798828125,151492.96875,128736.830078125,5,540.1785714285714,202,0.9040178571428571,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,129075.4296875,129075.429359453,integrated_gradients,heat_flux,-914306.625,36426.1953125,-950732.8203125,26.100250442193364,249527.4822265625,110867.65234375,138659.8298828125,284564.93359375,110867.65234375,173697.28125,5,540.1785714285714,94,0.421875,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,741044.375,42623.07900000003,integrated_gradients,heat_flux,-31867971584.0,648395.140625,-31868619979.140625,49149.99817614591,347283.1734375,416849.2734375,-69566.09999999998,392513.073828125,416849.2734375,-24336.199609374977,23,2308.035714285714,197,0.8816964285714286,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,alexnet,near_onb_below_val0120,120,266907.6965,144944.5625,121963.13400000002,integrated_gradients,heat_flux,-2746950144.0,-1754936.1875,-2745195207.8125,1564.270671130884,4405546.4375,1022413.0,3383133.4375,4141515.14375,1022413.0,3119102.14375,138,13602.67857142857,145,0.6495535714285714,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,alexnet,near_onb_above_val0180,180,368978.105,375562.71875,6584.613750000019,integrated_gradients,heat_flux,2448508928.0,-1524318.03125,2450033246.03125,1607.2979495113152,5065205.70625,1137722.0,3927483.70625,4367899.00625,1137722.0,3230177.0062499996,23,2308.035714285714,145,0.6495535714285714,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,alexnet,false_negative_val0230,230,368978.105,228138.609375,140839.49562499998,integrated_gradients,heat_flux,-3600517120.0,-1671742.140625,-3598845377.859375,2152.7514862512858,4048680.61796875,1064009.859375,2984670.75859375,4190123.6609375,1064009.859375,3126113.8015625,138,13602.67857142857,130,0.5825892857142857,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,alexnet,worst_prediction_val0137,137,266907.6965,56622.62890625,210285.06759375002,integrated_gradients,heat_flux,-468992544.0,-1843258.12109375,-467149285.87890625,253.4367165037688,4104782.3617187496,978251.734375,3126530.6273437496,4186395.4484375,978251.734375,3208143.7140625,138,13602.67857142857,138,0.6183035714285714,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,alexnet,low_heatflux_val0060,60,20979.71604,100506.765625,79527.049585,integrated_gradients,heat_flux,-2715302144.0,-1799373.984375,-2713502770.015625,1508.026009922635,4746295.133398438,1000193.91796875,3746101.215429688,4347857.865234375,1000193.91796875,3347663.947265625,138,13602.67857142857,145,0.6495535714285714,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,194397.3125,72510.38400000002,integrated_gradients,heat_flux,-120217728.0,-95509.75,-120122218.25,1257.6958713639183,260294.481640625,242143.734375,18150.74726562499,303862.12578125,242143.734375,61718.39140625001,139,13700.892857142857,144,0.6450892857142857,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,409442.375,40464.27000000002,integrated_gradients,heat_flux,722718016.0,119535.3125,722598480.6875,6045.062882045839,295675.958984375,349667.03125,-53991.072265625,385957.2765625,349667.03125,36290.24531249999,22,2209.8214285714284,1,0.006696428571428571,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,cnntf_v2_gap,false_negative_val0230,230,368978.105,279226.84375,89751.26124999998,integrated_gradients,heat_flux,-73773728.0,-10680.21875,-73763047.78125,6906.510953368815,256681.413671875,284555.8125,-27874.398828125006,334748.71562499995,284555.8125,50192.90312499995,139,13700.892857142857,173,0.7745535714285714,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold1,cnntf_v2_gap,worst_prediction_val0100,100,20979.71604,236406.328125,215426.612085,integrated_gradients,heat_flux,-45353876.0,-53500.734375,-45300375.265625,846.7243635966446,315529.7830078125,263162.9453125,52366.83769531251,283813.9515625,263162.9453125,20651.006249999977,138,13602.67857142857,63,0.28348214285714285,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/explainability_summary.csv
