run,experiment,maxfreq,snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,current_strategy,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,source_wav_pooled_oof,alexnet,median,18,1,outer_GroupKFold_OOF,0.92471211319818636,73549.208766022435,59768.230994804682,0.85758839020147593,60596.326261831317,46492.044443750012,19008.698749999981,19008.698749999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9369483900009381,67307.512663259375,48125.521334426274,0.92292174290915918,44579.946226220214,30531.710715625013,14338.396666666667,14338.396666666667,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,source_wav_pooled_oof,ensemble__prediction_max,median,18,1,no_outer_validation_labels_used_for_weights,0.93144058562373533,70185.759017338598,49729.282196566826,0.92806388980628951,43067.243185724408,31133.996862499989,4600.2456249999814,4600.2456249999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,False,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.93835471336440102,66552.655591828123,46652.86483425607,0.92984596880282178,42530.443666979045,27768.602877756952,16597.956031446112,16597.956031446112,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,source_wav_pooled_oof,rf,median,18,1,outer_GroupKFold_OOF,0.91889277066127306,76338.783378299282,60597.644221219613,0.8875492797088006,53846.157629088193,41669.52089062499,7401.4331249999814,7401.4331249999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,outer_GroupKFold_OOF,0.93499001298375561,68344.802199854181,53076.872721219617,0.96332127707097281,30752.519352021922,26980.347218750016,8161.3637500000186,8161.3637500000186,1,1,1,1,1,1,1,1,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,source_wav_pooled_oof,alexnet,median,18,1,outer_GroupKFold_OOF,0.90873853384101222,80976.531794679162,66186.587725386285,0.84052899236377676,64123.093600668857,51126.180943750005,16539.308124999981,16539.308124999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.92981498482416736,71012.965696725412,51981.684869396704,0.93906668071275545,39637.02181528994,25039.076855208346,2867.0945833333535,2867.0945833333535,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,source_wav_pooled_oof,ensemble__prediction_max,median,18,1,no_outer_validation_labels_used_for_weights,0.92794975918505695,71950.392866911163,58163.260438927944,0.93348250484473805,41413.462328002475,36216.8570875,13881.785625000019,13881.785625000019,1,1,1,1,1,1,1,1,False,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.93017541620371358,70830.389354746934,52847.058647439429,0.93736906431866496,40185.377033020319,27472.943611459872,1952.813150843489,1952.813150843489,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,source_wav_pooled_oof,rf,median,18,1,outer_GroupKFold_OOF,0.91695937626594004,77243.28809709636,59157.834527295985,0.88928565198353271,53428.816082872676,40214.720187499988,16924.808124999981,16924.808124999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,outer_GroupKFold_OOF,0.94603094387472875,62271.290006489173,42498.603699344618,0.96234159453016177,31160.510280761329,23234.87460000001,8606.8237499999814,8606.8237499999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,source_wav_pooled_oof,alexnet,median,18,1,outer_GroupKFold_OOF,0.92560169671664783,73113.397722057169,52170.013329874128,0.91089983515755346,47930.598411419014,31798.874521875012,6243.4487499999814,6243.4487499999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93770259891571206,66903.743057063199,46789.35332622382,0.93914891775445164,39610.265255697501,26507.118345833354,10487.360208333354,10487.360208333354,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,source_wav_pooled_oof,ensemble__prediction_max,median,18,1,no_outer_validation_labels_used_for_weights,0.9350256762773943,68326.053271946759,46193.80127712238,0.9491137682467613,36222.109838431046,26490.235106249995,4428.8012500000186,4428.8012500000186,1,1,1,1,1,1,1,1,False,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.93956773760176127,65894.607867592858,45323.122142185966,0.95009249005492524,35872.079087227445,23697.949416824296,10785.631474650349,10785.631474650349,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
