run,experiment,maxfreq,snr,fold,model,sample_id,val_local_index,model_prediction_heat_flux,expected_value_heat_flux,sum_shap_heat_flux,reconstructed_prediction_heat_flux,completeness_error,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold2,rf,worst_prediction_val0067,67,73158.35181498705,312186.1290646485,-239027.69646763802,73158.43259701051,0.08078202346223406,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold2,rf,low_heatflux_val0180,180,129269.21073247875,312186.1290646485,-182916.85416047336,129269.27490417517,0.0641716964164516,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold2,rf,high_heatflux_val0300,300,751183.640770833,312186.1290646485,438996.941758046,751183.0708226946,-0.5699481384363025,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold3,rf,near_onb_below_val0180,180,275140.58981435205,375346.4082794026,-100204.20276675356,275142.20551264903,1.615698296984192,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold3,rf,near_onb_above_val0240,240,566230.8885844479,375346.4082794026,190883.50888873037,566229.917168133,-0.9714163149474189,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold3,rf,worst_prediction_val0120,120,183718.10607442705,375346.4082794026,-191627.87589461743,183718.53238478515,0.4263103581033647,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold3,rf,low_heatflux_val0000,0,151268.60241434118,375346.4082794026,-224077.73509590037,151268.67318350222,0.07076916104415432,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,fold3,rf,high_heatflux_val0300,300,778434.1907665437,375346.4082794026,403089.72225113894,778436.1305305415,1.9397639977978542,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold1,rf,near_onb_below_val0120,120,66220.72143420066,332193.7912544644,-265973.17903198965,66220.61222247477,-0.10921172589587513,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold1,rf,near_onb_above_val0180,180,402202.3995237004,332193.7912544644,70008.87042018844,402202.66167465283,0.2621509524178691,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold1,rf,false_negative_val0237,237,275444.1710200121,332193.7912544644,-56748.49016108972,275445.3010933747,1.1300733626121655,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold1,rf,worst_prediction_val0135,135,61001.53056177474,332193.7912544644,-271192.3208453459,61001.47040911851,-0.060152656231366564,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold1,rf,low_heatflux_val0060,60,86096.16136758414,332193.7912544644,-246097.68223713583,86096.10901732859,-0.0523502555442974,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold2,rf,near_onb_below_val0060,60,58533.77689045159,312186.1290646485,-253652.44230476083,58533.6867598877,-0.0901305638908525,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold2,rf,near_onb_above_val0120,120,389616.7259463061,312186.1290646485,77430.0973823412,389616.22644698975,-0.49949931632727385,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold2,rf,worst_prediction_val0185,185,240659.0305300135,312186.1290646485,-71526.92845157512,240659.20061307342,0.17008305992931128,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold2,rf,low_heatflux_val0180,180,53267.34604430517,312186.1290646485,-258918.79838024275,53267.33068440578,-0.015359899392933585,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold2,rf,high_heatflux_val0300,300,746651.212416613,312186.1290646485,434464.47648857406,746650.6055532226,-0.6068633904214948,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold3,rf,near_onb_below_val0180,180,266046.3517516345,375346.4082794026,-109298.5997521338,266047.8085272688,1.4567756343167275,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold3,rf,near_onb_above_val0240,240,564299.9823494026,375346.4082794026,188952.3938233368,564298.8021027395,-1.180246663163416,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold3,rf,worst_prediction_val0040,40,215282.9962319522,375346.4082794026,-160063.50211651195,215282.90616289063,-0.09006906155264005,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold3,rf,low_heatflux_val0000,0,94631.10766865867,375346.4082794026,-280715.25645297876,94631.15182642383,0.0441577651508851,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,fold3,rf,high_heatflux_val0300,300,785668.8553405354,375346.4082794026,410324.2330117082,785670.6412911108,1.7859505753731355,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold1,rf,near_onb_below_val0120,120,67763.32813474639,332193.7912544644,-264430.40296207933,67763.38829238509,0.06015763869800139,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold1,rf,near_onb_above_val0180,180,352261.59763807035,332193.7912544644,20068.70142449733,352262.4926789618,0.8950408914242871,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold1,rf,false_negative_val0238,238,288385.25660891633,332193.7912544644,-43807.357538648976,288386.4337158154,1.1771068990929052,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold1,rf,worst_prediction_val0134,134,55336.365813820616,332193.7912544644,-276857.4049632498,55336.386291214614,0.020477393998589832,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold1,rf,low_heatflux_val0060,60,83632.94882873965,332193.7912544644,-248560.7647292928,83633.02652517162,0.07769643196661491,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold2,rf,near_onb_below_val0060,60,94017.51548279125,312186.1290646485,-218168.62867192854,94017.50039271999,-0.015090071261511184,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold2,rf,near_onb_above_val0120,120,402554.76974461676,312186.1290646485,90368.12800533664,402554.25706998515,-0.5126746316091157,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold2,rf,worst_prediction_val0085,85,67389.04755687622,312186.1290646485,-244797.10303804922,67389.02602659931,-0.021530276906560175,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold2,rf,low_heatflux_val0180,180,83120.38954613305,312186.1290646485,-229065.65201595105,83120.47704869747,0.08750256441999227,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,fold2,rf,high_heatflux_val0300,300,751618.876103142,312186.1290646485,439432.38494742004,751618.5140120685,-0.3620910735335201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/rf/treeshap_pca_summary.csv
