seed,arm,model,threshold,chunks,wavs,r2,rmse_kw_m2,mae_kw_m2,sse_w_m2_squared,near_onb_chunks,near_onb_rmse_kw_m2,misses,false_alarms
44,off,randomforest,source_text_376000,1080,18,0.8431449602356329,107.84833392398987,91.76954343091393,12561764180594.855,60,86.79321443405497,99,0
44,off,conformer,run_271677,1080,18,0.9010942065219405,85.63968624358358,67.3307737076627,7920888328691.393,60,87.75336919665303,128,0
44,off,conformer,source_text_376000,1080,18,0.9010942065219405,85.63968624358358,67.3307737076627,7920888328691.393,60,81.57461074674892,55,0
44,off,alexnet,run_271677,1080,18,0.8924672218540141,89.29654068966984,75.8078451879517,8611781953473.211,60,80.1018519593219,137,4
44,off,alexnet,source_text_376000,1080,18,0.8924672218540141,89.29654068966984,75.8078451879517,8611781953473.211,60,96.39302133685109,69,0
44,off,ensemble__inner_holdout,run_271677,1080,18,0.9042222860911457,84.2745486358542,65.85535731187116,7670375511599.112,60,83.60837221161162,126,0
44,off,ensemble__inner_holdout,source_text_376000,1080,18,0.9042222860911457,84.2745486358542,65.85535731187116,7670375511599.112,60,84.65053895214439,62,0
44,off,equal_offline,run_271677,1080,18,0.9019377241108171,85.27371544948402,65.92685293560965,7853335070284.335,60,85.14842191396716,116,0
44,off,equal_offline,source_text_376000,1080,18,0.9019377241108171,85.27371544948402,65.92685293560965,7853335070284.335,60,84.39792393055463,63,0
44,on,randomforest,run_271677,1080,18,0.849586218225426,105.61072332389793,84.53531351808631,12045914871476.672,60,187.4447418134492,103,2
44,on,randomforest,source_text_376000,1080,18,0.849586218225426,105.61072332389793,84.53531351808631,12045914871476.672,60,94.8926204047644,94,2
44,on,conformer,run_271677,1080,18,0.8920388411852826,89.474230185522,78.24865369979607,8646088896675.119,60,124.00434408773026,117,0
44,on,conformer,source_text_376000,1080,18,0.8920388411852826,89.474230185522,78.24865369979607,8646088896675.119,60,76.67383055565422,61,0
44,on,alexnet,run_271677,1080,18,0.8955372406785547,88.0126197895664,71.14496576104114,8365918941600.596,60,154.4100675222772,131,0
44,on,alexnet,source_text_376000,1080,18,0.8955372406785547,88.0126197895664,71.14496576104114,8365918941600.596,60,97.33376959375587,61,0
44,on,ensemble__inner_holdout,run_271677,1080,18,0.9058269760132474,83.56558540635719,68.8148763470488,7541863629451.751,60,144.12778391209426,120,0
44,on,ensemble__inner_holdout,source_text_376000,1080,18,0.9058269760132474,83.56558540635719,68.8148763470488,7541863629451.751,60,84.2509683192141,62,0
44,on,equal_offline,run_271677,1080,18,0.9063029274344906,83.35414725593802,66.30284334209554,7503746973945.767,60,153.04953680159412,118,0
44,on,equal_offline,source_text_376000,1080,18,0.9063029274344906,83.35414725593802,66.30284334209554,7503746973945.767,60,86.84531679639663,63,0
