seed,arm,model,threshold,region,chunks,wavs,sse_w_m2_squared,rmse_kw_m2,mean_residual_kw_m2
43,off,equal_offline,run_271677,above_onb,540,9,1603799599534.5652,54.497699569773985,-13.870601721566395
43,off,equal_offline,run_271677,near_onb,60,1,380127516523.51556,79.59559415398103,-73.83888993333335
43,off,equal_offline,source_text_376000,below_onb,600,10,6366420472614.187,103.00825592004901,39.63346288220179
43,off,equal_offline,source_text_376000,near_onb,60,1,391012400785.96716,80.7271537119499,-74.96651393680558
43,off,equal_offline,source_text_376000,above_onb,420,7,662407280508.1619,39.71347619745846,5.5638312204365015
43,on,randomforest,run_271677,below_onb,480,8,3540845376625.08,85.88807368489674,-26.68397336298144
43,on,randomforest,run_271677,above_onb,540,9,5991084744775.888,105.33091369210943,-78.64801868964062
43,on,randomforest,run_271677,near_onb,60,1,1831145198400.6523,174.6971283107163,-155.79899715989575
43,on,randomforest,source_text_376000,below_onb,600,10,7821732776207.796,114.17627290150813,-53.735517940281156
43,on,randomforest,source_text_376000,near_onb,60,1,523095228806.90686,93.37158996958577,-74.49345877187496
43,on,randomforest,source_text_376000,above_onb,420,7,3018247314786.9155,84.77206574364598,-66.46490201369068
43,on,conformer,run_271677,below_onb,480,8,3234228329232.2686,82.08517336218861,4.394648361464857
43,on,conformer,run_271677,above_onb,540,9,4217271257914.0815,88.37285549720445,29.703785556597058
43,on,conformer,run_271677,near_onb,60,1,1001719935578.7606,129.21041854140867,-119.04491779791654
43,on,conformer,source_text_376000,below_onb,600,10,5483981731913.641,95.60318798653842,-21.453171107598653
43,on,conformer,source_text_376000,near_onb,60,1,395607489729.8766,81.20011183591195,-66.25536749583328
43,on,conformer,source_text_376000,above_onb,420,7,2573630301081.595,78.27957072602925,66.3190596678571
43,on,alexnet,run_271677,below_onb,480,8,2732934739146.9194,75.45604044666945,-6.952465015406606
43,on,alexnet,run_271677,above_onb,540,9,3329226037632.2197,78.51900026759529,-14.920138184722234
43,on,alexnet,run_271677,near_onb,60,1,1559447307283.2292,161.21658864620753,-149.42378386236965
43,on,alexnet,source_text_376000,below_onb,600,10,6222740634863.305,101.83925761433477,-37.13463582439556
43,on,alexnet,source_text_376000,near_onb,60,1,621256905477.8671,101.75599126323938,-89.1305065583333
43,on,alexnet,source_text_376000,above_onb,420,7,777610543721.1893,43.028521651651495,17.307445307737872
43,on,ensemble__inner_holdout,run_271677,below_onb,480,8,2916137827959.807,77.94412833294713,-5.5451944563489075
43,on,ensemble__inner_holdout,run_271677,above_onb,540,9,2980577831306.9946,74.29393364531477,-6.534525402299286
43,on,ensemble__inner_holdout,run_271677,near_onb,60,1,1295004054913.405,146.91290248042685,-136.106141819587
43,on,ensemble__inner_holdout,source_text_376000,below_onb,600,10,5849252610082.978,98.73578049591899,-32.99659840505114
43,on,ensemble__inner_holdout,source_text_376000,near_onb,60,1,458350965123.15356,87.40241845654249,-75.10610901793625
43,on,ensemble__inner_holdout,source_text_376000,above_onb,420,7,884116138974.074,45.880697751110404,23.684809568196503
43,on,equal_offline,run_271677,below_onb,480,8,2920967138767.7183,78.00864186592457,-9.747263338974289
43,on,equal_offline,run_271677,above_onb,540,9,2946859953408.9736,73.87251222118054,-21.288123772588783
43,on,equal_offline,run_271677,near_onb,60,1,1407018548440.3682,153.13493768788624,-141.42256627339412
43,on,equal_offline,source_text_376000,below_onb,600,10,6122997207104.316,101.01977700021843,-37.4411082907583
43,on,equal_offline,source_text_376000,near_onb,60,1,476791797872.58014,89.14331138421437,-76.62644427534723
43,on,equal_offline,source_text_376000,above_onb,420,7,675056635640.1573,40.09086808620059,5.7205343206349175
44,off,randomforest,run_271677,below_onb,480,8,7383559402248.179,124.02586593670843,54.435213249974275
44,off,randomforest,run_271677,above_onb,540,9,4543548312695.275,91.72774038884367,-73.14112336990696
44,off,randomforest,run_271677,near_onb,60,1,634656465651.3777,102.84749759161035,-84.74400008958322
44,off,randomforest,source_text_376000,below_onb,600,10,9026990639949.86,122.65799770058385,24.53685164956242
44,off,randomforest,source_text_376000,near_onb,60,1,451983724307.7508,86.79321443405497,-72.06977608958329
44,off,randomforest,source_text_376000,above_onb,420,7,3082789816337.2183,85.67365845569952,-68.69016354642876
44,off,conformer,run_271677,below_onb,480,8,5457628046813.616,106.63047608850718,63.28690973434942
44,off,conformer,run_271677,above_onb,540,9,2001221053555.9238,60.876636848568204,-5.649218624537064
44,off,conformer,run_271677,near_onb,60,1,462039228321.8456,87.75336919665303,-81.70014735520822
44,off,conformer,source_text_376000,below_onb,600,10,6836749685051.572,106.74541118202359,30.75399463133314
44,off,conformer,source_text_376000,near_onb,60,1,399265027109.0163,81.57461074674892,-66.41474952708329
44,off,conformer,source_text_376000,above_onb,420,7,684873616530.799,40.38132573270068,18.94670944464269
44,off,alexnet,run_271677,below_onb,480,8,5999302676286.442,111.79690175610155,82.96010784632858
44,off,alexnet,run_271677,above_onb,540,9,2227500875947.9834,64.22617552155737,1.5446964796296787
44,off,alexnet,run_271677,near_onb,60,1,384978401238.7874,80.1018519593219,-72.09336988124987
44,off,alexnet,source_text_376000,below_onb,600,10,6945936285441.015,107.59442585810393,49.96718217039606
44,off,alexnet,source_text_376000,near_onb,60,1,557496873746.7977,96.39302133685109,-91.06209379791662
44,off,alexnet,source_text_376000,above_onb,420,7,1108348794285.4019,51.37047498981811,28.125719042856964
44,off,ensemble__inner_holdout,run_271677,below_onb,480,8,5516484993215.286,107.20390416957078,68.90718897859176
44,off,ensemble__inner_holdout,run_271677,above_onb,540,9,1734468924151.2922,56.674328308053724,-16.335710646766863
44,off,ensemble__inner_holdout,run_271677,near_onb,60,1,419421594232.52344,83.60837221161162,-78.70212158842864
44,off,ensemble__inner_holdout,source_text_376000,below_onb,600,10,6682060964053.263,105.53088776951563,36.72424120786471
44,off,ensemble__inner_holdout,source_text_376000,near_onb,60,1,429942824693.31085,84.65053895214439,-76.77651011020733
44,off,ensemble__inner_holdout,source_text_376000,above_onb,420,7,558371722852.5339,36.46171256238829,5.009727492994824
44,off,equal_offline,run_271677,below_onb,480,8,5633054111867.859,108.33064847828017,66.89407694355069
