seed,model,source_wav_id,y_true_w_m2,region_run_threshold,chunks,sse_reduction_on_minus_off_w_m2_squared
43,randomforest,index=3.21242,21242.86319,below_onb,60,1436355565505.28
43,randomforest,index=4.58389,58389.85471,below_onb,60,897623642024.3477
43,randomforest,index=5.113188,113188.2901,below_onb,60,-15377316211.041035
43,randomforest,index=6.146381,146381.6505,below_onb,60,-130308516562.41306
43,randomforest,index=7.184190,184190.9699,below_onb,60,-307987163700.83997
43,randomforest,index=8.225704,225704.9618,below_onb,60,-1295982167986.0276
43,randomforest,index=9.271677,271677.6816,near_onb,60,-1200555255589.1619
43,conformer,index=1.0,-1.42e-06,below_onb,60,392815206985.2252
43,conformer,index=10.322114,322114.2428,above_onb,60,-872454182758.3474
43,conformer,index=11.376320,376320.1201,above_onb,60,75612366234.41557
43,conformer,index=12.434018,434018.0833,above_onb,60,-19810069689.722206
43,conformer,index=13.496023,496023.3525,above_onb,60,-291794619890.086
43,conformer,index=14.562158,562158.7854,above_onb,60,-408138038171.42523
43,conformer,index=15.633482,633482.536,above_onb,60,-389455488939.79913
43,conformer,index=16.709792,709792.7143,above_onb,60,-234704497596.01553
43,conformer,index=17.789500,789500.1968,above_onb,60,-86305777654.35306
43,conformer,index=18.873637,873637.0359,above_onb,60,6123845687.68761
43,conformer,index=2.2380,2380.025286,below_onb,60,585030124094.1431
43,conformer,index=3.21242,21242.86319,below_onb,60,293624356032.4217
43,conformer,index=4.58389,58389.85471,below_onb,60,566351305796.5852
43,conformer,index=5.113188,113188.2901,below_onb,60,191041895134.36078
43,conformer,index=6.146381,146381.6505,below_onb,60,-192521092933.19205
43,conformer,index=7.184190,184190.9699,below_onb,60,-378203221984.65186
43,conformer,index=8.225704,225704.9618,below_onb,60,-551881252660.7205
43,conformer,index=9.271677,271677.6816,near_onb,60,-728073545748.3936
43,alexnet,index=1.0,-1.42e-06,below_onb,60,781657345221.0054
43,alexnet,index=10.322114,322114.2428,above_onb,60,-1401985198304.2522
43,alexnet,index=11.376320,376320.1201,above_onb,60,-258616031321.809
43,alexnet,index=12.434018,434018.0833,above_onb,60,22927212542.282223
43,alexnet,index=13.496023,496023.3525,above_onb,60,98364215760.6273
43,alexnet,index=14.562158,562158.7854,above_onb,60,243074034401.58725
43,alexnet,index=15.633482,633482.536,above_onb,60,412759483299.9071
43,alexnet,index=16.709792,709792.7143,above_onb,60,447335458560.7993
43,alexnet,index=17.789500,789500.1968,above_onb,60,262372907444.2516
43,alexnet,index=18.873637,873637.0359,above_onb,60,-65638784376.57112
