experiment_name,max_freq_hz,noise_dir_name,r2_mean,rmse_all_mean,rmse_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,epochs_completed
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_SNR=-16,0.6075050028,161632.9806,66345.05374,1.0,1.0,0.6685185185,0.6981481481,0.9482200647,0.7768342881,186|146
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_SNR=-20,0.833811838,107991.9238,61286.91863,1.0,1.0,0.8907407407,1.0,0.8025833262,0.8900647453,177|272|187
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_no_noise,-0.3957298763,266450.7411,210212.323,0.895797042,0.9447441219,0.6268518519,0.7055555556,0.8569023569,0.7198797562,114|172|137
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_SNR=0,0.4215310511,200381.0806,183206.7182,0.9449444406,0.9673753483,0.6759259259,0.8574074074,0.6680753109,0.685565585,140|130|122
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_SNR=-4,-1.093255639,379886.2561,348690.4952,0.9740175501,0.9839821399,0.5935185185,0.7074074074,0.7908163265,0.6601145144,156|192|83
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_SNR=-8,0.6246941038,164178.0582,135038.3186,0.99344309,0.9951926344,0.6851851852,0.8574074074,0.6851851852,0.7029558584,120|96|145
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_SNR=-12,0.1340860347,245268.2995,146276.8149,0.9994388328,0.9995163957,0.6472222222,0.7074074074,0.8894557823,0.7462719518,199|242|228
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_SNR=-16,0.6759191096,152030.6779,58476.43709,0.9998025523,0.9998315097,0.7361111111,0.8574074074,0.7783446712,0.7763794786,120|147|138
2025.06.18_0.3_3,maxfreq=2kHz,heatflux_SNR=-20,0.7311173549,135506.8496,89694.87454,0.9998129443,0.9998408108,0.7425925926,0.85,0.8068489532,0.7897006282,80|177|168
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_no_noise,0.7490570875,135048.6634,136830.0337,0.9305408664,0.960118615,0.7611111111,1.0,0.5688077526,0.7228603587,205|151|133
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_SNR=0,0.250159347,220455.773,139002.3601,0.9500491364,0.9699800505,0.6305555556,0.6981481481,0.8818770227,0.7331247192,163|219|89
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_SNR=-4,0.4750418181,187072.7452,98580.86486,0.9516974173,0.9716601269,0.637037037,0.7055555556,0.8754208754,0.734379167,187|135|125
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_SNR=-8,0.6048444268,170193.439,62888.2031,0.9851914131,0.9901833272,0.6324074074,0.7074074074,0.862244898,0.725714151,136|159|179
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_SNR=-12,0.5890148972,169616.757,85373.41825,0.9988045923,0.9989460659,0.6324074074,0.6981481481,0.8851132686,0.735500749,161|169
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_SNR=-16,0.253678494,230614.8613,123925.685,0.9994180488,0.9994867375,0.5555555556,0.5555555556,1.0,0.7142095283,120|222|225
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_SNR=-20,0.7167469576,143591.1263,12973.2701,0.9998025523,0.9998315097,0.8842592593,1.0,0.7897871123,0.878593281,135|169|224
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_no_noise,0.3898255977,208469.8694,98875.02253,0.9263725921,0.9595271805,0.6342592593,0.7055555556,0.8703703704,0.7305239517,147|246|155
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_SNR=0,0.7080213449,146003.4381,85608.84038,0.9371334541,0.9639290229,0.7925925926,0.9978070175,0.6276649328,0.7640660312,111|168|149
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_SNR=-4,0.5653842737,175226.5778,70401.29439,0.9477395716,0.9693877351,0.6444444444,0.7055555556,0.8888888889,0.7443170552,293|133|143
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_SNR=-8,0.5616797846,178303.2132,56458.13742,0.9752579473,0.9850111385,0.737037037,0.8574074074,0.7800453515,0.7775977477,214|170|208
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_SNR=-12,0.1232346365,253420.4773,150412.03,0.9907680248,0.993755241,0.5555555556,0.5555555556,1.0,0.7142095283,113|180|163
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_SNR=-16,0.6149160167,168682.199,24207.58356,0.9994076788,0.9994781047,0.6481481481,0.7055555556,0.8956228956,0.7491074744,167|146|222
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_SNR=-20,0.7393705502,137554.3169,46235.36427,0.9998025523,0.9998315097,0.8564814815,0.9423347398,0.811218986,0.8578145488,167|219|222
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_no_noise,0.07597364726,246713.7823,161804.0871,0.926309169,0.9589565734,0.6212962963,0.6981481481,0.8656957929,0.7208112518,132|213|98
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_SNR=0,-0.024208908,248806.4526,179424.5025,0.9522375293,0.9719431938,0.6092592593,0.6981481481,0.8446601942,0.7036386407,188|144|168
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_SNR=-4,0.5649532323,172644.7877,131913.1447,0.9783635814,0.987001711,0.7009259259,0.85,0.7328776171,0.736184724,289|237|153
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_SNR=-8,0.3807361709,196272.871,120338.5292,0.9977237724,0.9981816766,0.725,0.85,0.7751964864,0.767130389,196|216|238
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_SNR=-12,0.4442215964,200832.2036,132817.1742,0.9989410067,0.9991617674,0.6231481481,0.7074074074,0.8452380952,0.7117556774,211|138|148
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_SNR=-16,0.3276217186,218902.8024,107595.6423,0.9998337722,0.9998610071,0.6527777778,0.7074074074,0.8996598639,0.7534718122,139|166|87
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_SNR=-20,0.6176377617,164370.6036,49002.09245,0.9998754281,0.9998986327,0.6537037037,0.6981481481,0.9223300971,0.7609484196,153|251|156
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_no_noise,0.04059331021,262025.1238,149122.1541,0.9308893771,0.9618569297,0.5555555556,0.5555555556,1.0,0.7142095283,153|135|224
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_SNR=0,0.436442797,197142.6501,98628.85894,0.9959244893,0.9970177249,0.6324074074,0.6981481481,0.8851132686,0.735500749,100|119|171
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_SNR=-4,0.2615050871,220482.8339,93225.84743,0.9992929991,0.999403889,0.5555555556,0.5555555556,1.0,0.7142095283,119|212|177
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_SNR=-8,0.4441522053,201989.5644,86848.77081,0.9996673577,0.9997308229,0.5555555556,0.5555555556,1.0,0.7142095283,159|94|132
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_SNR=-12,0.464587827,191260.1065,83907.58758,0.9996362805,0.9997378315,0.6537037037,0.6981481481,0.9223300971,0.7609484196,142|126|300
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_SNR=-16,0.6223054309,165652.504,36499.18662,0.9995110441,0.9996614046,0.6564814815,0.7055555556,0.9107744108,0.759477405,133|195|141
2025.06.18_0.3_3,maxfreq=15kHz,heatflux_SNR=-20,0.7358134189,136751.6042,56757.51332,0.9998856168,0.9999094944,0.7527777778,0.8574074074,0.8089569161,0.7972277701,190|124|140
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_no_noise,0.4970942977,191766.0371,57948.16187,0.9286101419,0.9590301086,0.6564814815,0.7074074074,0.906462585,0.7581292886,195|152|215
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_SNR=0,-0.04088157683,254698.9969,208371.1578,0.9971546405,0.9978222448,0.6148148148,0.6981481481,0.854368932,0.7117367617,170|171|182
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_SNR=-4,0.5882123967,174264.4021,80836.06565,0.9985346479,0.9989412209,0.6175925926,0.7074074074,0.8350340136,0.7029263515,102|180|187
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_SNR=-8,0.275539969,213623.2126,145050.9805,0.9992102037,0.9994196112,0.6277777778,0.7074074074,0.8537414966,0.718848954,166|153|140
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_SNR=-12,0.7289935092,139605.4121,41558.62283,0.9997816476,0.999830961,0.7425925926,0.8481481481,0.811218986,0.7910559465,175|159|232
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_SNR=-16,0.518089347,184712.3128,86329.31788,0.9998649428,0.9998909359,0.637962963,0.7074074074,0.8724489796,0.7336665179,230|135|191
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_SNR=-20,0.739504693,136726.7808,41768.89921,0.9999064008,0.9999254896,0.775,0.85,0.8634832574,0.8231466854,213|200|189
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_no_noise,-2.559440406,489567.4949,475916.0958,0.8932503084,0.9379659859,0.5941176471,0.6803921569,0.8422939068,0.686474147,144|209|254
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_SNR=0,-0.7964276703,342024.8819,302565.2207,1.0,1.0,0.6088235294,0.6852941176,0.8563535912,0.702346795,109|277|149
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_SNR=-4,0.1352309139,244413.6034,154768.4138,1.0,1.0,0.6480392157,0.6852941176,0.9300184162,0.7548014405,267|156|132
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_SNR=-8,0.7132276036,149997.5491,136265.8375,1.0,1.0,0.781372549,1.0,0.5888209084,0.7394203746,135|174|110
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_SNR=-12,0.1991771435,238164.5998,112143.1011,1.0,1.0,0.5294117647,0.5294117647,1.0,0.6921686435,159|94|122
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_SNR=-16,0.6546543338,161707.9393,40049.78106,1.0,1.0,0.7539215686,0.8362745098,0.8477791639,0.8051752993,164|170|115
2025.07.09_0.3_1,maxfreq=2kHz,heatflux_SNR=-20,0.7405017302,142237.8739,50156.7646,1.0,1.0,0.7539215686,0.8362745098,0.8477791639,0.8051752993,226|174|156
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_no_noise,0.6953261178,153996.5324,31121.93095,0.9138803817,0.9500357336,0.7803921569,0.8490196078,0.8686168684,0.8293386094,163|158|179
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_SNR=0,0.6967398275,153743.0969,103648.091,1.0,1.0,0.6852941176,0.8441176471,0.6997120186,0.7042998933,225|167|176
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_SNR=-4,0.5319763775,188381.6444,135257.0356,1.0,1.0,0.7058823529,0.8490196078,0.7232033554,0.7227047887,215|169|153
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_SNR=-8,0.5476407017,178671.786,78098.42736,1.0,1.0,0.7431372549,0.8441176471,0.8082748047,0.7862169277,186|218|156
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_SNR=-12,0.6334357169,166023.1971,46562.3171,1.0,1.0,0.6578431373,0.6931372549,0.9306358382,0.7619709869,219|293|161
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_SNR=-16,0.598926112,173720.5946,58212.50184,1.0,1.0,0.6578431373,0.6931372549,0.9306358382,0.7619709869,154|221|113
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_SNR=-20,0.7689842353,133351.1295,43556.91493,1.0,1.0,0.931372549,1.0,0.8680207369,0.9267374771,153|198|122
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_no_noise,0.6645050373,160280.9201,45759.17353,0.919717195,0.9530128381,0.7558823529,0.8441176471,0.8322456337,0.8021570352,180|166|142
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_SNR=0,-1.482965576,415498.5279,347259.3047,0.9889214728,0.9922288098,0.5676470588,0.6931372549,0.753371869,0.6049620099,118|186|256
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_SNR=-4,-1.019227789,356336.1467,354488.1538,1.0,1.0,0.6450980392,0.8441176471,0.6262353161,0.6306315458,135|186|210
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_SNR=-8,0.3603918586,221271.9733,115148.6421,1.0,1.0,0.5294117647,0.5294117647,1.0,0.6921686435,254|174|146
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_SNR=-12,0.4308175726,208991.1309,87288.53095,1.0,1.0,0.631372549,0.6803921569,0.9103942652,0.7380006976,171|106|102
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_SNR=-16,0.3632381413,223245.605,87731.09094,1.0,1.0,0.5294117647,0.5294117647,1.0,0.6921686435,171|138|108
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_SNR=-20,0.6971942432,153388.0236,45645.20067,1.0,1.0,0.7539215686,0.8362745098,0.8477791639,0.8051752993,209|180|203
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_no_noise,0.723985452,146825.8077,43513.47294,0.9036365751,0.9444246218,0.731372549,0.8362745098,0.8054713955,0.777526299,147|223|133
