snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
-4,1,alexnet,low_heatflux_val0060,60,20979.71604,29752.837890625,8773.121850625,group_occlusion,heat_flux_change,nan,-285502.318359375,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,2,rf,near_onb_below_val0060,60,221505.1102,79589.84375,141915.26645,group_occlusion,heat_flux_change,nan,-103795.609375,nan,nan,nan,nan,nan,nan,nan,nan,38,515.625,112,0.5022321428571429
-4,2,rf,near_onb_above_val0120,120,427276.195,389749.78125,37526.41375000001,group_occlusion,heat_flux_change,nan,206364.328125,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,2,rf,worst_prediction_val0185,185,57593.31665,226703.375,169110.05835,group_occlusion,heat_flux_change,nan,43317.921875,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,112,0.5022321428571429
-4,2,rf,low_heatflux_val0180,180,57593.31665,83068.765625,25475.448975,group_occlusion,heat_flux_change,nan,-100316.6875,nan,nan,nan,nan,nan,nan,nan,nan,38,515.625,168,0.7522321428571429
-4,2,rf,high_heatflux_val0300,300,859343.9142,748412.5625,110931.3517,group_occlusion,heat_flux_change,nan,565027.109375,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,103697.8828125,117807.2273875,integrated_gradients,heat_flux,-91121144.0,-351358.4296875,-90769785.5703125,258.33956979783756,358426.701953125,279377.0390625,79049.66289062501,391351.74609375,279377.0390625,111974.70703125,55,743.3035714285714,55,0.24776785714285715
-4,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,103697.8828125,117807.2273875,group_occlusion,heat_flux_change,nan,-351358.4296875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,389388.9375,37887.25750000001,integrated_gradients,heat_flux,21944915968.0,-65667.375,21944981635.375,334183.9328186181,505577.2140625,422222.625,83354.58906249999,413031.9359375,422222.625,-9190.689062500023,166,2229.910714285714,7,0.033482142857142856
-4,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,389388.9375,37887.25750000001,group_occlusion,heat_flux_change,nan,-65667.375,nan,nan,nan,nan,nan,nan,nan,nan,19,261.1607142857143,112,0.5022321428571429
-4,2,cnntf_v2_gap,worst_prediction_val0033,33,181378.003,1157.796875,180220.206125,integrated_gradients,heat_flux,-37570236.0,-453898.515625,-37116337.484375,81.77232620659113,362229.26465759275,228106.88690185547,134122.37775573728,332339.83407592773,228106.88690185544,104232.9471740723,55,743.3035714285714,183,0.8191964285714286
-4,2,cnntf_v2_gap,worst_prediction_val0033,33,181378.003,1157.796875,180220.206125,group_occlusion,heat_flux_change,nan,-453898.515625,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,119617.0625,62023.74585,integrated_gradients,heat_flux,-90177296.0,-335439.25,-89841856.75,267.8334653741326,364852.8251953125,287337.45703125,77515.3681640625,378511.736328125,287337.45703125,91174.279296875,55,743.3035714285714,55,0.24776785714285715
