snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,1,alexnet,worst_prediction_val0135,integrated_gradients,2,0.01,0.9945058066476244,0.9952308762450647,0.13361660530806688
no_noise,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9978647995718735,0.9981320045288175,0.08322148203739477
no_noise,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9978646563482998,0.998136948077287,0.08037782767160265
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9986656671900351,0.9988972615496191,0.06794102650752326
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.9987086621578883,0.9989342199100074,0.06711142680056068
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.999957665628373,0.9999596916895022,0.021982011613246137
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999586490665479,0.9999606662875875,0.021674438849688178
no_noise,2,cnntf_v2_gap,worst_prediction_val0185,integrated_gradients,1,0.01,0.9999347069206428,0.9999351826518849,0.06909537397897911
no_noise,2,cnntf_v2_gap,worst_prediction_val0185,integrated_gradients,2,0.01,0.999935944335048,0.9999363706916017,0.06855089316161783
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,1,0.01,0.9994315511231188,0.9995366117613012,0.04263582584513755
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,2,0.01,0.9994817916300679,0.9995783810442632,0.04147610255683646
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999700346601256,0.9999716566167124,0.01773064499049515
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999693873593914,0.9999710506998308,0.01783335852886204
no_noise,2,alexnet,near_onb_below_val0060,integrated_gradients,1,0.01,0.9981162354582908,0.9983177534169587,0.08423878629382751
no_noise,2,alexnet,near_onb_below_val0060,integrated_gradients,2,0.01,0.9983201711756807,0.9985006985621148,0.08343015009020663
no_noise,2,alexnet,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999537548562475,0.9999559232221312,0.021982454774803224
no_noise,2,alexnet,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999548475296773,0.9999569453108116,0.02179753918922038
no_noise,2,alexnet,worst_prediction_val0303,integrated_gradients,1,0.01,0.9999535511942738,0.99995621611689,0.020095003656816372
no_noise,2,alexnet,worst_prediction_val0303,integrated_gradients,2,0.01,0.9999527630390577,0.9999554900013595,0.02000138330419857
no_noise,2,alexnet,low_heatflux_val0180,integrated_gradients,1,0.01,0.9990334219662391,0.9991493015607688,0.05650288738147158
no_noise,2,alexnet,low_heatflux_val0180,integrated_gradients,2,0.01,0.999096982451776,0.9992073932813533,0.056316994919051955
no_noise,2,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999563735394394,0.999958939776773,0.019218590509276032
no_noise,2,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999557050810329,0.9999583329971738,0.019191135209943744
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999573690922914,0.9999570478954384,0.03789366897836297
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999602705568119,0.999959918731624,0.037403253701357046
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999446208413127,0.9999482346040428,0.021509597868121125
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999448012604691,0.9999484280639955,0.021314203330987012
no_noise,3,cnntf_v2_gap,worst_prediction_val0005,integrated_gradients,1,0.01,0.996865517453075,0.9974511483976818,0.09745086354459147
no_noise,3,cnntf_v2_gap,worst_prediction_val0005,integrated_gradients,2,0.01,0.9973430417293103,0.9978388272204528,0.09151628871608398
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,1,0.01,0.9982288824706643,0.9985863636167951,0.06646187514357671
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,2,0.01,0.9982631373799719,0.9986160525738779,0.06661854521708599
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999661106453755,0.9999674855070139,0.021342266243655313
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.999965591138547,0.9999670087358,0.021444551560558838
no_noise,3,alexnet,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999732826858727,0.9999728790830539,0.03069296037598728
no_noise,3,alexnet,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999732917356104,0.9999729410578685,0.030679352158471666
no_noise,3,alexnet,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999629971623666,0.9999647640027025,0.019290794550439548
no_noise,3,alexnet,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999637770401529,0.9999654973730325,0.019007951224691243
no_noise,3,alexnet,worst_prediction_val0005,integrated_gradients,1,0.01,0.9986948724868633,0.9988416481879278,0.06599393411893875
no_noise,3,alexnet,worst_prediction_val0005,integrated_gradients,2,0.01,0.9986945075488122,0.9988440212710192,0.0659068451263129
no_noise,3,alexnet,low_heatflux_val0000,integrated_gradients,1,0.01,0.998747636732003,0.9989252691362359,0.054964238990752534
no_noise,3,alexnet,low_heatflux_val0000,integrated_gradients,2,0.01,0.9986433453644853,0.9988364326801852,0.05535788588575402
no_noise,3,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999441910716711,0.9999468956811247,0.023460333004524034
no_noise,3,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999431567388413,0.9999459226140074,0.02344568337978021
0,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9995590904689095,0.9995893846403867,0.06098155853799597
0,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.999585532021613,0.9996137668267019,0.060856046419271205
0,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999469060357554,0.9999496886277709,0.023501302520335422
0,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999462146721595,0.9999491141994191,0.02349342889826886
0,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999687579570458,0.999968668311574,0.03222449090856788
0,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.9999695157479821,0.9999694051274224,0.03193918249671935
0,1,cnntf_v2_gap,worst_prediction_val0141,integrated_gradients,1,0.01,0.9994200437143412,0.9994687858579527,0.06330430687946512
0,1,cnntf_v2_gap,worst_prediction_val0141,integrated_gradients,2,0.01,0.999445933228153,0.9994925979011233,0.06198141230758
0,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9996675368043283,0.9997071303996223,0.040869027682756305
0,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.999659176876546,0.9996996694335474,0.04073269711018757
0,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9994324048553974,0.9994566186467433,0.06380855169000013
0,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9992376583084827,0.9992704545060577,0.06954121247792293
0,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999550136783734,0.9999570924521236,0.021406555181395438
0,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999565427130359,0.9999585434030682,0.021203804301796775
0,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.999985475048092,0.999985321137732,0.026928935946531805
0,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.9999849173066011,0.9999847427412704,0.026977070204997212
0,1,alexnet,worst_prediction_val0133,integrated_gradients,1,0.01,0.9979032060661833,0.9981171152480643,0.08595538528035288
0,1,alexnet,worst_prediction_val0133,integrated_gradients,2,0.01,0.9980733054942293,0.9982789056653504,0.08212651357552204
0,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9994556021904475,0.999494340492953,0.05042932924911966
0,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9993971128763822,0.9994385972272959,0.051365310858887396
0,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9996238886774561,0.9996557269846791,0.05465228470867735
