experiment_name,noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.07.09_0.3_1,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,0.26419747380221265,0.186990271034221,237017.24764131894,13896.311395682604,200070.10203970363,8913.61605471581,0.6859047417936122,0.16297396896821267
2025.07.09_0.3_1,reference_SNR=-12,kfold,total_power_only,3,0.28041162489053895,0.20745860579329695,233643.7805906035,13301.964457991848,166019.57032416426,15549.186702363697,0.6561607604797415,0.044514364023410385
2025.07.09_0.3_1,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.13764052361103238,0.39872816623801577,247369.62565144396,66046.65258866515,216122.62759348136,57319.61616578512,0.5439965533988649,0.4817497505788562
2025.07.09_0.3_1,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,0.18983452075424467,0.40791663345796947,236986.6685326361,69733.00282836336,203594.6287830741,58507.47035183368,0.6402996185537272,0.2973828952429096
2025.07.09_0.3_1,reference_SNR=-16,group_kfold,total_power_only,3,0.19945453402743107,0.19316668005821902,241076.15957506385,34441.32362441952,187093.9643597953,19925.27268963268,0.670208484395104,0.16030151096217488
2025.07.09_0.3_1,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.42696543868877285,0.07824450115093873,213530.08112480235,45388.181306116334,182342.12306221502,39537.23395432509,0.7789651231812805,0.03943362193707152
2025.07.09_0.3_1,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,0.2272697585570089,0.3317302182837511,238120.84598049743,22400.92007875085,204156.91738889925,17835.458834546294,0.6440458901117179,0.14471793984339518
2025.07.09_0.3_1,reference_SNR=-16,kfold,total_power_only,3,0.30780083542416964,0.15443630406078201,230367.08884776197,12503.654211009716,168655.19188241335,11656.240898728152,0.6709534354568193,0.041536587763905085
2025.07.09_0.3_1,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.053657321168792516,0.4778430062400469,259029.49881151665,74279.46814721642,226049.45769262398,59016.48948582516,0.4400798088509014,0.5985084139351646
2025.07.09_0.3_1,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,0.031981164276123554,0.4180996502940653,262755.0929517671,65655.48084322689,225363.39055698575,56642.37380105894,0.4536997908568135,0.5554376097339753
2025.07.09_0.3_1,reference_SNR=-20,group_kfold,total_power_only,3,0.06881533460914868,0.22045140309519443,259378.51459179856,24830.714637433503,197369.4452319739,19507.129328162584,0.7143628949760878,0.12457489210627673
2025.07.09_0.3_1,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.29257395040098444,0.13064997633466396,234523.19498736793,28083.698532100832,204222.95221795476,30561.039219496382,0.7277761770012123,0.10567400827523962
2025.07.09_0.3_1,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.2116162042638732,0.2308161261344323,243723.71485237233,1754.8457996104123,209310.95677333247,4131.6264661285195,0.6097469364345783,0.19615364011097472
2025.07.09_0.3_1,reference_SNR=-20,kfold,total_power_only,3,0.3576220123172094,0.41456288742798,211983.21170061393,53608.2204900461,145516.62314416489,41078.359035815185,0.7215784908754914,0.13891717410484689
2025.06.11_0.3_2,no_noise,group_kfold,full_spectrogram_pca,3,0.7716333851032017,0.017984447715698113,125508.05800180505,8828.052332322372,106332.55817132378,9072.327955693596,0.9348286441464845,0.027860911359124056
2025.06.11_0.3_2,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.6773249107510342,0.03034528728422651,148870.9195267985,713.9219354139385,117123.06751559461,8965.03200278424,0.8634337465920877,0.04319770471961062
2025.06.11_0.3_2,no_noise,group_kfold,total_power_only,3,0.8598759895321567,0.06409706220984883,96587.19497086114,20642.11671111532,68973.2256268103,16905.543409111608,0.9445230744401268,0.03471237719167388
2025.06.11_0.3_2,no_noise,kfold,full_spectrogram_pca,3,0.8605045375503731,0.019059912547189087,98597.20580828171,10133.43063584504,80268.85417038629,9039.251617411883,0.9577218418897049,0.006295140658366422
2025.06.11_0.3_2,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.7671679478105989,0.11447855002407319,124806.88772784123,36174.434516330024,100232.02286496961,28271.883850540853,0.8880226984127599,0.066804212813326
2025.06.11_0.3_2,no_noise,kfold,total_power_only,3,0.9284646434674576,0.05253048145893237,67827.22353244507,27952.97307557097,42679.703543393254,21507.89384900307,0.9651807114672791,0.02654263471659593
2025.06.11_0.3_2,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.7950946047563633,0.025638719743547533,118516.17561664134,3445.6872849348283,97007.01635611546,4694.79283400297,0.9432367118807489,0.02537365685917621
