experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.503087295724767,0.12807993733228107,196362.27433796637,30659.648928496357,153255.54381095126,25178.49196985687,0.7444644842317484,0.1219372674659047
2025.07.09_0.3_1,no_noise,kfold,total_power_only,3,0.4430683379048655,0.07686915035259897,208009.80960014055,17718.421420280978,146078.30922350203,19384.44684112634,0.7348520383684868,0.018420214187517298
2025.07.09_0.3_1,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.31773413667936246,0.25473130661767296,220214.13256193846,42605.80330699876,190347.5678735671,40996.56990012175,0.7426979583814163,0.04505141188562668
2025.07.09_0.3_1,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,-0.3165234015544525,0.3425860509231358,309936.6908557609,55038.17110692833,242976.6093260071,45776.22468009038,0.7017684797107543,0.024003678802094294
2025.07.09_0.3_1,reference_SNR=-12,group_kfold,total_power_only,3,-0.04748260839808812,0.7920510993548748,266793.45520454255,111284.23645356215,220800.80342604182,91926.81136578153,0.7539743604071649,0.021549023125622645
2025.07.09_0.3_1,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.2172180706559257,0.4325737577747011,238205.97451718085,42538.762062120266,207199.33646694096,45322.72335622481,0.6763593827841691,0.14199486241416875
2025.07.09_0.3_1,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,-0.4491509174809442,0.4025722249545329,339398.5642349212,91795.60138581535,260231.22210607058,89813.13486234573,0.67903891513629,0.0614122379876296
2025.07.09_0.3_1,reference_SNR=-12,kfold,total_power_only,3,0.09346366370857517,0.5408054543838162,252198.06203388903,57169.14504788988,187257.9703946892,39610.145524749205,0.7251805890579712,0.0613058467322782
2025.07.09_0.3_1,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.348191225022233,0.12662439226485442,217819.6919589379,24900.86876620764,189567.20829023374,29527.810364072982,0.7234812706081787,0.02720958852233405
2025.07.09_0.3_1,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,-0.3585054763225382,0.23733647199394123,315486.0712439236,41922.118072002806,245613.64571382455,36069.9001567124,0.609394278284776,0.1146481152464182
2025.07.09_0.3_1,reference_SNR=-16,group_kfold,total_power_only,3,-0.8903799642463043,0.452282784208209,371653.28843618603,61753.77663886464,301687.2174111306,59200.37501817521,0.7588870198048503,0.027998490337716977
2025.07.09_0.3_1,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.22761467779518332,0.4249499588248021,236671.50728483187,41953.86671847228,204694.57818748194,44490.278740459704,0.6328238660209614,0.2057443926697307
2025.07.09_0.3_1,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,-0.5109878099054369,0.4373151030113743,345786.3214378246,90451.29034386847,264031.8342915534,89275.49844307487,0.6195551863112337,0.15868340791247895
2025.07.09_0.3_1,reference_SNR=-16,kfold,total_power_only,3,-0.7914124162979942,0.21152563229088076,378267.76241329004,83257.56260848256,291774.1387793974,77737.52872290876,0.6740094833937288,0.05324086826227829
2025.07.09_0.3_1,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.34301808305414533,0.13373744342894872,218736.5874717006,27296.677307955488,190090.0247485671,31908.30588604557,0.7135211607858434,0.04980442749404528
2025.07.09_0.3_1,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.3787266183265679,0.2149068444404132,317885.9652841866,39134.48052481243,247742.70073568204,28270.33530670095,0.5662400962403212,0.233973498590035
2025.07.09_0.3_1,reference_SNR=-20,group_kfold,total_power_only,3,-0.890988021604476,0.45132022107136616,371719.19067209883,61649.30330814671,301755.3267861306,59100.2543831918,0.7588870198048503,0.027998490337716977
2025.07.09_0.3_1,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.2523375184715876,0.36540516215075247,234295.954359255,34719.214715504364,205464.13259296762,41904.04725089053,0.6182764678499438,0.20852237519755232
2025.07.09_0.3_1,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,-0.5405595385673884,0.500018221678629,348641.88743666693,95835.28382065184,271271.0622888864,92672.24225057945,0.6473892912717432,0.11748870170068182
2025.07.09_0.3_1,reference_SNR=-20,kfold,total_power_only,3,-1.1545361036953519,0.5051536269172691,410798.62603587547,75540.2126575933,323449.5612573681,70759.75922129759,0.6264741449008969,0.1549860826098163
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.13821179015470408,0.36765031447684055,246285.67627171578,52129.46934352157,211506.2698788559,52668.60679511181,0.6290580767191946,0.25519896459133423
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,-0.37915829508498794,0.43904881287736514,316579.91268030886,65801.22794198034,251334.42139292942,58742.903805229274,0.5880528116772544,0.10707804448897001
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,total_power_only,3,0.29012313225859304,0.3949217974036345,220980.6710386998,49647.233327173446,184811.97939678127,25674.87281464134,0.7539743604071648,0.021549023125622506
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.15749662616255924,0.42376223793257134,248311.1247881157,38168.7475011049,213290.78856484182,38672.45054363298,0.6460446625376011,0.04984942737760466
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,-0.4597274053611003,0.36912249330391345,340693.6481393787,87655.19557219755,262949.6925482529,86512.18719736907,0.676798689358651,0.09777811910886226
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,3,0.28277358846930906,0.4089865999130375,226283.80062068033,38730.02681118039,178211.05844637207,25895.445143928348,0.7279187699249396,0.06285467801949701
2025.07.09_0.3_1,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.13601447393674734,0.3606231486098611,246836.61550859583,48599.65084404567,212683.569796394,41475.16038494303,0.6653119981083394,0.10641013968216674
2025.07.09_0.3_1,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,-0.35249691585188686,0.38059524662292044,313933.0206445831,59221.05200390714,247873.54473446822,49038.97561225235,0.6467597342628589,0.07667290215450566
2025.07.09_0.3_1,reference_SNR=-8,group_kfold,total_power_only,3,-0.04748260839808812,0.7920510993548748,266793.45520454255,111284.23645356215,220800.80342604182,91926.81136578153,0.7539743604071649,0.021549023125622645
2025.07.09_0.3_1,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.2018406091740745,0.5021718557110932,238487.6718362025,51452.8983914626,207436.6106001749,48890.92138405441,0.7070018228411853,0.07726491532287925
2025.07.09_0.3_1,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,-0.4476160592496334,0.3898321169653817,339288.3094540853,90538.89271418101,261363.73248510296,88586.31612182825,0.6752559092640403,0.08619075472633692
2025.07.09_0.3_1,reference_SNR=-8,kfold,total_power_only,3,0.09346366370857517,0.5408054543838162,252198.06203388903,57169.14504788988,187257.9703946892,39610.145524749205,0.7251805890579712,0.0613058467322782
2025.07.09_0.3_1,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.0900903287649197,0.4284466030915947,252108.60401529595,68171.19698101093,210716.84238951153,65226.69173755865,0.5582274794301133,0.4066318262732251
2025.07.09_0.3_1,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,-0.5115848954518296,0.5872147174330274,330412.3135004992,80166.55643894598,265089.1995179294,73980.49612140573,0.43852389977190764,0.2847971436062305
2025.07.09_0.3_1,reference_SNR=0,group_kfold,total_power_only,3,0.29012313225859304,0.3949217974036345,220980.6710386998,49647.233327173446,184811.97939678127,25674.87281464134,0.7539743604071648,0.021549023125622506
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,3,0.21465697262575045,0.37713362530220923,241492.77381566042,42880.93871680527,207525.16113665956,50418.72318829576,0.6331580988818225,0.06683120304538297
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,-0.5051686091062003,0.3724740480381673,345766.1776277828,86541.64879236283,266745.4801113841,86005.33249522072,0.6534394208608051,0.08355757484544937
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,3,0.2828447720847828,0.4090220010011841,226271.60344880924,38742.76525908488,178003.53066859432,26149.956550020423,0.7280493660986335,0.06264223189227772
2025.06.11_0.3_2,no_noise,group_kfold,full_spectrogram_pca,3,0.770421194807557,0.02517868591034487,125913.13215621102,12480.06350397008,105939.11930031684,12406.343077619731,0.9359911367828393,0.027736949946769375
2025.06.11_0.3_2,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.6745510862497838,0.029830139647084572,149517.52851408054,1037.341726736815,116938.5302839974,9289.793059883052,0.8620062494591881,0.04055397006736829
2025.06.11_0.3_2,no_noise,group_kfold,total_power_only,3,0.8598759895321567,0.06409706220984883,96587.19497086114,20642.11671111532,68973.2256268103,16905.543409111608,0.9445230744401268,0.03471237719167388
