experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,group_kfold,total_power_only,3,0.8841017809918795,0.06554658133896528,71920.84490584594,4649.532657761416,57019.03846622125,5068.010316967561,0.9473005937980897,0.04056784739657896
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,full_spectrogram_pca,3,0.8457810618853334,0.08080489549478967,102792.37879753941,33685.06826444572,70587.80584924556,24761.379326621052,0.9536261600962291,0.023288334240809203
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,0.8277336816276618,0.02101689797276195,111070.74466353485,5239.4347507244,87040.89382829417,5038.055019028451,0.9263293988076108,0.016277793437047387
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,total_power_only,3,0.9491026421822771,0.014356095648947244,60309.95167160581,10587.476059524335,42734.36666202888,10493.530705333269,0.9796166114691659,0.005306313690710189
2025.06.18_0.3_3,heatflux_SNR=-12,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-12,group_kfold,full_spectrogram_pca,3,0.8366130659616676,0.08811977255968831,94591.67371158909,49116.21826106389,72504.63547355805,38571.44971921607,0.954254059400872,0.015478460545382192
2025.06.18_0.3_3,heatflux_SNR=-12,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,0.6920205145278605,0.17060786753848764,117089.35157797195,7885.59981962876,94572.51146234277,4173.894857955111,0.9241953436914288,0.015971026408321036
2025.06.18_0.3_3,heatflux_SNR=-12,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-12,group_kfold,total_power_only,3,0.8771883074504919,0.06058444181741924,74908.46697959433,6096.667763413571,59258.01659122126,5689.247105390587,0.9445212711327948,0.03850531230918641
2025.06.18_0.3_3,heatflux_SNR=-12,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-12,kfold,full_spectrogram_pca,3,0.8187854472366194,0.08593981417252824,112182.95271996535,32871.89070372451,77748.21524588445,25009.029236035836,0.9465583366315228,0.021882000782463263
2025.06.18_0.3_3,heatflux_SNR=-12,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,0.8492083841978789,0.03670396802105338,103620.89675014537,12266.390972467647,80946.93740998166,10408.271936431856,0.9314260326052467,0.023205787492604064
2025.06.18_0.3_3,heatflux_SNR=-12,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-12,kfold,total_power_only,3,0.9467586421447911,0.015186464480535736,61644.85449403957,11103.30039246904,43925.71539511916,9783.994572911002,0.9781147391329252,0.00666005652323247
