experiment_name,variant,noise_dir,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,fixed_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,total_power_only,3,0.715505819742737,0.07227438525750342,140993.19508881468,13785.59464685298,111912.74319925426,13365.308271337824,0.8712358797955077,0.04198306084596513
2025.06.18_0.3_3,fixed_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,3,0.7860384123817606,0.07548603736520405,121561.95333852374,20639.06977286686,100874.42315988445,18245.95656390103,0.9037409263146573,0.03931524744285753
2025.06.18_0.3_3,fixed_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.7935077942180352,0.0614579400904068,119785.09111869456,16257.565153632175,100232.38381419,15555.724575639468,0.9077912639173086,0.026442647732278432
2025.06.18_0.3_3,fixed_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_fixed_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,3,0.6637244137899926,0.11466735627527737,152314.52244775833,24286.453153959435,110979.03577040182,20750.22037712868,0.8418987647343127,0.050077818227772776
2025.07.09_0.3_1,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,full_spectrogram_pca,3,0.19569305710645243,0.5764590441515697,230844.23713679126,100940.99527672873,189855.594322819,87406.59499476457,0.5320268814816186,0.5559426219842737
2025.07.09_0.3_1,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.16024020316612794,0.38060599953824736,242834.2864767349,63401.667774514055,195939.23061673762,51069.58678679865,0.6665381909644967,0.19867156550349427
2025.07.09_0.3_1,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,group_kfold,total_power_only,3,0.24371488038466596,0.19766609501627636,234955.618528504,41196.18969452426,182278.0703429645,33100.85697372117,0.6897002135550507,0.1806397465168293
2025.07.09_0.3_1,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,full_spectrogram_pca,3,0.4691537035472422,0.1931434775639253,199774.15321745817,20642.481500366965,157588.4012121431,29362.689780962537,0.7762556692051717,0.0707882065390892
2025.07.09_0.3_1,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,old_style_magnitude_minmax_pca,3,0.5036587300976629,0.07254384893130451,196132.045906115,11496.399700404108,148040.73567797453,14694.973509024547,0.7625591384140528,0.04870639679414942
2025.07.09_0.3_1,relative_mixture,heatflux_no_noise,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_no_noise,kfold,total_power_only,3,0.3333914922148267,0.286685203429463,220619.7816711665,27296.006827336045,154657.08722745618,15949.46227010358,0.7259067355681172,0.08617398638486641
