experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,full_spectrogram_pca,2,60,30,0.8503826267631751,107586.88185837727,73768.05488423485,0.9731383196141543
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,old_style_magnitude_minmax_pca,2,60,30,0.9101225260900372,83386.11430357432,68048.91460388066,0.9593284438742138
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,total_power_only,3,60,30,0.9719907469302724,44661.515073109294,26866.64553609665,0.9860414849820526
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,full_spectrogram_pca,3,60,30,0.849556578980811,103506.89677416989,77890.16427201133,0.9521303543874049
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8215731758655113,112723.05766704337,84914.94649238634,0.9167284872904272
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,total_power_only,1,60,30,0.9087136619085318,75443.20442867576,59259.350337499985,0.9781304825532537
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,full_spectrogram_pca,1,60,30,0.7339741192543763,128789.12083805526,86336.22835833332,0.941235293645607
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.7343263329092868,128703.83531776497,98312.81091916664,0.9253358685285674
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,total_power_only,2,60,30,0.9409267233861929,68084.72370741841,55474.29205775002,0.9764764281186791
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,full_spectrogram_pca,2,60,30,0.7753839579039521,132762.22869176953,109447.22100962502,0.9523580901657195
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8212794764635303,118424.44638201786,89203.94958983334,0.907908451586174
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,total_power_only,3,60,30,0.8463721036981576,60783.89069555231,46416.19153053876,0.9250444260209417
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,full_spectrogram_pca,3,60,30,0.9399664219785384,37997.110125378254,30531.19526353616,0.9724245161027478
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.6304913715344314,94268.31525277958,73657.86796011166,0.8830570609163795
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,total_power_only,1,60,30,0.960326682049996,51704.39552057859,33463.430678348894,0.9834894457410451
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,full_spectrogram_pca,1,60,30,0.9447879893253667,60995.10529520655,40584.75414148008,0.9802810078722951
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,old_style_magnitude_minmax_pca,1,60,30,0.7030914497973944,141445.63701376287,96428.46662476133,0.8907802628469009
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,total_power_only,2,60,30,0.9457084153372758,64808.887557736416,48139.59028346401,0.9732428897021775
