experiment_name,noise_level,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,2,60,30,0.9150758017237315,81055.78864238146,54397.276613081434,0.9592313101266662
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,2,60,30,0.8826882206211795,95266.2606803548,75054.66146463067,0.9671678892262131
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8144554966524791,119809.80309850098,93591.816461714,0.9208120344108799
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,3,60,30,0.975651120282478,41641.09872791055,30136.65421233237,0.9892375795722129
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,3,60,30,0.8084516238825392,116794.3745374587,84968.83013509467,0.9351965683569191
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,60,30,0.7488811682543317,133727.9937382923,108728.330606178,0.9047094897327698
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,1,60,30,0.9190091103004314,72907.57760003679,58282.29135058334,0.9647389687301883
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,1,60,30,0.8436378679518429,101302.549541178,77729.64139916669,0.9548686920237872
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.8255164144682978,107011.85008000772,87689.66108833333,0.9151318364469518
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,2,60,30,0.8730474472483165,100107.94032226845,80137.20578254467,0.9371248737453128
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,2,60,30,0.8816678397921743,96649.40916047683,72584.155341125,0.9779537630774447
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8045625606777995,124208.60634118786,99535.17328774999,0.9560834807434009
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,3,60,30,0.8364049371634363,106532.11527001462,82010.84012475752,0.923064793467588
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,3,60,30,0.7953571977206055,119149.90241283285,105521.70874048669,0.9250813699982626
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.7903177680734559,120608.04262432837,105483.28621965337,0.905233604150112
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,1,60,30,0.9256714693411351,70771.10515442933,40636.117800055115,0.9649560359309942
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,1,60,30,0.87426787283459,92045.24017641554,76005.76628951136,0.9544985920464246
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8966731655218184,83442.01171194305,63530.735087532164,0.9488038169486153
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,2,60,30,0.8913054079107116,91700.6209247348,63673.28349605097,0.9457964846835765
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,2,60,30,0.8530160626489438,106635.8527576773,86337.64493088068,0.9441233278137188
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,2,60,30,0.817908873897933,118689.60888183008,93536.13881275567,0.9128793958095904
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,3,60,30,0.9767648025066598,40677.651580804675,29571.22497267783,0.9903557924397501
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,3,60,30,0.810582484606879,116142.92406106876,85941.71508946968,0.92654510142291
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,60,30,0.7542914545417208,132279.58340334226,106410.62490044883,0.8966730799935708
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,1,60,30,0.9188840651897995,72963.83837165062,58120.301795750005,0.9671688627313536
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,1,60,30,0.7945311850422196,116125.4852936293,95135.95859125002,0.9292760092654183
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.8582917034833045,96438.89433198498,78520.475648125,0.9324183991798252
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,2,60,30,0.8513087732687291,108340.41111598756,86116.60586406852,0.9250279231851115
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,2,60,30,0.7990995020037506,125932.64169183486,96125.67235983332,0.95471306875983
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8488468787290129,109233.63017369038,90706.708110875,0.9581106972703576
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,3,60,30,0.818406351713116,112239.51485299798,90101.74995548668,0.9129868515075158
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,60,30,0.803223906567796,116837.32926273001,105335.72443465336,0.9264850566441877
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.8046655578222294,116408.54666769537,102297.33036027836,0.9108328901687162
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,1,60,30,0.9239698816927469,71576.59538208171,43375.51363034748,0.9620041869907514
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,1,60,30,0.8637991407675448,95800.57757194994,79793.13029451134,0.9483679054498356
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8735549480928197,92305.82819017043,79471.78780201133,0.9371576529294258
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,2,60,30,0.8462318971944098,109069.02626018577,78334.64620342232,0.9204331281831886
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,2,60,30,0.8572035393403968,105105.88405355898,84676.65234338067,0.9428334221479309
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8192562521430093,118249.67331093267,94883.761774214,0.9205703899934853
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,3,60,30,0.9129377706804742,78740.39330739992,44825.942444938424,0.965937522143358
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,3,60,30,0.8519718669053721,102672.66124552797,80725.89712488634,0.9337894110032211
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8137795303897948,115158.60538098896,91027.942509678,0.9222530160113565
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,1,60,30,0.8938805390928907,83454.95002506736,66985.24154251043,0.9535563531844906
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,1,60,30,0.8113769019027652,111263.32153576652,92143.13280270835,0.9496831497944477
