experiment_name,noise_level,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,1,43,22,0.5609066150706268,220709.8587733204,169606.90955995844,0.832952290911098
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,2,43,22,0.4550796341854052,184184.20512276617,119024.16285626442,0.7160103739635449
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,2,43,22,0.09048874863584977,237952.29750355883,197655.3656000317,0.5920129483832206
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,2,43,22,0.331856597421628,203948.58974405582,171557.67088231907,0.6957423762709721
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,3,44,21,0.12268772317966292,244789.84451597978,177191.3343067515,0.612494645210393
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,3,44,21,0.40561539372226374,201488.40999160457,160050.9554819032,0.6407729904729468
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,44,21,0.5637330575692157,172620.53017788226,136320.8820268404,0.760184046507195
2025.07.09_0.3_1,reference_SNR=0,group_kfold,total_power_only,1,40,25,0.010673832535120775,280699.81817763107,204773.7146610405,0.47883052219641603
2025.07.09_0.3_1,reference_SNR=0,group_kfold,full_spectrogram_pca,1,40,25,-0.2894808791584069,320464.43339050247,266119.82117548975,0.13364534829989355
2025.07.09_0.3_1,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,1,40,25,-0.13104222637072338,300131.6479240313,220024.5745336486,0.6377792314871122
2025.07.09_0.3_1,reference_SNR=0,group_kfold,total_power_only,2,45,20,0.2690186331525648,220366.10723806344,178415.98060329087,0.8896002672887096
2025.07.09_0.3_1,reference_SNR=0,group_kfold,full_spectrogram_pca,2,45,20,0.16081309324903192,236113.5963663791,196004.53689727274,0.8598352565878044
2025.07.09_0.3_1,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,2,45,20,0.3593783796839368,206296.77670754644,162541.11221571834,0.8254267953387231
2025.07.09_0.3_1,reference_SNR=0,group_kfold,total_power_only,3,45,20,0.5035160979571998,191666.57855566457,154818.78601638274,0.7381296031029531
2025.07.09_0.3_1,reference_SNR=0,group_kfold,full_spectrogram_pca,3,45,20,0.6716192664728027,155877.2153822071,130330.76089067454,0.8269718351784432
2025.07.09_0.3_1,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,45,20,0.6397188846633481,163273.06812831515,120465.92067196322,0.8000603913325287
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,1,43,22,0.5187422746122061,231063.9231091693,178851.50292165476,0.7453764480241207
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,1,43,22,0.4582275608628812,245161.20069097506,202838.33224198417,0.6990805465164989
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,1,43,22,0.6035948532412518,209707.00025869123,162295.90387814026,0.8473041660733857
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,2,43,22,0.5400230060191491,169220.86853994013,116362.3750264483,0.7563603419478488
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,2,43,22,0.03350232699858213,245293.63031588108,197382.56864240058,0.6959547000135214
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,2,43,22,0.21977961913212707,220391.33203997795,171483.5800439108,0.6542649109785013
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,3,44,21,0.11902870382915953,245299.78768348816,169091.60314016227,0.5984241438051876
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,3,44,21,0.42763427630503903,197721.13830570786,156904.31134231662,0.6647305264727529
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,44,21,0.4523138829610799,193411.44040219233,159866.22673847148,0.6793681570775792
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,total_power_only,1,40,25,0.07815254480607992,270957.9599131822,204161.45591104048,0.5226008839548293
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,full_spectrogram_pca,1,40,25,-0.2510055136691307,315647.23918213375,255653.73626952982,0.17844013195476693
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,1,40,25,0.044849102871901136,275808.9641314657,211473.05939452985,0.5739058106137503
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,total_power_only,2,45,20,0.3802188811298379,202913.44181664067,163205.26204860336,0.9022694894657473
2025.07.09_0.3_1,reference_SNR=-4,group_kfold,full_spectrogram_pca,2,45,20,0.018390153304024714,255364.83920756882,215059.27010039776,0.846873613513177
