experiment_name,role,source_wav_id,heat_flux,q_over_onb,threshold_in_1e9_units,n_peak_pass,n_training_retained_if_applied,n_strong,passing_chunk_indices
2025.06.11_0.3_2,train,index=14.5.54E+05,554196.3218,1.501976172271794,10.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=14.5.54E+05,554196.3218,1.501976172271794,30.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,1.6923566546042077,0.1,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,1.6923566546042077,0.3,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,1.6923566546042077,1.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,1.6923566546042077,3.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,1.6923566546042077,10.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,1.6923566546042077,30.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,1.8928529539713477,0.1,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,1.8928529539713477,0.3,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,1.8928529539713477,1.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,1.8928529539713477,3.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,1.8928529539713477,10.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,1.8928529539713477,30.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,2.104859913842313,0.1,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,2.104859913842313,0.3,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,2.104859913842313,1.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,2.104859913842313,3.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,2.104859913842313,10.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,2.104859913842313,30.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,2.3289834886002247,0.1,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,2.3289834886002247,0.3,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,2.3289834886002247,1.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,2.3289834886002247,3.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,2.3289834886002247,10.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,2.3289834886002247,30.0,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,0.0063834013945082,0.1,0,60,0,
2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,0.0063834013945082,0.3,0,60,0,
2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,0.0063834013945082,1.0,0,60,0,
2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,0.0063834013945082,3.0,0,60,0,
2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,0.0063834013945082,10.0,0,60,0,
2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,0.0063834013945082,30.0,0,60,0,
