experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,spectrum_method,spectrum_unit,peak_850_1200_psd,peak_850_1200_hz,peak_1250_1650_psd,peak_1250_1650_hz,peak_2100_2500_psd,peak_2100_2500_hz
2025.06.11_0.3_2,index=1.3.28E-04,24,24.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0024.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.6217098377744093e-11,1055.126953125,2.240255216239291e-11,1356.591796875,2.0326369578885844e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,25,25.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0025.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.917154527157824e-11,1055.126953125,2.5591567848639085e-11,1356.591796875,2.445201623262867e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,26,26.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0026.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.2930159061710676e-11,1055.126953125,1.6703410725631418e-11,1356.591796875,2.0775014634350506e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,27,27.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0027.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.803187672273363e-11,1055.126953125,2.0119108460350028e-11,1356.591796875,2.0020161029833372e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,28,28.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0028.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.537339358568332e-11,1055.126953125,1.7205087253361672e-11,1356.591796875,2.223888583950583e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,29,29.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0029.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.4259326959608927e-11,1055.126953125,1.1099719218415765e-11,1356.591796875,1.8785237883027845e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,30,30.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0030.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.3064596251440026e-11,1055.126953125,1.0845491448134847e-11,1356.591796875,1.6440224754523475e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,31,31.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0031.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.411264529475351e-11,1055.126953125,1.1628994357452948e-11,1356.591796875,1.7748259866899706e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,32,32.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0032.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.4563905037126964e-11,1055.126953125,1.1118076893937693e-11,1356.591796875,1.91048879177584e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,33,33.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0033.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,7.9483030398915e-11,904.39453125,2.6249782966813026e-11,1356.591796875,1.7468409873669218e-11,2304.052734375
