snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error,maxfreq_khz
-12,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9210738349325552,75305.37092060359,60439.95802330294,0.8796740921810448,55699.74037931735,43996.12049999999,9168.479999999981,9168.479999999981,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,359809.625,-9168.47999999998,3
-12,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9243117691930748,73744.49878076286,50144.69898892796,0.9700235627960492,27801.204002059992,17637.992881250015,3103.3950000000186,3103.3950000000186,1,1,1,1.0,1,1.0,1.0,1.0,0,0,372081.5,3103.3950000000186,3
-12,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9146893719776275,78291.93390915585,61142.267191445295,0.8627457721314087,59488.9718286676,45489.927037500005,3388.9643749999814,3388.9643749999814,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,365589.140625,-3388.9643749999814,3
-12,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9271645497885144,72341.39109368515,51544.27212260851,0.9333082044265268,41467.68611727477,26114.146262500028,2973.0737499999814,2973.0737499999814,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,366005.03125,-2973.0737499999814,3
-12,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9266570699080264,72592.9723977334,50895.87870109281,0.937403512109116,40174.32428544661,24171.09815445783,1728.3188342020148,1728.3188342020148,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,367249.786165798,-1728.3188342020148,3
-16,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9189661690440458,76304.2339829472,60981.372953858496,0.882502481084768,55041.206554659744,43330.89003124999,8517.667499999981,8517.667499999981,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,360460.4375,-8517.667499999981,3
-16,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9274338587451276,72207.52615081726,50276.77674309462,0.9690759788337876,28237.196648728583,16657.131756250004,3473.4643749999814,3473.4643749999814,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,365504.640625,-3473.4643749999814,3
-16,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.8989130558822258,85224.21021327312,70681.6556582856,0.8182946776919647,68447.47338910942,58698.138053125,40835.60499999998,40835.60499999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,328142.5,-40835.60499999998,3
-16,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9280988691568252,71875.90264021787,52850.63973509404,0.929956184517562,42497.02174024376,28724.60459583336,18584.287291666667,18584.287291666667,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,350393.8177083333,-18584.287291666667,3
-16,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.930067390860886,70885.1588898533,52264.186074674326,0.9350641033547246,40918.15265722281,28624.70757228219,17850.17353297514,17850.17353297514,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,351127.93146702484,-17850.17353297514,3
-20,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.918892770661273,76338.78337829928,60597.644221219605,0.8875492797088006,53846.15762908819,41669.52089062499,7401.4331249999805,7401.4331249999805,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,361576.671875,-7401.433124999981,3
-20,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9193513498064254,76122.66825826287,56739.86859795573,0.9675378245093608,28930.930901049654,23784.858937500016,9576.504375000017,9576.504375000017,1,1,1,1.0,1,1.0,1.0,1.0,0,0,378554.609375,9576.50437500002,3
-20,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9142280903735513,78503.31402990078,60358.48343892794,0.8703634319863045,57814.57799275996,41634.981943750005,19899.44874999998,19899.44874999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,349078.65625,-19899.44874999998,3
-20,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9226689400691576,74540.52250626328,53838.273442776335,0.9333219600840305,41463.40939403708,27298.434022916685,4825.2924999999805,4825.2924999999805,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,364152.8125,-4825.292499999981,3
-20,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9233813513055996,74196.37633594722,52920.32538407954,0.9409075840509412,39033.677578093935,24787.097740937985,4734.599821200944,4734.599821200944,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,364243.50517879904,-4734.599821200944,3
no_noise,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.913938288976829,78635.82352878286,59673.26797781683,0.8861676576183469,54175.93729051399,41527.29628124999,12448.79249999998,12448.79249999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,356529.3125,-12448.79249999998,22
no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.962283190306594,52057.45429771598,35403.10291915364,0.9787584510939557,23402.73895307084,16856.681637500005,5118.4174999999805,5118.4174999999805,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,363859.6875,-5118.417499999981,22
no_noise,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9427601572499524,64130.50610244332,53335.10331611544,0.917105064952577,46231.45855618649,37191.991490625005,13942.02687499998,13942.02687499998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,355036.078125,-13942.02687499998,22
no_noise,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9504821471105032,59648.0642194104,44506.130683806434,0.9454299649855716,37510.3152073332,28043.149517708363,11977.224791666667,11977.224791666667,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,357000.8802083333,-11977.224791666667,22
no_noise,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9535068544402706,57797.61480138581,42146.634360587785,0.9564050541028906,33526.76643456277,24065.168218342827,11674.352793806756,11674.352793806756,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,357303.7522061932,-11674.352793806756,22
0,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9132909550873116,78931.00863620042,61528.292905073766,0.8811175182529589,55364.646173731926,44643.11378125,32826.16062500002,32826.16062500002,1,1,1,1.0,1,1.0,1.0,1.0,0,0,401804.265625,32826.16062500002,22
0,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9473440107689288,61509.09530727643,37468.834880073766,0.9864752976778652,18674.00432084179,11253.071890624997,4409.5268749999805,4409.5268749999805,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,364568.578125,-4409.526874999981,22
0,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9213839664946784,75157.27326640846,54193.20849085503,0.902948250615676,50023.6389874384,35879.907506250005,29852.62062499998,29852.62062499998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,339125.484375,-29852.62062499998,22
0,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9397116895493848,65816.07934408035,46030.67650512442,0.9466976267782302,37072.072890850795,23419.426932291688,3373.837708333333,3373.837708333333,1,1,1,1.0,1,1.0,1.0,1.0,0,0,372351.9427083333,3373.837708333333,22
0,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9401670459046368,65567.05449355913,44805.39793531054,0.9523127821156652,35065.06032898482,20669.75207826452,1635.8902357483748,1635.8902357483748,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,367342.2147642516,-1635.8902357483748,22
-4,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9159116228398774,77729.06377689232,59995.56832503905,0.8873556435903767,53892.498267225,41151.64003124999,8689.651874999981,8689.651874999981,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,360288.453125,-8689.651874999981,22
-4,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9298989256018692,70970.48749170745,47105.17508944878,0.9776227637632512,24020.211151832824,17771.37105312501,2523.8793750000186,2523.8793750000186,1,1,1,1.0,1,1.0,1.0,1.0,0,0,371501.984375,2523.8793750000186,22
-4,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9057087140306204,82309.74015943921,62350.449335625,0.905099777556277,49466.04777614476,38769.813756250005,21722.94874999998,21722.94874999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,347255.15625,-21722.94874999998,22
-4,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9302556014244044,70789.7075375277,51050.79146615597,0.9448083788316072,37723.34303892919,26939.478512500034,9916.922708333352,9916.922708333352,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,359061.1822916666,-9916.922708333354,22
-4,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9295401134558552,71151.88678225022,50230.847527973565,0.9519556378653768,35196.121910562106,25017.101284609213,9076.574126757914,9076.574126757914,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,359901.53087324207,-9076.574126757914,22
-8,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9227228924736204,74514.51521939196,58634.675905247386,0.8872058109051236,53928.32862127294,40575.91346874999,4068.308124999981,4068.308124999981,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,364909.796875,-4068.308124999981,22
