maxfreq_khz,snr,model,source_wav_id,y_true,error,fraction_squared_error
22,-16,alexnet,index=14.5.54E+05,554196.3218,-69487.05617500003,0.03897783285322043
22,-16,alexnet,index=15.6.24E+05,624442.5514,-23111.145149999997,0.004311742265115905
22,-16,alexnet,index=16.6.98E+05,698421.296,-18803.920999999973,0.00285434653848313
22,-16,alexnet,index=17.7.77E+05,776647.2223,-107158.34730000002,0.09269618834306005
22,-16,alexnet,index=18.8.59E+05,859343.9142,-86491.6017,0.060388986643787064
22,-16,alexnet,index=2.2.36E+03,2355.33535,-34760.970115625,0.009754244541074316
22,-16,alexnet,index=3.2.10E+04,20979.71604,30823.30349125,0.007669520762772517
22,-16,alexnet,index=4.5.76E+04,57593.31665,647.2634281249993,3.3819875208052543e-06
22,-16,alexnet,index=5.1.11E+05,111264.7017,-121388.59281328126,0.11895032048229216
22,-16,alexnet,index=6.1.44E+05,144324.2618,-81965.67586250001,0.05423428402491503
22,-16,alexnet,index=7.1.81E+05,181378.003,-148077.044015625,0.17700491877132113
22,-16,alexnet,index=8.2.22E+05,221505.1102,-170381.6180125,0.23434480958817025
22,-16,alexnet,index=9.2.67E+05,266907.6965,-91168.54806250002,0.06709651126838387
22,-16,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,120892.105140703,0.21950056895291428
22,-16,ensemble__simple_equal,index=10.3.15E+05,315466.1173,-58535.224070833356,0.051460540127427
22,-16,ensemble__simple_equal,index=11.3.69E+05,368978.105,-15230.391458333354,0.0034838696849209404
22,-16,ensemble__simple_equal,index=12.4.27E+05,427276.195,-16944.200208333437,0.004312031438008651
22,-16,ensemble__simple_equal,index=13.4.89E+05,489453.9981,15403.330024999974,0.003563436391950708
22,-16,ensemble__simple_equal,index=14.5.54E+05,554196.3218,-20164.61346666678,0.006106882624845393
22,-16,ensemble__simple_equal,index=15.6.24E+05,624442.5514,-9734.290983333485,0.0014231425986811041
22,-16,ensemble__simple_equal,index=16.6.98E+05,698421.296,-4802.045999999973,0.00034633182532987276
22,-16,ensemble__simple_equal,index=17.7.77E+05,776647.2223,-52143.14938333351,0.040835162380251894
22,-16,ensemble__simple_equal,index=18.8.59E+05,859343.9142,-86082.99753333349,0.11129471267180038
22,-16,ensemble__simple_equal,index=2.2.36E+03,2355.33535,36988.43255364583,0.02054809786224665
22,-16,ensemble__simple_equal,index=3.2.10E+04,20979.71604,67223.58213708331,0.06787081618195492
22,-16,ensemble__simple_equal,index=4.5.76E+04,57593.31665,36848.22892291664,0.020392619097320232
22,-16,ensemble__simple_equal,index=5.1.11E+05,111264.7017,-54226.04056718752,0.04416269409617516
22,-16,ensemble__simple_equal,index=6.1.44E+05,144324.2618,-47139.80086250001,0.033374537577915225
22,-16,ensemble__simple_equal,index=7.1.81E+05,181378.003,-94595.21784375,0.13439345942920097
22,-16,ensemble__simple_equal,index=8.2.22E+05,221505.1102,-123867.95915833335,0.23043992987764936
22,-16,ensemble__simple_equal,index=9.2.67E+05,266907.6965,-20789.378791666735,0.006491167181407265
22,-16,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,118841.66432860936,0.2226686527843345
22,-16,ensemble__inner_holdout,index=10.3.15E+05,315466.1173,-63516.58088687263,0.06360567336638975
22,-16,ensemble__inner_holdout,index=11.3.69E+05,368978.105,-15580.604825197486,0.003827280177744297
22,-16,ensemble__inner_holdout,index=12.4.27E+05,427276.195,-12809.958693039604,0.002587123075276399
22,-16,ensemble__inner_holdout,index=13.4.89E+05,489453.9981,6182.549809605989,0.0006026385074306313
22,-16,ensemble__inner_holdout,index=14.5.54E+05,554196.3218,-19840.33281517704,0.006206110972214489
22,-16,ensemble__inner_holdout,index=15.6.24E+05,624442.5514,-6981.321789174806,0.000768416963301629
22,-16,ensemble__inner_holdout,index=16.6.98E+05,698421.296,425.7283916292945,2.857504079020345e-06
22,-16,ensemble__inner_holdout,index=17.7.77E+05,776647.2223,-48708.79025758838,0.037405573514270346
22,-16,ensemble__inner_holdout,index=18.8.59E+05,859343.9142,-82371.47223479277,0.10697327387705952
22,-16,ensemble__inner_holdout,index=2.2.36E+03,2355.33535,21204.031971368644,0.007088568356351565
22,-16,ensemble__inner_holdout,index=3.2.10E+04,20979.71604,69572.41095399021,0.07631250999069943
