frequency,model,source_wav_id,y_true,sse_reduction_0_to_minus20
maxfreq=22kHz,alexnet,index=6.1.44E+05,144324.2618,4042651950.070087
maxfreq=22kHz,alexnet,index=7.1.81E+05,181378.003,8642957140.879116
maxfreq=22kHz,alexnet,index=8.2.22E+05,221505.1102,-12514783649.721752
maxfreq=22kHz,alexnet,index=9.2.67E+05,266907.6965,6739695568.126183
maxfreq=22kHz,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,17760927987.905903
maxfreq=22kHz,ensemble__simple_equal,index=10.3.15E+05,315466.1173,508732343.82859373
maxfreq=22kHz,ensemble__simple_equal,index=11.3.69E+05,368978.105,-453988535.49612045
maxfreq=22kHz,ensemble__simple_equal,index=12.4.27E+05,427276.195,451628873.97665757
maxfreq=22kHz,ensemble__simple_equal,index=13.4.89E+05,489453.9981,334579666.9963625
maxfreq=22kHz,ensemble__simple_equal,index=14.5.54E+05,554196.3218,-107042029.94453652
maxfreq=22kHz,ensemble__simple_equal,index=15.6.24E+05,624442.5514,670767451.1448051
maxfreq=22kHz,ensemble__simple_equal,index=16.6.98E+05,698421.296,-4911902.360883445
maxfreq=22kHz,ensemble__simple_equal,index=17.7.77E+05,776647.2223,-49398530.872250795
maxfreq=22kHz,ensemble__simple_equal,index=18.8.59E+05,859343.9142,3014295766.096814
maxfreq=22kHz,ensemble__simple_equal,index=2.2.36E+03,2355.33535,-7987286606.860084
maxfreq=22kHz,ensemble__simple_equal,index=3.2.10E+04,20979.71604,-9464086354.066288
maxfreq=22kHz,ensemble__simple_equal,index=4.5.76E+04,57593.31665,-1439911936.8051555
maxfreq=22kHz,ensemble__simple_equal,index=5.1.11E+05,111264.7017,112257837.27631873
maxfreq=22kHz,ensemble__simple_equal,index=6.1.44E+05,144324.2618,3189948612.2648435
maxfreq=22kHz,ensemble__simple_equal,index=7.1.81E+05,181378.003,4933304078.896757
maxfreq=22kHz,ensemble__simple_equal,index=8.2.22E+05,221505.1102,-9860139624.591919
maxfreq=22kHz,ensemble__simple_equal,index=9.2.67E+05,266907.6965,1650477715.167677
maxfreq=22kHz,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,22385110355.78014
maxfreq=22kHz,ensemble__inner_holdout,index=10.3.15E+05,315466.1173,240221156.90984058
maxfreq=22kHz,ensemble__inner_holdout,index=11.3.69E+05,368978.105,-414082195.33870816
maxfreq=22kHz,ensemble__inner_holdout,index=12.4.27E+05,427276.195,469502696.1609527
maxfreq=22kHz,ensemble__inner_holdout,index=13.4.89E+05,489453.9981,140530783.96987584
maxfreq=22kHz,ensemble__inner_holdout,index=14.5.54E+05,554196.3218,-71299814.75165367
maxfreq=22kHz,ensemble__inner_holdout,index=15.6.24E+05,624442.5514,1155371013.6956503
maxfreq=22kHz,ensemble__inner_holdout,index=16.6.98E+05,698421.296,-381538868.8164111
maxfreq=22kHz,ensemble__inner_holdout,index=17.7.77E+05,776647.2223,-285799760.1069958
maxfreq=22kHz,ensemble__inner_holdout,index=18.8.59E+05,859343.9142,5339519385.083619
maxfreq=22kHz,ensemble__inner_holdout,index=2.2.36E+03,2355.33535,-5794894841.870607
maxfreq=22kHz,ensemble__inner_holdout,index=3.2.10E+04,20979.71604,-10967431108.027412
maxfreq=22kHz,ensemble__inner_holdout,index=4.5.76E+04,57593.31665,-2060057904.6904435
maxfreq=22kHz,ensemble__inner_holdout,index=5.1.11E+05,111264.7017,167174573.74361107
maxfreq=22kHz,ensemble__inner_holdout,index=6.1.44E+05,144324.2618,2962619562.559549
maxfreq=22kHz,ensemble__inner_holdout,index=7.1.81E+05,181378.003,5787470511.208648
maxfreq=22kHz,ensemble__inner_holdout,index=8.2.22E+05,221505.1102,-9405270536.705849
maxfreq=22kHz,ensemble__inner_holdout,index=9.2.67E+05,266907.6965,2668233433.3133035
maxfreq=3kHz,rf,index=1.3.28E-04,0.0003280469999999,14544834981.53326
maxfreq=3kHz,rf,index=10.3.15E+05,315466.1173,883491604.4543002
maxfreq=3kHz,rf,index=11.3.69E+05,368978.105,231667917.76421842
maxfreq=3kHz,rf,index=12.4.27E+05,427276.195,-719842457.3694441
