frequency,snr,unit,model,r2,rmse_kW,bias_kW,slope_prediction_vs_truth
maxfreq=3kHz,no_noise,chunk,rf,0.8946898536008618,86.98624015360446,-8.267352103519979,0.8928512319081062
maxfreq=3kHz,no_noise,chunk,cnntf_v2_gap,0.925059579155576,73.37929165404763,-12.805231366034448,0.9247732798263033
maxfreq=3kHz,no_noise,chunk,alexnet,0.9054827820530811,82.40829261717218,-30.727288548770314,0.8742059730096691
maxfreq=3kHz,no_noise,chunk,ensemble__simple_equal,0.9189240636554563,76.32405534734555,-17.266624006108287,0.8972768282480256
maxfreq=3kHz,no_noise,chunk,ensemble__inner_holdout,0.9211053792852569,75.2903208001809,-18.067551586474778,0.9030077914879342
maxfreq=3kHz,no_noise,wav_median,rf,0.9148785945882801,78.20505828503984,-8.880354892148445,0.8842837300009089
maxfreq=3kHz,no_noise,wav_median,cnntf_v2_gap,0.9456597676933356,62.4850607851672,-11.343694301870668,0.9233846865267438
maxfreq=3kHz,no_noise,wav_median,alexnet,0.9247121131981864,73.54920876602243,-29.676773647573793,0.8790536359466231
maxfreq=3kHz,no_noise,wav_median,ensemble__simple_equal,0.9369483900009381,67.30751266325942,-15.628536475411765,0.8928769379500574
maxfreq=3kHz,no_noise,wav_median,ensemble__inner_holdout,0.938354713364401,66.55265559182811,-16.715766324059526,0.9010900921651865
maxfreq=3kHz,-20,chunk,rf,0.9003662328644668,84.6094217410925,-5.5977529534910415,0.8852178125151635
maxfreq=3kHz,-20,chunk,cnntf_v2_gap,0.9130692241042435,79.03186475699381,-3.1190668753841266,0.9293681427437632
maxfreq=3kHz,-20,chunk,alexnet,0.8823383366571014,91.94602170908476,-38.59921111999495,0.8715538496825589
maxfreq=3kHz,-20,chunk,ensemble__simple_equal,0.9116851947397001,79.65851556803253,-15.772010316290078,0.8953799349804948
maxfreq=3kHz,-20,chunk,ensemble__inner_holdout,0.9112904210332391,79.83635677469448,-17.188197114065467,0.8926465081621205
maxfreq=3kHz,-20,wav_median,rf,0.9188927706612731,76.33878337829928,-4.149882995447059,0.8711990097259869
maxfreq=3kHz,-20,wav_median,cnntf_v2_gap,0.9349900129837556,68.34480219985419,-2.974072231558168,0.9324794257509998
maxfreq=3kHz,-20,wav_median,alexnet,0.9087385338410122,80.97653179467916,-36.715311380863724,0.8722135668370542
maxfreq=3kHz,-20,wav_median,ensemble__simple_equal,0.9298149848241674,71.01296569672542,-14.186317873195941,0.8884863979922757
maxfreq=3kHz,-20,wav_median,ensemble__inner_holdout,0.9301754162037136,70.83038935474693,-15.36206353930693,0.8887575170314606
maxfreq=3kHz,0,chunk,rf,0.8951687980913641,86.78821053092621,-7.371594649092897,0.895526340215177
maxfreq=3kHz,0,chunk,cnntf_v2_gap,0.9262447801136894,72.79672344944072,-8.742677927155505,0.9081633920058825
maxfreq=3kHz,0,chunk,alexnet,0.9065807622039813,81.92823730556727,-17.17079449199801,0.8800528006992229
maxfreq=3kHz,0,chunk,ensemble__simple_equal,0.920397398313119,75.62738474122978,-11.095022356082177,0.8945808443067607
maxfreq=3kHz,0,chunk,ensemble__inner_holdout,0.9224731866253458,74.6348076583629,-11.150165531750964,0.8993831731160641
maxfreq=3kHz,0,wav_median,rf,0.91695937626594,77.24328809709635,-5.8718906994401125,0.8854760600827324
maxfreq=3kHz,0,wav_median,cnntf_v2_gap,0.9460309438747287,62.27129000648917,-7.616676181210947,0.9077945049814006
maxfreq=3kHz,0,wav_median,alexnet,0.9256016967166478,73.11339772205717,-16.872603942712686,0.8846403217005467
maxfreq=3kHz,0,wav_median,ensemble__simple_equal,0.9377025989157121,66.9037430570632,-9.35655955305864,0.890696081884589
maxfreq=3kHz,0,wav_median,ensemble__inner_holdout,0.9395677376017614,65.89460786759284,-9.441837103655795,0.8979216705161859
