snr,model_key,model,r2_mean_mean,r2_mean_std,r2_mean_min,r2_mean_max,rmse_all_mean_mean,rmse_all_mean_std,rmse_all_mean_min,rmse_all_mean_max,mae_all_mean_mean,mae_all_mean_std,mae_all_mean_min,mae_all_mean_max,rmse_onb_mean_mean,rmse_onb_mean_std,rmse_onb_mean_min,rmse_onb_mean_max,roc_auc_cont_mean_mean,roc_auc_cont_mean_std,roc_auc_cont_mean_min,roc_auc_cont_mean_max,recall_mean_mean,recall_mean_std,recall_mean_min,recall_mean_max,f1_mean_mean,f1_mean_std,f1_mean_min,f1_mean_max
-12,randomforest,RandomForest,0.8736706666666666,0.0006203429159209775,0.873242,0.874382,96786.674454,237.81112134264612,96513.95695,96950.836114,80853.070506,171.99384215177955,80656.740533,80977.17365,154369.09741766666,259.35287664868775,154198.630809,154667.567131,0.9289386666666667,0.0011194571601152684,0.927658,0.929731,0.835,0.0,0.835,0.835,0.908432,0.0,0.908432,0.908432
-12,conformer,Conformer,0.8180746666666666,0.05816844685337002,0.751278,0.857574,115218.37112933333,17959.851332921113,102768.356578,135806.668876,81973.36150033334,8952.172480380485,73834.159872,91561.697655,71950.48738466666,30010.36844769293,53887.33938,106592.883855,0.9541006666666666,0.002528288221966237,0.95192,0.956872,0.88,0.08412929863608752,0.81,0.973333,0.8699956666666666,0.03758324169537981,0.82661,0.892562
-12,alexnet,AlexNet,0.829545,0.018509958508867583,0.814207,0.850105,112313.389866,6178.774748619262,105428.383082,117376.007014,97033.926019,10744.658470238368,85286.995227,106364.977042,110669.72750233333,32346.96773821625,88059.567954,147721.881591,0.9439573333333334,0.006161229612125622,0.937472,0.949733,0.798889,0.02428645408453034,0.773333,0.821667,0.887518,0.014613874640217725,0.87218,0.90128
-12,ensemble__simple_equal,Equal ensemble,0.8718056666666666,0.0068947187276445525,0.86782,0.879767,97474.67800166667,2643.3238788853087,94422.431386,99002.820356,81692.953427,4927.17388747611,76908.200048,86751.159039,100536.15565133333,24102.237899492797,72821.920536,116597.530622,0.9542306666666667,0.001775804418660287,0.952372,0.95591,0.8205553333333334,0.013471684984935376,0.808333,0.835,0.9008440000000001,0.007744865976890758,0.894009,0.909256
-12,ensemble__inner_holdout,Inner-holdout ensemble,0.8617616666666666,0.024363052381286977,0.834541,0.881523,100991.24737333333,8792.091737619832,93730.50951,110766.707141,80880.47438,3566.8498220676206,77596.696564,84675.272969,89487.65994166666,39225.57391191623,44238.348788,113850.282379,0.9553943333333333,0.0011749180113239208,0.954444,0.956708,0.8311109999999999,0.023589655614272974,0.816667,0.858333,0.900884,0.0030988597903100355,0.898258,0.904302
-16,randomforest,RandomForest,0.8727273333333333,0.000764357464366814,0.872182,0.873601,97147.20704433334,292.0327517187208,96813.400358,97355.49819,81017.286683,356.1521314018287,80627.726217,81326.199835,158012.65103233335,114.11244391320423,157940.609494,158144.218452,0.9183663333333333,0.0006776941296288098,0.917589,0.918833,0.835,0.0,0.835,0.835,0.908432,0.0,0.908432,0.908432
-16,conformer,Conformer,0.8746946666666666,0.008713017005224635,0.86951,0.884754,96354.036408,3386.982200982807,92443.668752,98367.675569,74765.839934,7168.4531589554845,68614.381883,82638.067013,115617.92248133333,40732.258240125106,75120.361186,156580.889287,0.9502523333333334,0.00299500756815962,0.947226,0.953215,0.8055556666666667,0.007876241828012444,0.796667,0.811667,0.892019,0.00453705675521038,0.886827,0.895221
-16,alexnet,AlexNet,0.8510453333333333,0.04818759201634101,0.815947,0.905986,104066.14562233334,17985.8036271979,83495.21867,116824.836819,91417.734423,22194.516525878043,65836.678746,105551.302341,142247.019906,8991.652152053215,134384.869368,152050.892644,0.9436166666666667,0.013639552240940054,0.930132,0.957406,0.7816666666666666,0.019220749785930195,0.761667,0.8,0.8770943333333333,0.01174172769797245,0.864711,0.888067
-16,ensemble__simple_equal,Equal ensemble,0.883251,0.016281185122711428,0.871316,0.901798,92887.393668,6620.167315614152,85334.494768,97684.580078,80298.75369466667,9578.007385219656,69615.433315,88117.957975,136919.014077,15109.121396157154,123601.375276,153338.259797,0.9526819999999999,0.0015567372931872782,0.951372,0.954403,0.8066666666666666,0.010408329997330613,0.795,0.815,0.8924153333333334,0.005932792372343208,0.885794,0.897248
-16,ensemble__inner_holdout,Inner-holdout ensemble,0.8833920000000001,0.01667016907532736,0.869889,0.902024,92824.25698466667,6764.8757660937345,85236.364519,98224.895496,80285.23789033333,9841.65415454634,69680.11231,89124.273509,137356.68459533332,14298.338996411241,127407.335818,153741.895441,0.9520136666666666,0.000996021251446642,0.951222,0.953132,0.8072223333333334,0.006938753226144646,0.801667,0.815,0.8930440000000001,0.003782305778225801,0.889917,0.897248
-20,randomforest,RandomForest,0.8729213333333333,0.0008553632756515248,0.872252,0.873885,97073.21664399999,326.9116975740099,96704.860171,97328.853887,81053.04325233334,256.33497945715527,80764.593032,81254.75727,158459.38062533332,266.715612070801,158230.234538,158752.156561,0.9201296666666666,0.0008915763194104317,0.919573,0.921158,0.8366669999999999,0.0,0.836667,0.836667,0.90942,0.0,0.90942,0.90942
-20,conformer,Conformer,0.7347016666666667,0.2709717837604745,0.421815,0.892614,128914.68868133334,67679.0683650908,89235.496645,207060.610122,97164.35873633332,47024.15304290062,69975.017746,151463.153983,116256.751501,15528.40756755089,105280.546169,134023.845533,0.9277373333333333,0.016802673725729828,0.908483,0.939434,0.8722219999999999,0.11065899404476803,0.808333,1.0,0.8336943333333333,0.10304258929361847,0.714711,0.893186
-20,alexnet,AlexNet,0.8453923333333333,0.036087369900469714,0.807722,0.879655,106586.55995933333,12484.921829577364,94466.407329,119406.791469,92367.89622833334,11683.247521163874,79842.247062,102970.001554,159913.307916,25102.69784595631,145072.187392,188896.597489,0.9330963333333333,0.0027230608390804373,0.931469,0.93624,0.7877776666666666,0.024962798247258552,0.76,0.808333,0.880055,0.016391127569511534,0.862004,0.894009
-20,ensemble__simple_equal,Equal ensemble,0.8802789999999999,0.01131091313732006,0.867489,0.888965,94152.63469199999,4406.048183407726,90739.164911,99126.543994,77921.07344433333,2398.523151359491,75282.710605,79969.771453,115295.40927799999,34580.397746625364,75385.845689,136356.51784,0.940627,0.0015288907743851085,0.939253,0.942274,0.823889,0.00976565220556207,0.816667,0.835,0.9023213333333334,0.005387137396923673,0.898258,0.908432
-20,ensemble__inner_holdout,Inner-holdout ensemble,0.8807416666666666,0.007648017085057616,0.872467,0.887551,94007.16787633333,3003.65319689096,91314.890881,97246.891852,78331.43008833333,2583.926958727078,75982.732064,81099.326,119357.52804466667,32164.349736175554,82233.031957,138854.782307,0.940544,0.0017552102438170097,0.939413,0.942566,0.8244446666666666,0.009476882205310634,0.816667,0.835,0.9026566666666667,0.005224842326169603,0.898258,0.908432
