seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,-4,conformer,Conformer,below,480,-1.865282933133559,136974.6455152558,107900.11592692748,101360.13956833373,0,2
42,-4,conformer,Conformer,near,60,-1.3994872932079786e+30,68859.62087060594,61946.28941791666,-59405.60321458333,56,0
42,-4,conformer,Conformer,above,540,0.8914696726301825,58771.340758839746,43686.25166893518,-36587.320563194444,57,0
42,-4,conformer,Conformer,all,1080,0.8607047830872142,101632.4286474462,73240.19343631963,23454.979347963144,113,2
42,-4,alexnet,AlexNet,below,480,-2.2718786853983404,146370.99496066422,124466.86335704527,-52394.41925283576,0,2
42,-4,alexnet,AlexNet,near,60,-9.517295081895894e+30,179571.29506808304,156548.8916165365,-154347.62604986984,55,0
42,-4,alexnet,AlexNet,above,540,0.7633030505118871,86793.33421690317,57846.33482755678,-30974.202705890115,67,0
42,-4,alexnet,AlexNet,all,1080,0.7966370262995024,122800.5024236488,92938.93399560609,-47348.37802364261,122,2
42,-4,ensemble__simple_equal,Equal ensemble,below,480,-0.5431514441246279,100521.90341356468,92535.67751128583,19623.012561103624,0,1
42,-4,ensemble__simple_equal,Equal ensemble,near,60,-4.8976877041787257e+30,128817.74490809337,118578.82300488718,-116219.5540121094,57,0
42,-4,ensemble__simple_equal,Equal ensemble,above,540,0.8268284131861755,74238.35844158365,53016.499306917125,-48059.41082025049,54,0
42,-4,ensemble__simple_equal,Equal ensemble,all,1080,0.8898423605812975,90379.82835026001,74222.92982541268,-21765.008383640823,111,1
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.6173948486674694,102911.62988392898,94654.81474401346,17915.44940947102,0,1
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-4.9379782803393783e+30,129346.51593720776,118376.81761361915,-116144.4718958095,57,0
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8313106816415572,73271.28930776309,51568.63578496589,-45422.51238656956,56,0
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8877881636525792,91218.62816559208,74429.61431280112,-21201.30489439819,113,1
42,-8,randomforest,RandomForest,below,480,-0.021961108835836907,81803.82540469295,73757.83224479208,9976.577393854584,0,2
42,-8,randomforest,RandomForest,near,60,-6.634891425666447e+30,149932.94019653636,143036.87106125,-135639.55633958333,54,0
42,-8,randomforest,RandomForest,above,540,0.6918242562947838,99035.12824395897,78130.51492041667,-76489.33989189815,46,0
42,-8,randomforest,RandomForest,all,1080,0.8769162370419811,95535.45676849996,79793.00907240759,-41346.166456435,100,2
42,-8,conformer,Conformer,below,480,-1.8264111090688568,136042.34030739352,121577.33267091704,35752.912779812934,0,2
42,-8,conformer,Conformer,near,60,-2.3492602485554528e+30,89216.60904117115,76817.61533479166,-71598.58459479167,52,0
42,-8,conformer,Conformer,above,540,0.8757864876574956,62874.488229996256,48416.87016722222,-43484.44900648148,51,0
42,-8,conformer,Conformer,all,1080,0.8564539204769888,103171.52966755087,82510.45045595156,-9829.740189701197,103,2
42,-8,alexnet,AlexNet,below,480,-2.6762590019618324,155152.75055473743,137687.56308923845,62513.861547220666,0,10
42,-8,alexnet,AlexNet,near,60,-2.6122749994396214e+30,94078.32889277037,78016.97069776041,-77029.09947109375,58,0
42,-8,alexnet,AlexNet,above,540,0.8285012277853786,73878.92195154307,58875.97550712963,-56786.15114768519,64,0
42,-8,alexnet,AlexNet,all,1080,0.8122854234117242,117981.30642496828,94966.73638754639,-4888.53152347195,122,10
42,-8,ensemble__simple_equal,Equal ensemble,below,480,-1.1861416380708039,119645.28174526081,110098.49743121518,36081.11724029606,0,1
42,-8,ensemble__simple_equal,Equal ensemble,near,60,-3.322503962745004e+30,106099.3934728751,97357.90001904516,-94755.74680182294,56,0
42,-8,ensemble__simple_equal,Equal ensemble,above,540,0.82035053111175,75614.13890044413,59754.93530535501,-58919.98001535501,51,0
42,-8,ensemble__simple_equal,Equal ensemble,all,1080,0.8672155000725117,99228.83509607578,84218.90540094231,-18688.146056536087,107,1
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-1.4456587256659335,126547.72900060232,115409.80828057877,38701.62307839108,0,1
