seed,snr,model_key,model,r2_mean_matched,rmse_all_mean_matched,mae_all_mean_matched,r2_high_mean_matched,rmse_high_mean_matched,mae_high_mean_matched,rmse_onb_mean_matched,mae_onb_mean_matched,roc_auc_cont_mean_matched,pr_auc_cont_mean_matched,accuracy_mean_matched,precision_mean_matched,recall_mean_matched,f1_mean_matched,r2_mean_clean_only,rmse_all_mean_clean_only,mae_all_mean_clean_only,r2_high_mean_clean_only,rmse_high_mean_clean_only,mae_high_mean_clean_only,rmse_onb_mean_clean_only,mae_onb_mean_clean_only,roc_auc_cont_mean_clean_only,pr_auc_cont_mean_clean_only,accuracy_mean_clean_only,precision_mean_clean_only,recall_mean_clean_only,f1_mean_clean_only,delta_rmse_all_mean_matched_minus_clean_only,delta_rmse_onb_mean_matched_minus_clean_only,delta_r2_mean_matched_minus_clean_only,delta_recall_mean_matched_minus_clean_only,delta_f1_mean_matched_minus_clean_only,relative_rmse_matched_vs_clean_only
42,-12,conformer,Conformer,0.751278,135806.668876,91561.697655,0.94558,44907.479881,35208.944384,55371.238919,46636.056537,0.95351,0.969375,0.773148,0.718327,0.973333,0.82661,0.303835,227206.225178,182263.151301,0.80882,84170.962213,74875.651963,146336.331986,144810.279337,0.89183,0.935225,0.555556,0.555556,1.0,0.714286,-91399.55630199998,-90965.09306700001,0.447443,-0.026666999999999996,0.11232399999999998,-0.40227575732308785
42,-12,alexnet,AlexNet,0.850105,105428.383082,85286.995227,0.866494,70338.084812,55675.676171,88059.567954,76422.955107,0.944667,0.965486,0.9,0.997976,0.821667,0.90128,0.716088,145096.122331,122088.022714,0.795264,87103.998767,78966.244412,13945.609978,11707.668426,0.857194,0.916276,0.725926,0.712291,0.85,0.775076,-39667.73924899999,74113.957976,0.13401700000000005,-0.02833299999999994,0.12620399999999998,-0.27338938223661213
42,-12,ensemble__simple_equal,Equal ensemble,0.86782,99002.820356,76908.200048,0.87936,66863.143483,53958.767209,72821.920536,67711.652441,0.952372,0.969736,0.907407,0.998008,0.835,0.909256,0.774077,129432.741734,94058.574026,0.952471,41968.176615,33564.791735,21267.45279,13285.074257,0.944545,0.967718,0.871296,0.873582,0.898333,0.885785,-30429.921378,51554.46774600001,0.09374300000000002,-0.06333300000000008,0.02347099999999991,-0.2351021926162793
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,0.834541,110766.707141,77596.696564,0.923339,53300.239934,42395.580078,44238.348788,36546.742715,0.955031,0.971084,0.899074,0.955473,0.858333,0.904302,0.621574,167515.325511,119236.222437,0.967726,34583.441679,27341.508057,66524.422911,64905.425269,0.938042,0.963497,0.555556,0.555556,1.0,0.714286,-56748.61837,-22286.074123,0.21296700000000002,-0.141667,0.19001600000000007,-0.33876672595113433
42,-16,randomforest,RandomForest,0.873601,96813.400358,80627.726217,0.689274,107307.441533,86173.582735,157953.125151,152559.523405,0.918677,0.954591,0.906481,0.996024,0.835,0.908432,0.880027,94320.633485,79192.526306,0.725344,100887.075765,82214.860243,138601.196808,132135.463902,0.927924,0.953257,0.911111,0.996063,0.843333,0.913357,2492.7668730000005,19351.928342999978,-0.006426000000000043,-0.008333000000000035,-0.004924999999999957,0.026428648545881783
42,-16,conformer,Conformer,0.86951,98367.675569,82638.067013,0.831178,79096.210061,64251.22574,115152.516971,103130.870601,0.947226,0.967543,0.887037,1.0,0.796667,0.886827,0.081213,261018.748059,216876.236786,0.666685,111139.408933,100974.494483,187937.461254,186955.105379,0.889087,0.934671,0.555556,0.555556,1.0,0.714286,-162651.07249,-72784.94428299999,0.788297,-0.20333299999999999,0.17254100000000006,-0.6231394246563269
42,-16,alexnet,AlexNet,0.831203,111878.381378,102865.222182,0.564148,127089.69331,119333.784938,134384.869368,128412.785442,0.957406,0.973199,0.87963,1.0,0.783333,0.878505,0.644132,162445.950494,142309.88906,0.669241,110712.446352,101706.001492,20085.817683,17501.537405,0.833712,0.903276,0.591667,0.579899,0.961667,0.723511,-50567.569115999984,114299.05168500001,0.187071,-0.1783340000000001,0.15499399999999997,-0.3112885791380051
42,-16,ensemble__simple_equal,Equal ensemble,0.871316,97684.580078,88117.957975,0.725171,100918.708274,89161.536478,133817.407158,126384.372401,0.952271,0.970564,0.893519,0.997947,0.81,0.894204,0.719851,144131.522609,105662.535918,0.947448,44130.229968,34902.947507,34508.848066,27489.229789,0.933521,0.962561,0.573148,0.566127,0.991667,0.720775,-46446.94253100001,99308.55909199998,0.15146499999999996,-0.1816669999999999,0.17342899999999994,-0.3222538809709329
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,0.869889,98224.895496,89124.273509,0.741874,97804.051452,87380.073865,127407.335818,119711.320392,0.951687,0.97027,0.891667,1.0,0.805,0.891967,0.517055,189240.139627,138737.71754,0.943607,45714.286698,36224.900603,96485.255539,95400.406774,0.930257,0.960084,0.555556,0.555556,1.0,0.714286,-91015.244131,30922.080279,0.352834,-0.19499999999999995,0.17768099999999998,-0.48095105145448924
42,-20,randomforest,RandomForest,0.873885,96704.860171,80764.593032,0.691036,107002.604813,86383.985776,158395.750777,153293.128613,0.919573,0.954242,0.907407,0.996032,0.836667,0.90942,0.767708,131244.539027,103535.020528,0.815557,82674.561378,66252.215703,77889.772382,54527.344027,0.920273,0.950219,0.693519,0.654776,0.948333,0.774677,-34539.678856,80505.97839500001,0.10617700000000008,-0.11166599999999993,0.13474300000000006,-0.26317040779041023
