seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
43,-16,ensemble__inner_holdout,Inner-holdout ensemble,0.902024,85236.364519,69680.11231,0.8184,82034.899761,62422.22784,130920.822527,124999.577479,0.953132,0.97094,0.896296,0.997959,0.815,0.897248
43,-20,randomforest,RandomForest,0.872627,97185.935874,81139.779455,0.686339,107812.899212,87069.401768,158752.156561,153682.28929,0.919658,0.954495,0.907407,0.996032,0.836667,0.90942
43,-20,conformer,Conformer,0.889676,90447.959277,69975.017746,0.857456,72679.940103,51986.569114,105280.546169,98747.928677,0.939434,0.963724,0.892593,0.997942,0.808333,0.893186
43,-20,alexnet,AlexNet,0.8488,105886.48108,94291.440069,0.631169,116910.800777,106874.623686,145771.138867,135208.847553,0.931469,0.961323,0.884259,0.995825,0.795,0.884152
43,-20,ensemble__simple_equal,Equal ensemble,0.884383,92592.195171,79969.771453,0.756674,94958.799335,79835.951932,134143.864305,128358.673881,0.940354,0.965212,0.897222,0.997963,0.816667,0.898258
43,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.882207,93459.720896,81099.326,0.744148,97372.270705,82599.501204,136984.76987,131091.345137,0.939413,0.964871,0.897222,0.997963,0.816667,0.898258
44,clean,randomforest,RandomForest,0.875985,95896.343374,80181.355201,0.696118,106119.044117,85658.343214,152084.427937,146327.944172,0.932205,0.940322,0.90463,0.996008,0.831667,0.906449
44,clean,conformer,Conformer,0.892737,89184.357762,74894.608418,0.826243,80243.83316,68318.983929,98012.841887,91031.166432,0.955986,0.97335,0.883333,1.0,0.79,0.882682
44,clean,alexnet,AlexNet,0.904534,84137.301313,74558.266809,0.795881,86972.597435,76933.834014,86985.276884,79441.785182,0.963146,0.975454,0.880556,0.997886,0.786667,0.879776
44,clean,ensemble__simple_equal,Equal ensemble,0.922831,75646.027994,61340.595614,0.867088,70181.502722,54609.751312,109474.070281,103260.19015,0.969229,0.980178,0.888889,1.0,0.8,0.888889
44,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.919283,77365.544619,64253.432655,0.857552,72655.573324,59210.847175,101185.081479,95494.05846,0.968924,0.979793,0.886111,1.0,0.795,0.885794
44,0,randomforest,RandomForest,0.878073,95085.396692,79615.098937,0.70367,104792.085526,84577.793293,147101.314042,139893.203744,0.940547,0.947649,0.905556,0.996016,0.833333,0.907441
44,0,conformer,Conformer,0.851515,104931.520683,81346.723398,0.867662,70029.921518,54702.086007,93049.367747,82897.886293,0.922705,0.954693,0.891667,0.993865,0.81,0.892562
