seed,snr,model_key,model,region,chunks,r2_matched,rmse_matched,mae_matched,mean_residual_matched,misses_matched,false_alarms_matched,r2_clean_only,rmse_clean_only,mae_clean_only,mean_residual_clean_only,misses_clean_only,false_alarms_clean_only,delta_rmse_matched_minus_clean_only,delta_mae_matched_minus_clean_only,delta_mean_residual_matched_minus_clean_only,delta_misses_matched_minus_clean_only,delta_false_alarms_matched_minus_clean_only
44,clean,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8514488639846707,68758.75914786545,55179.37925498788,6395.680615406518,63,0,0.8514488639846707,68758.75914786545,55179.37925498788,6395.680615406518,63,0,0.0,0.0,0.0,0,0
44,clean,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.9192826731620181,77365.54461935961,64253.43265476464,18034.386845670826,123,0,0.919282673162018,77365.54461935961,64253.43265476464,18034.386845670822,123,0,0.0,0.0,3.637978807091713e-12,0,0
44,0,randomforest,RandomForest,below,480,-0.010382289073766371,81339.08659518519,73411.73099153688,9667.788412734792,0,2,-0.0113030046591542,81376.13846768183,73383.75812369834,9960.470525365,0,2,-37.05187249663868,27.972867838543607,-292.6821126302093,0,0
44,0,randomforest,RandomForest,near,60,-6.386645484953332e+30,147101.31404155967,139893.20374354167,-132275.526521875,54,0,-6.827928903930407e+30,152098.3989809097,145660.41637375005,-138362.44019375,54,0,-4997.084939350025,-5767.212630208378,6086.913671874994,0,0
44,0,randomforest,RandomForest,above,540,0.6921614885358289,98980.92706067783,78431.63657615743,-76721.79753078704,46,0,0.6874368790756221,99737.59902275226,78926.3087619213,-77203.6849295139,46,0,-756.6719620744261,-494.67218576387677,481.88739872685983,0,0
44,0,randomforest,RandomForest,all,1080,0.8780731814614244,95085.39669218603,79615.0989367363,-41412.74427761556,100,2,0.875903011981999,95927.87458330244,80170.40334559047,-41861.76890869194,100,2,-842.4778911164176,-555.3044088541646,449.02463107638323,0,0
44,0,conformer,Conformer,below,480,-1.8472032624689438,136541.8129704543,114652.52013638591,70334.0203226774,0,3,-4.85603371231456,195820.5260027663,170347.37769401082,170323.03178838585,0,209,-59278.71303231199,-55694.85755762491,-99989.01146570845,0,-206
44,0,conformer,Conformer,near,60,-2.5554451176283235e+30,93049.36774704771,82897.88629291666,-80775.05008958332,56,0,-1.8277679145572346e+29,24885.173445762925,21318.2529975,1813.2032958333225,28,0,68164.19430128479,61579.633295416665,-82588.25338541665,28,0
44,0,conformer,Conformer,above,540,0.85901150754451,66985.66533169015,51569.21930902777,201.5270641203728,58,0,0.8457377903846932,70068.01525345046,59796.7205899537,43587.21965671296,25,0,-3082.3499217603094,-8227.501280925928,-43385.69259259258,33,0
44,0,conformer,Conformer,all,1080,0.8515146763360489,104931.52068308281,81346.72339806968,26872.825337162183,114,3,0.7366026242277666,139755.82674067377,106792.65332550944,97593.46858407427,53,209,-34824.30605759096,-25445.929927439764,-70720.64324691209,61,-206
44,0,alexnet,AlexNet,below,480,-2.3304637414880687,147675.61346129,126618.26181975176,-58890.32675014639,0,0,-2.749125556113881,156682.83505512093,130848.18550708376,129732.88436000042,0,0,-9007.221593830938,-4229.923687332004,-188623.2111101468,0,0
44,0,alexnet,AlexNet,near,60,-1.5550228494236598e+31,229534.79798889777,211635.39975999354,-211635.39975999354,60,0,-5.620575513917574e+29,43638.57304183516,40690.31265875,-39301.03915208333,57,0,185896.2249470626,170945.08710124355,-172334.3606079102,3,0
44,0,alexnet,AlexNet,above,540,0.6606766291293812,103919.4712333476,67733.06726676795,-29254.41906399016,72,0,0.7608822403993473,87236.04310626899,79042.2653221296,35043.49850509258,68,0,16683.428127078616,-11309.19805536166,-64297.91756908274,4,0
44,0,alexnet,AlexNet,all,1080,0.7570005654682975,134235.329529466,101898.83887327329,-52558.21029650423,132,0,0.8001191572037245,121744.62260904972,99936.45470081038,72997.41790409743,125,0,12490.706920416269,1962.384172462902,-125555.62820060166,7,0
44,0,ensemble__simple_equal,Equal ensemble,below,480,-0.7714791823200811,107702.17039841958,100716.37530962353,7037.160661755256,0,0,-1.7926514463267598,135227.43047782648,109884.76855684067,103338.79555791708,0,1,-27525.2600794069,-9168.393247217144,-96301.63489616182,0,-1
44,0,ensemble__simple_equal,Equal ensemble,near,60,-6.857969998680261e+30,152432.6282678838,142524.21265603948,-141561.99212381727,58,0,-1.2612194482402584e+30,65369.54723347527,62211.074423611135,-58616.75868333336,55,0,87063.08103440852,80313.13823242835,-82945.2334404839,3,0
44,0,ensemble__simple_equal,Equal ensemble,above,540,0.8115405557952199,77446.00055058263,51812.040513367116,-35258.22984355235,57,0,0.9009430432747108,56147.77262946901,46223.636901149664,475.6777440971384,46,0,21298.22792111362,5588.403612217451,-35733.90758764949,11,0
44,0,ensemble__simple_equal,Equal ensemble,all,1080,0.8726245889233462,97186.73698962337,78586.86554185177,-22366.043078985906,115,0,0.8659392476103763,99704.56154611304,75405.66416603798,42909.70585982652,101,1,-2517.8245564896642,3181.201375813791,-65275.74893881242,14,-1
44,0,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.7362970120853509,106627.30624468072,99396.84098362175,18638.07408457679,0,0,-2.3710982669461806,148573.76702795926,121799.26446104675,119433.30985491636,0,1,-41946.46078327854,-22402.423477425007,-100795.23577033957,0,-1
44,0,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-5.779626573803757e+30,139936.18732605616,130832.82074138877,-129598.00442547756,57,0,-7.681945155831854e+29,51017.09770651463,48011.99228834706,-45226.962539008055,55,0,88919.08961954153,82820.82845304171,-84371.0418864695,2,0
44,0,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8286838952063162,73839.56637071558,50177.47481905277,-33987.09850920205,56,0,0.8789271910090635,62074.51731407204,52743.45549070737,15252.63619839806,48,0,11765.049056643533,-2565.980671654601,-49239.73470760011,8,0
44,0,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8804215244556507,94165.25959882866,76533.6012212132,-15909.84990731565,113,0,0.8397641600629859,109004.4009171184,83172.06707739375,58195.18011588363,103,1,-14839.141318289738,-6638.465856180541,-74105.03002319929,10,-1
44,-4,randomforest,RandomForest,below,480,-0.020044325640958816,81727.07405435832,73745.50600781292,9627.418995417083,0,2,-0.0113030046591542,81376.13846768183,73383.75812369834,9960.470525365,0,2,350.9355866764963,361.7478841145785,-333.0515299479175,0,0
44,-4,randomforest,RandomForest,near,60,-6.574995455720408e+30,149254.65190797223,141808.81025395833,-134470.641365625,54,0,-6.841491584071639e+30,152249.38463024003,145848.08746750004,-138550.11128749998,54,0,-2994.7327222677995,-4039.2772135417035,4079.4699218749884,0,0
44,-4,randomforest,RandomForest,above,540,0.6898743647421,99347.94206577637,78527.80370194446,-76805.85612453704,46,0,0.6878628657098316,99669.61056331564,78885.97429664353,-77161.59968645833,46,0,-321.6684975392709,-358.1705946990696,355.743561921292,0,0
44,-4,randomforest,RandomForest,all,1080,0.8767250649545244,95609.62019192833,79917.94953522009,-41594.66636239565,100,2,0.8759599995688891,95905.84614441288,80160.66228482657,-41851.15245903917,100,2,-296.2259524845431,-242.7127496064786,256.4860966435226,0,0
44,-4,conformer,Conformer,below,480,-2.164798363592163,143955.89414559928,126346.48044395506,-45181.66854298418,0,0,-7.253451306126582,232473.9128217648,213180.9749850004,213180.9749850004,0,418,-88518.01867616552,-86834.49454104532,-258362.64352798456,0,-418
44,-4,conformer,Conformer,near,60,-9.254335530226687e+30,177073.17243499195,168690.3902100261,-168690.3902100261,60,0,-7.818786691021903e+29,51469.48585268355,44356.7685275,44192.233504166674,2,0,125603.68658230841,124333.62168252609,-212882.62371419277,58,0
44,-4,conformer,Conformer,above,540,0.7652552438638902,86434.67268028225,58025.3386319618,-24459.37934140625,68,0,0.8282659585248224,73929.579696934,62373.30808319444,56615.125617361104,2,0,12505.092983348251,-4347.969451232639,-81074.50495876736,66,0
44,-4,conformer,Conformer,all,1080,0.8019259922936878,121193.11445475773,94538.34896940683,-41682.11959036421,128,0,0.637242013658551,164010.89291445105,128398.01895312518,125509.7868855789,4,418,-42817.77845969332,-33859.669983718355,-167191.9064759431,124,-418
44,-4,alexnet,AlexNet,below,480,-1.980120063563588,139692.57064373497,130489.79770814908,1659.0829118777688,0,0,-4.721729311376597,193561.9919014033,172786.3762219796,172786.3762219796,0,185,-53869.42125766832,-42296.57851383051,-171127.2933101018,0,-185
44,-4,alexnet,AlexNet,near,60,-8.502088418965474e+30,169723.8817766431,157727.92936611333,-157727.92936611333,60,0,-7.881764228538445e+28,16341.49807583434,12126.041215,1669.8694416666558,27,0,153382.38370080877,145601.88815111332,-159397.79880778,33,0
44,-4,alexnet,AlexNet,above,540,0.6769310980270651,101399.92172725678,76580.62883300638,-72381.49784726562,88,0,0.8044785521921768,78883.6948049669,70251.71198462961,38111.649141666654,24,0,22516.226922289876,6328.916848376772,-110493.14698893228,64,0
44,-4,alexnet,AlexNet,all,1080,0.7921294759395029,124153.98313886386,105048.44280713132,-44216.04148313788,148,0,0.7332834348267034,140633.63316409974,112593.4699362502,95942.54008291686,51,185,-16479.650025235882,-7545.027129118884,-140158.58156605475,97,-185
44,-4,ensemble__simple_equal,Equal ensemble,below,480,-1.0746278136372238,116553.82397125705,109360.29368848364,-11298.388878563124,0,0,-2.780997156467922,157347.41196438103,132624.66464027818,131975.94057744832,0,2,-40793.587993123976,-23264.37095179454,-143274.32945601144,0,-2
44,-4,ensemble__simple_equal,Equal ensemble,near,60,-7.750336158781016e+30,162046.78434062007,153713.56408697704,-153629.65364725483,59,0,-4.914296161220383e+29,40804.75835546141,38387.026530000025,-30896.002780555595,54,0,121242.02598515866,115326.53755697701,-122733.65086669923,5,0
