seed,snr,ensemble_key,ensemble,best_single_key,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,relative_rmse_vs_rf,delta_rmse_vs_best_single,relative_rmse_vs_best_single,within_2pct_of_best_single,beats_rf,beats_best_single,delta_onb_rmse_vs_rf,delta_rmse_vs_evaluation_oracle,delta_below_rmse_vs_rf,delta_below_false_alarms_vs_rf,delta_below_misses_vs_rf,delta_near_rmse_vs_rf,delta_near_false_alarms_vs_rf,delta_near_misses_vs_rf,delta_above_rmse_vs_rf,delta_above_false_alarms_vs_rf,delta_above_misses_vs_rf
42,-16,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.0022849999999999815,871.1797200000001,0.00899854479626283,871.1797200000001,0.00899854479626283,True,False,False,-24135.717993,4389.729749846985,11660.09055545507,-1,0,-24135.717993774917,0,4,-3536.917471994704,0,11
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.0037119999999999376,1411.4951379999984,0.014579543046525867,1411.4951379999984,0.014579543046525867,True,False,False,-30545.78933299998,4930.0451678469835,16923.80595671208,-2,0,-30545.789333316046,0,4,-6170.172332485352,0,14
42,-20,ensemble__simple_equal,Equal ensemble,conformer,Conformer,0.015079999999999982,-5965.695259999993,-0.061689714968317544,1503.6682659999933,0.016850561968427602,True,True,False,-22039.232937000023,2064.3357073460793,4723.070851372337,-1,0,-22039.23293681594,0,1,-11858.921888272904,0,9
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,conformer,Conformer,0.013665999999999956,-5389.969289999994,-0.05573628130446695,2079.394235999993,0.02330232154444456,False,True,False,-19540.96847000002,2640.061677346079,3789.2753681889444,-1,0,-19540.968469869695,0,1,-10298.482665100964,0,8
43,clean,ensemble__simple_equal,Equal ensemble,alexnet,AlexNet,0.03729499999999997,-15746.000340000013,-0.16455288689492276,-9764.719358000002,-0.10884964951874909,True,True,True,-42216.45396999999,1339.478266729362,12569.455348182586,-2,0,-42216.45397067252,0,5,-39267.1498876418,0,11
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,alexnet,AlexNet,0.02773799999999993,-11430.174966000006,-0.11945054285254608,-5448.893983999995,-0.06074011742460361,True,True,True,-52780.93614399999,5655.303640729369,20454.19141411787,-2,0,-52780.93614440177,0,5,-36905.41808020858,0,14
43,0,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.003178000000000014,1228.3755309999979,0.012889592546755813,1228.3755309999979,0.012889592546755813,True,False,False,-12385.905651000008,4118.127877512088,30806.48693990674,-1,0,-12385.90565083109,0,4,-25682.658548983192,0,12
43,0,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.026564000000000032,9827.804783,0.10312514054948863,9827.804783,0.10312514054948863,False,False,False,-17801.182903000008,12717.55712951209,49811.21184860855,-1,0,-17801.182902805376,0,5,-29045.833607025983,0,12
43,-4,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,0.01562600000000003,-6251.579089000006,-0.06525655900873206,-6251.579089000006,-0.06525655900873206,True,True,True,-38377.49784900001,734.7956227808027,21172.19174776334,-2,0,-38377.497849039326,0,4,-27208.419777186456,0,12
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,0.008909000000000056,-3512.5559520000097,-0.036665506664785186,-3512.5559520000097,-0.036665506664785186,True,True,True,-36688.39063400001,3473.818759780799,26998.172941246972,-2,0,-36688.39063382948,0,4,-28191.499478945683,0,16
43,-8,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.013772000000000006,5186.426614999989,0.054104966706923774,5186.426614999989,0.054104966706923774,False,False,False,-45992.368340999994,10732.068706065606,39296.20025748854,-1,0,-45992.36834090551,0,1,-20865.52661098345,0,5
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.007176999999999989,2736.770611999993,0.028550077700607135,2736.770611999993,0.028550077700607135,False,False,False,-49366.08548499999,8282.41270306561,41893.189956064365,-1,0,-49366.08548458009,0,2,-30757.848392829008,0,6
