snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,band,low_hz,high_hz,masked_prediction_w_m2,prediction_change_masked_minus_base_w_m2,abs_error_change_masked_minus_base_w_m2,mask_improves_error
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_1000_2000Hz,1000.0,2000.0,309085.0,154906.03125,11854.04515000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_2000_5000Hz,2000.0,5000.0,448962.09375,294783.125,151731.13890000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_5000_10000Hz,5000.0,10000.0,523328.46875,369149.5,226097.51390000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_10000_15000Hz,10000.0,15000.0,358935.46875,204756.5,61704.51390000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_15000_22000Hz,15000.0,22000.0,53364.5546875,-100814.4140625,100814.4140625,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_0_256Hz,0.0,256.0,211362.3125,21.703125,-21.703125,True
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_256_512Hz,256.0,512.0,185248.203125,-26092.40625,26092.40625,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_512_1000Hz,512.0,1000.0,303952.03125,92611.421875,-28062.72257500002,True
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_1000_2000Hz,1000.0,2000.0,355437.65625,144097.046875,23422.90242499998,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_2000_5000Hz,2000.0,5000.0,471841.40625,260500.796875,139826.65242499998,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_5000_10000Hz,5000.0,10000.0,538916.4375,327575.828125,206901.68367499998,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_10000_15000Hz,10000.0,15000.0,332337.34375,120996.734375,322.5899249999784,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_15000_22000Hz,15000.0,22000.0,83979.4375,-127361.171875,127361.171875,False
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_0_256Hz,0.0,256.0,150703.40625,70.859375,-70.859375,True
