snr,model,band,selected_samples,selected_improved,selected_worsened,selected_mean_abs_error_change_w_m2,selected_median_abs_error_change_w_m2,all_1080_r2_drop,all_1080_rmse_increase_w_m2,run_onb_60_rmse_increase_w_m2,base_recall,masked_recall,base_f1,masked_f1,f1_drop,run_onb_false_negative_increase
no_noise,alexnet,freq_2000_5000Hz,5,2,3,130794.04734374999,10222.68577500002,4.805013599037707,513758.1177027209,52348.207862506126,0.7983333333333333,1.0,0.8878591288229842,0.7259528130671506,0.16190631575583359,-121
no_noise,alexnet,freq_5000_10000Hz,5,3,2,38738.94185875,-13632.62672499998,1.7191341944645897,278297.10646579275,-22433.564998628935,0.7983333333333333,0.98,0.8878591288229842,0.8043775649794802,0.08348156384350403,-109
no_noise,alexnet,freq_10000_15000Hz,5,4,1,-43380.38359375,-45011.171875,0.16054431087817744,51480.221216072256,-43177.43256015878,0.7983333333333333,0.8266666666666667,0.8878591288229842,0.9034608378870674,-0.015601709064083202,-17
no_noise,alexnet,freq_15000_22000Hz,5,3,2,-39628.741751249996,-114949.43922499998,0.35563918623192725,95724.71784328231,-104287.18639128406,0.7983333333333333,0.8716666666666667,0.8878591288229842,0.9001721170395869,-0.01231298821660265,-44
-8,randomforest,freq_0_256Hz,5,0,0,0.0,0.0,0.0,0.0,0.0,0.825,0.825,0.902461257976299,0.902461257976299,0.0,0
-8,randomforest,freq_256_512Hz,5,0,0,0.0,0.0,1.2530952975264853e-07,0.04558165969501715,0.0,0.825,0.825,0.902461257976299,0.902461257976299,0.0,0
-8,randomforest,freq_512_1000Hz,5,2,3,2187.3390625,1549.875,0.0007995933819006096,290.4403872751427,2043.352375335613,0.825,0.825,0.902461257976299,0.902461257976299,0.0,0
-8,randomforest,freq_1000_2000Hz,5,2,3,3375.4625,1794.921875,0.004038621380524798,1458.62240581261,2651.8955349583703,0.825,0.825,0.902461257976299,0.902461257976299,0.0,0
-8,randomforest,freq_2000_5000Hz,5,2,3,54307.5625,256.0703125,0.43832572886803156,105177.09739699199,22357.51310529979,0.825,0.7133333333333334,0.902461257976299,0.8326848249027238,0.06977643307357517,67
-8,randomforest,freq_5000_10000Hz,5,3,2,-3696.5296875,-854.6015625,-0.0017069296930716238,-622.802887743921,-2525.3242369635846,0.825,0.8233333333333334,0.902461257976299,0.9014598540145985,0.0010014039617004533,1
-8,randomforest,freq_10000_15000Hz,5,1,3,3694.0734375,2417.09375,0.0008822631437903627,320.4218888810574,2134.5275635922735,0.825,0.825,0.902461257976299,0.902461257976299,0.0,0
-8,randomforest,freq_15000_22000Hz,5,1,3,2337.0953125,1257.3515625,8.750211064700864e-05,31.824153985697194,71.53316543099936,0.825,0.825,0.902461257976299,0.902461257976299,0.0,0
-8,conformer,freq_0_256Hz,5,3,2,-2164.733203125,-22.279296875,-0.0001421958289676839,-41.87916630797554,-4.918576577241765,0.7966666666666666,0.7966666666666666,0.8868274582560297,0.8868274582560297,0.0,0
-8,conformer,freq_256_512Hz,5,3,2,-19874.379585312494,-52332.634765625,-0.09650893554566642,-32652.8714071711,-57110.02081289285,0.7966666666666666,0.81,0.8868274582560297,0.8950276243093923,-0.0082001660533626,-8
-8,conformer,freq_512_1000Hz,5,3,2,-65828.82229687499,-150772.01149062498,0.041877782893720905,11780.574050191863,-190293.70506426744,0.7966666666666666,0.9133333333333333,0.8868274582560297,0.8277945619335347,0.05903289632249498,-70
-8,conformer,freq_1000_2000Hz,5,3,2,19445.021208125003,-6405.19899062498,0.44566659386558205,95225.38873893784,-102827.88151319938,0.7966666666666666,1.0,0.8868274582560297,0.7142857142857143,0.1725417439703154,-122
-8,conformer,freq_2000_5000Hz,5,1,4,140670.60870812502,155161.89475937502,1.230965263998942,201401.95464392228,45392.00841696371,0.7966666666666666,1.0,0.8868274582560297,0.7142857142857143,0.1725417439703154,-122
-8,conformer,freq_5000_10000Hz,5,3,2,6098.939958125004,-40779.16774062498,0.4215077857602435,91137.02623377835,-121761.04361301419,0.7966666666666666,1.0,0.8868274582560297,0.7142857142857143,0.1725417439703154,-122
-8,conformer,freq_10000_15000Hz,5,2,3,155877.02725005703,27338.84375,1.5358953849478443,234290.77250350744,48941.18737138537,0.7966666666666666,0.0,0.8868274582560297,0.0,0.8868274582560297,478
-8,conformer,freq_15000_22000Hz,5,3,2,23844.18818812501,-137685.869140625,0.2479449699283115,59128.384310729874,-112011.30440090974,0.7966666666666666,0.765,0.8868274582560297,0.8668555240793201,0.019971934176709616,19
-8,alexnet,freq_0_256Hz,5,5,0,-171.686328125,-11.8203125,-0.0008411837832088542,-263.5974002955045,-6.453129661036655,0.7833333333333333,0.7833333333333333,0.8785046728971962,0.8776844070961718,0.0008202658010244557,0
-8,alexnet,freq_256_512Hz,5,1,4,29242.2005859375,35065.0625,0.08393667561545393,23868.650122526757,54189.18021786556,0.7833333333333333,0.7716666666666666,0.8785046728971962,0.8711194731890874,0.007385199708108803,7
-8,alexnet,freq_512_1000Hz,5,2,3,69444.663826875,55743.27952500002,2.4940932133097204,327616.5454941034,-88190.49481912838,0.7833333333333333,1.0,0.8785046728971962,0.714711137581894,0.16379353531530227,-130
-8,alexnet,freq_1000_2000Hz,5,0,5,1274151.5845368751,1155056.9670250001,38.17262281593995,1568157.74661731,871864.7760987285,0.7833333333333333,1.0,0.8785046728971962,0.7142857142857143,0.16421895861148195,-130
-8,alexnet,freq_2000_5000Hz,5,1,4,190056.26578687498,206583.96702500002,2.793455269158016,351841.3838263462,57500.75527412351,0.7833333333333333,1.0,0.8785046728971962,0.7142857142857143,0.16421895861148195,-130
-8,alexnet,freq_5000_10000Hz,5,1,4,307921.65953687497,367883.17819999997,3.597776028800881,411471.54948483,215586.00737703207,0.7833333333333333,1.0,0.8785046728971962,0.7142857142857143,0.16421895861148195,-130
-8,alexnet,freq_10000_15000Hz,5,0,5,741825.3470368751,779530.7170250001,12.96116161063206,869041.9278199269,460147.84811383963,0.7833333333333333,1.0,0.8785046728971962,0.7142857142857143,0.16421895861148195,-130
-8,alexnet,freq_15000_22000Hz,5,1,4,353946.29703687504,452616.9045250001,4.822176934028954,491148.1695933336,206487.08374937362,0.7833333333333333,1.0,0.8785046728971962,0.7142857142857143,0.16421895861148195,-130
