run,experiment,maxfreq,snr,created_at,epochs_requested,folds,n_wavs,n_chunks,original_threshold,evaluated_threshold,run_manifest,wav_evaluation_present
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,2026-09-03T19:22:42,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=0/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,0,2026-09-03T12:48:27,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=0/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,0,2026-09-03T14:23:10,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=0/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,2026-09-08T22:40:07,300,3,18,1080,368978.105,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=10kHz,no_noise,2026-09-04T00:22:37,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=15kHz,no_noise,2026-09-04T02:11:34,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,2026-09-04T04:02:05,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=3kHz,no_noise,2026-09-03T20:50:54,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=5kHz,no_noise,2026-09-03T22:35:40,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_no_noise/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=10kHz,-12,2026-09-04T01:24:44,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=15kHz,-12,2026-09-04T03:14:30,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,-12,2026-09-04T05:06:13,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=3kHz,-12,2026-09-03T21:50:36,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=5kHz,-12,2026-09-03T23:36:40,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-12/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
