run,experiment,maxfreq,snr,fold,model,source_csv,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/top_layer_randomization_sanity.csv,near_onb_below_val0180,integrated_gradients,output,263422.375,468232.1875,0.6549136963591721,0.6558732413080842,0.8019487258906818
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/top_layer_randomization_sanity.csv,near_onb_above_val0240,integrated_gradients,output,467926.3125,469516.53125,0.6600370530325638,0.6629433943761065,0.7993483432489151
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/top_layer_randomization_sanity.csv,worst_prediction_val0033,integrated_gradients,output,178091.09375,478275.6875,0.5884349757644912,0.6365579847284875,0.7605355445999875
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/top_layer_randomization_sanity.csv,low_heatflux_val0000,integrated_gradients,output,143528.078125,485618.59375,0.569832863465071,0.6123290151665288,0.7605423571351252
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/top_layer_randomization_sanity.csv,high_heatflux_val0300,integrated_gradients,output,701426.5625,436054.09375,0.7324056517227305,0.7354557291912552,0.7431054188648443
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/top_layer_randomization_sanity.csv,near_onb_below_val0180,integrated_gradients,output,263416.1875,-550722.5625,0.6881548404278233,0.6890788676368755,0.7351465469571405
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/top_layer_randomization_sanity.csv,near_onb_above_val0240,integrated_gradients,output,489619.8125,-658719.375,0.5982417022859597,0.602305990343007,0.75787838603133
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/top_layer_randomization_sanity.csv,worst_prediction_val0007,integrated_gradients,output,196653.390625,-578274.0,0.5552823356207492,0.6367590512215912,0.7617883743137673
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/top_layer_randomization_sanity.csv,low_heatflux_val0000,integrated_gradients,output,159463.140625,-574693.75,0.611830537984194,0.6820059217940262,0.753969879551208
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/top_layer_randomization_sanity.csv,high_heatflux_val0300,integrated_gradients,output,718403.5,-578039.9375,0.6106717775608942,0.6145131658417379,0.7713586374577135
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/top_layer_randomization_sanity.csv,near_onb_below_val0120,integrated_gradients,output,224552.3125,466309.6875,0.6384442532086224,0.6524090558057167,0.7482041742334824
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/top_layer_randomization_sanity.csv,near_onb_above_val0180,integrated_gradients,output,360136.8125,463884.46875,0.7286077802090672,0.7299539486647777,0.7078624644542795
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/top_layer_randomization_sanity.csv,false_negative_val0219,integrated_gradients,output,165607.65625,467839.40625,0.7559128834037969,0.7561728742314111,0.6967014160492968
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/top_layer_randomization_sanity.csv,low_heatflux_val0060,integrated_gradients,output,24606.32421875,468131.9375,0.5951182609855319,0.6144680776824525,0.766624363529795
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/alexnet/top_layer_randomization_sanity.csv,high_heatflux_val0300,integrated_gradients,output,729305.6875,451209.3125,0.6494686781662052,0.6550080380265422,0.7455091832553568
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/top_layer_randomization_sanity.csv,near_onb_below_val0120,integrated_gradients,output,230045.65625,988065.375,0.5884990449076402,0.6190087520583873,0.8750392086875847
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/top_layer_randomization_sanity.csv,near_onb_above_val0180,integrated_gradients,output,353624.03125,890993.0,0.620221604521066,0.6224587589310522,0.8798152045764465
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/top_layer_randomization_sanity.csv,false_negative_val0219,integrated_gradients,output,223419.15625,987529.6875,0.8577659906254053,0.8578617992915017,0.8201684640638879
