run,experiment,maxfreq,snr,fold,model,source_csv,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv,near_onb_below_val0180,180,315466.1173,263422.375,52043.74229999998,integrated_gradients,heat_flux,-19240632.0,61881.4375,-19302513.4375,311.92736008273886,1249406.59375,232481.84375,1016924.75,1105849.9953125,232481.84375,873368.1515625,22,2209.8214285714284,59,0.265625
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv,near_onb_above_val0240,240,489453.9981,467926.3125,21527.685600000026,integrated_gradients,heat_flux,-1837189120.0,266385.375,-1837455505.375,6897.734176941959,2429064.0609375,334733.875,2094330.1859375,2054769.5828125,334733.875,1720035.7078125,22,2209.8214285714284,18,0.08258928571428571
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv,worst_prediction_val0033,33,0.000328047,178091.09375,178091.093421953,integrated_gradients,heat_flux,-77830.8046875,-23449.84375,-54380.9609375,2.319032975965991,1124018.61953125,189816.046875,934202.5726562501,1003200.525,189816.046875,813384.478125,10,1031.25,63,0.28348214285714285
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv,low_heatflux_val0000,0,0.000328047,143528.078125,143528.077796953,integrated_gradients,heat_flux,-447240.84375,-58012.859375,-389227.984375,6.709339766533444,1120489.6,172534.53125,947955.0687500001,991968.2234375,172534.53125,819433.6921875,10,1031.25,42,0.18973214285714285
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv,high_heatflux_val0300,300,698421.296,701426.5625,3005.266500000027,integrated_gradients,heat_flux,3567063808.0,499885.625,3566563922.375,7134.759921081947,2986876.1203125,451483.9375,2535392.1828125,2268986.9015625,451483.9375,1817502.9640624998,23,2308.035714285714,16,0.07366071428571429
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv,near_onb_below_val0180,180,315466.1173,263416.1875,52049.92979999998,integrated_gradients,heat_flux,7356665.0,150982.0859375,7205682.9140625,47.72541635863568,258334.491796875,187895.56640625,70438.925390625,260252.9572265625,187895.56640625,72357.39082031249,23,2308.035714285714,19,0.08705357142857142
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv,near_onb_above_val0240,240,489453.9981,489619.8125,165.81439999997383,integrated_gradients,heat_flux,-1788204672.0,377185.7109375,-1788581857.7109375,4741.913083784097,311188.149609375,301037.80078125,10150.348828124988,333793.4994140625,301037.80078125,32755.698632812477,22,2209.8214285714284,19,0.08705357142857142
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv,worst_prediction_val0007,7,0.000328047,196653.390625,196653.390296953,integrated_gradients,heat_flux,265936.5625,84219.2890625,181717.2734375,2.157668100269117,208041.333203125,154537.02734375,53504.30585937499,258251.81972656248,154537.02734375,103714.79238281248,5,540.1785714285714,159,0.7120535714285714
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv,low_heatflux_val0000,0,0.000328047,159463.140625,159463.140296953,integrated_gradients,heat_flux,370660.1875,47029.0390625,323631.1484375,6.881517353722774,241227.555859375,135936.62890625,105290.92695312499,243074.2251953125,135936.62890625,107137.5962890625,5,540.1785714285714,206,0.921875
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/explainability_summary.csv,high_heatflux_val0300,300,698421.296,718403.5,19982.204000000027,integrated_gradients,heat_flux,25092722688.0,605969.3984375,25092116718.601562,41408.22421611044,357185.95195312495,415441.51953125,-58255.56757812505,378622.31425781245,415441.51953125,-36819.20527343755,23,2308.035714285714,197,0.8816964285714286
