snr,model,source_wav_id,y_true,prediction,error,fraction_total_squared_error
no_noise,alexnet,index=3.2.10E+04,20979.71604,-19413.203125,-40392.919165,0.02203985034288465
no_noise,alexnet,index=4.5.76E+04,57593.31665,82053.45703125,24460.14038125,0.008081947979961318
no_noise,alexnet,index=5.1.11E+05,111264.7017,136553.4453125,25288.743612499995,0.00863878503206806
no_noise,alexnet,index=6.1.44E+05,144324.2618,41747.716796875,-102576.54500312501,0.1421327943352212
no_noise,alexnet,index=7.1.81E+05,181378.003,89310.3671875,-92067.6358125,0.11450175482060725
no_noise,alexnet,index=8.2.22E+05,221505.1102,185291.984375,-36213.125824999996,0.017714552574219007
no_noise,alexnet,index=9.2.67E+05,266907.6965,172760.1953125,-94147.50118750002,0.11973352148351728
no_noise,alexnet,index=10.3.15E+05,315466.1173,259515.828125,-55950.28917499998,0.042286606198694
no_noise,alexnet,index=11.3.69E+05,368978.105,355036.078125,-13942.026874999981,0.0026257295482371486
no_noise,alexnet,index=12.4.27E+05,427276.195,394511.984375,-32764.210625000007,0.014500987514423367
no_noise,alexnet,index=13.4.89E+05,489453.9981,489318.421875,-135.57622500002617,2.482934338487073e-07
no_noise,alexnet,index=14.5.54E+05,554196.3218,523514.9375,-30681.384300000034,0.012715928031447074
no_noise,alexnet,index=15.6.24E+05,624442.5514,580303.78125,-44138.77015,0.026317135504027093
no_noise,alexnet,index=16.6.98E+05,698421.296,676178.53125,-22242.764749999973,0.006683065190082944
no_noise,alexnet,index=17.7.77E+05,776647.2223,717794.0625,-58853.15980000002,0.04678835001316762
no_noise,alexnet,index=18.8.59E+05,859343.9142,764565.875,-94778.0392,0.12134268473846878
no_noise,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,154944.21354166666,154944.21321361966,0.37487416304721644
no_noise,ensemble__simple_equal,index=2.2.36E+03,2355.33535,81800.06966145834,79444.73431145835,0.09855190441202552
no_noise,ensemble__simple_equal,index=3.2.10E+04,20979.71604,23640.458658854164,2660.742618854165,0.00011054536021005514
no_noise,ensemble__simple_equal,index=4.5.76E+04,57593.31665,71883.93424479166,14290.617594791656,0.0031888697671162243
no_noise,ensemble__simple_equal,index=5.1.11E+05,111264.7017,126014.96223958331,14750.260539583309,0.0033973021193908575
no_noise,ensemble__simple_equal,index=6.1.44E+05,144324.2618,80138.06315104164,-64186.198648958365,0.06433067359002959
no_noise,ensemble__simple_equal,index=7.1.81E+05,181378.003,81571.97395833331,-99806.02904166668,0.155542236973429
no_noise,ensemble__simple_equal,index=8.2.22E+05,221505.1102,150392.42838541666,-71112.68181458334,0.07896395663773279
no_noise,ensemble__simple_equal,index=9.2.67E+05,266907.6965,233829.15625,-33078.54025000002,0.017085490803300647
no_noise,ensemble__simple_equal,index=10.3.15E+05,315466.1173,272974.9791666666,-42491.138133333356,0.028192365350510683
no_noise,ensemble__simple_equal,index=11.3.69E+05,368978.105,357000.88020833326,-11977.224791666726,0.002239995718506083
no_noise,ensemble__simple_equal,index=12.4.27E+05,427276.195,405699.859375,-21576.335625000007,0.007269259373947379
no_noise,ensemble__simple_equal,index=13.4.89E+05,489453.9981,522206.484375,32752.486274999974,0.01675032869513242
no_noise,ensemble__simple_equal,index=14.5.54E+05,554196.3218,547307.8020833333,-6888.519716666779,0.0007409460696713957
no_noise,ensemble__simple_equal,index=15.6.24E+05,624442.5514,605431.34375,-19011.207649999997,0.0056435736617842895
no_noise,ensemble__simple_equal,index=16.6.98E+05,698421.296,691270.40625,-7150.889749999973,0.000798463285857901
no_noise,ensemble__simple_equal,index=17.7.77E+05,776647.2223,739681.3020833331,-36965.920216666884,0.021337219787075642
no_noise,ensemble__simple_equal,index=18.8.59E+05,859343.9142,771321.3020833331,-88022.61211666686,0.12098270534706305
no_noise,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,158594.03200438808,158594.03167634108,0.4182937172648663
no_noise,ensemble__inner_holdout,index=2.2.36E+03,2355.33535,84547.15759745141,82191.82224745142,0.11234787972492405
no_noise,ensemble__inner_holdout,index=3.2.10E+04,20979.71604,17820.292590427794,-3159.423449572205,0.0001660058286034323
no_noise,ensemble__inner_holdout,index=4.5.76E+04,57593.31665,72251.96144753287,14658.64479753287,0.0035735124950309755
no_noise,ensemble__inner_holdout,index=5.1.11E+05,111264.7017,129503.72062166434,18239.018921664334,0.005532362260907325
no_noise,ensemble__inner_holdout,index=6.1.44E+05,144324.2618,83633.56586859324,-60690.695931406764,0.0612564602782338
no_noise,ensemble__inner_holdout,index=7.1.81E+05,181378.003,88432.87429160858,-92945.12870839142,0.1436682919908334
no_noise,ensemble__inner_holdout,index=8.2.22E+05,221505.1102,164834.4255477896,-56670.68465221039,0.05341024637534531
no_noise,ensemble__inner_holdout,index=9.2.67E+05,266907.6965,230661.94958765607,-36245.74691234395,0.021848507224852258
no_noise,ensemble__inner_holdout,index=10.3.15E+05,315466.1173,272743.24185307673,-42722.87544692325,0.03035488643454155
no_noise,ensemble__inner_holdout,index=11.3.69E+05,368978.105,357303.7522061932,-11674.352793806756,0.0022665916737426304
no_noise,ensemble__inner_holdout,index=12.4.27E+05,427276.195,410546.14576094935,-16730.049239050655,0.0046548115220936765
no_noise,ensemble__inner_holdout,index=13.4.89E+05,489453.9981,517553.80978853774,28099.81168853771,0.013131504332827353
no_noise,ensemble__inner_holdout,index=14.5.54E+05,554196.3218,545432.4591228307,-8763.862677169382,0.0012773172877028596
no_noise,ensemble__inner_holdout,index=15.6.24E+05,624442.5514,609431.0109244147,-15011.540475585265,0.003747642759703048
no_noise,ensemble__inner_holdout,index=16.6.98E+05,698421.296,699488.2136569441,1066.9176569441333,1.8930821801386754e-05
no_noise,ensemble__inner_holdout,index=17.7.77E+05,776647.2223,746587.8286462676,-30059.393653732375,0.015026854945907131
no_noise,ensemble__inner_holdout,index=18.8.59E+05,859343.9142,778228.4966380837,-81115.41756191629,0.10942447677808355
0,rf,index=1.3.28E-04,0.0003280469999999,157350.3515625,157350.351234453,0.2207840131250218
0,rf,index=2.2.36E+03,2355.33535,107685.89453125,105330.55918125,0.09893295232339673
0,rf,index=3.2.10E+04,20979.71604,81887.96875,60908.25271,0.033081445030203854
0,rf,index=4.5.76E+04,57593.31665,54900.3828125,-2692.9338375000007,6.466712548220816e-05
0,rf,index=5.1.11E+05,111264.7017,95909.75390625,-15354.947793750005,0.002102465500519505
0,rf,index=6.1.44E+05,144324.2618,86154.9609375,-58169.30086250001,0.030173096230349902
0,rf,index=7.1.81E+05,181378.003,51858.529296875,-129519.473703125,0.14958992064593638
0,rf,index=8.2.22E+05,221505.1102,61190.28515625,-160314.82504375,0.2291815015886501
0,rf,index=9.2.67E+05,266907.6965,289855.6875,22947.99099999998,0.004695929103333019
0,rf,index=10.3.15E+05,315466.1173,277690.390625,-37775.72667499998,0.012725001570751253
0,rf,index=11.3.69E+05,368978.105,401804.265625,32826.16062500002,0.00960887116165298
0,rf,index=12.4.27E+05,427276.195,394991.609375,-32284.585625000007,0.009294427046642585
0,rf,index=13.4.89E+05,489453.9981,561328.96875,71874.97064999997,0.0460667475110942
0,rf,index=14.5.54E+05,554196.3218,578146.90625,23950.584449999966,0.005115221226637015
0,rf,index=15.6.24E+05,624442.5514,618614.875,-5827.676399999997,0.0003028468398081946
0,rf,index=16.6.98E+05,698421.296,679629.125,-18792.170999999973,0.0031490974561746684
0,rf,index=17.7.77E+05,776647.2223,718727.5625,-57919.65980000002,0.029914668487089388
0,rf,index=18.8.59E+05,859343.9142,745674.8125,-113669.1017,0.11521712802725627
0,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,213632.0078125,213632.007484453,0.6701645627341796
0,cnntf_v2_gap,index=2.2.36E+03,2355.33535,85108.28515625,82752.94980625,0.1005578046335173
0,cnntf_v2_gap,index=3.2.10E+04,20979.71604,52794.505859375,31814.789819375,0.014863015583335866
0,cnntf_v2_gap,index=4.5.76E+04,57593.31665,100517.80078125,42924.48413125,0.02705571311128656
0,cnntf_v2_gap,index=5.1.11E+05,111264.7017,116606.2265625,5341.524862499995,0.0004189665249170407
0,cnntf_v2_gap,index=6.1.44E+05,144324.2618,98775.36328125,-45548.89851875001,0.030465237947674976
0,cnntf_v2_gap,index=7.1.81E+05,181378.003,110007.37109375,-71370.63190625,0.07479764082895961
0,cnntf_v2_gap,index=8.2.22E+05,221505.1102,193768.2109375,-27736.899262499996,0.011297039171011313
0,cnntf_v2_gap,index=9.2.67E+05,266907.6965,234928.96875,-31978.72775000002,0.015016585028322987
0,cnntf_v2_gap,index=10.3.15E+05,315466.1173,284152.578125,-31313.539174999984,0.014398363323327333
0,cnntf_v2_gap,index=11.3.69E+05,368978.105,364568.578125,-4409.526874999981,0.00028551754711568245
0,cnntf_v2_gap,index=12.4.27E+05,427276.195,413345.25,-13930.945000000007,0.0028497710575043846
0,cnntf_v2_gap,index=13.4.89E+05,489453.9981,490838.84375,1384.8456499999738,2.8161226041104864e-05
0,cnntf_v2_gap,index=14.5.54E+05,554196.3218,554345.6875,149.36569999996573,3.276050390730433e-07
0,cnntf_v2_gap,index=15.6.24E+05,624442.5514,620526.40625,-3916.1451499999966,0.0002251989580980828
0,cnntf_v2_gap,index=16.6.98E+05,698421.296,711041.9375,12620.641500000027,0.0023389001246006823
0,cnntf_v2_gap,index=17.7.77E+05,776647.2223,771778.0,-4869.222300000023,0.00034815129974211247
0,cnntf_v2_gap,index=18.8.59E+05,859343.9142,810600.03125,-48743.88295,0.03488904329532639
0,alexnet,index=1.3.28E-04,0.0003280469999999,193189.5390625,193189.538734453,0.3670731978563881
0,alexnet,index=2.2.36E+03,2355.33535,9026.08349609375,6670.748146093751,0.00043765767870559014
0,alexnet,index=3.2.10E+04,20979.71604,15144.90283203125,-5834.813207968749,0.0003348415772239814
0,alexnet,index=4.5.76E+04,57593.31665,55892.15625,-1701.1604000000007,2.8462693314803415e-05
0,alexnet,index=5.1.11E+05,111264.7017,61751.974609375,-49512.727090625005,0.024111218505854556
0,alexnet,index=6.1.44E+05,144324.2618,82010.80859375,-62313.45320625001,0.038189951108148115
0,alexnet,index=7.1.81E+05,181378.003,41283.65625,-140094.34675,0.19303083315120653
0,alexnet,index=8.2.22E+05,221505.1102,148948.8125,-72556.2977,0.05177685798879369
0,alexnet,index=9.2.67E+05,266907.6965,168992.7578125,-97914.93868750002,0.09429385185484483
0,alexnet,index=10.3.15E+05,315466.1173,256815.6484375,-58650.46886249998,0.033832059878386736
0,alexnet,index=11.3.69E+05,368978.105,339125.484375,-29852.62062499998,0.008764969070808796
0,alexnet,index=12.4.27E+05,427276.195,397307.8125,-29968.382500000007,0.0088330781028213
0,alexnet,index=13.4.89E+05,489453.9981,480851.640625,-8602.357475000026,0.0007278140514856852
0,alexnet,index=14.5.54E+05,554196.3218,540303.4375,-13892.884300000034,0.0018983238408930916
0,alexnet,index=15.6.24E+05,624442.5514,581651.3125,-42791.2389,0.018009231679188897
0,alexnet,index=16.6.98E+05,698421.296,690527.4375,-7893.858499999973,0.000612864038568093
0,alexnet,index=17.7.77E+05,776647.2223,745483.34375,-31163.878550000023,0.00955187148289609
0,alexnet,index=18.8.59E+05,859343.9142,736469.875,-122874.0392,0.14849291544047113
0,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,189684.92708333328,189684.9267552863,0.4614547508680741
0,ensemble__simple_equal,index=2.2.36E+03,2355.33535,63032.66772460937,60677.33237460937,0.04721896217561777
0,ensemble__simple_equal,index=3.2.10E+04,20979.71604,48869.15250651041,27889.436466510408,0.009975690286009765
0,ensemble__simple_equal,index=4.5.76E+04,57593.31665,76416.234375,18822.917725,0.004543990001156128
0,ensemble__simple_equal,index=5.1.11E+05,111264.7017,92869.19075520831,-18395.51094479169,0.004339974615714106
0,ensemble__simple_equal,index=6.1.44E+05,144324.2618,91155.73567708333,-53168.52612291668,0.03625540176311912
0,ensemble__simple_equal,index=7.1.81E+05,181378.003,67406.677734375,-113971.325265625,0.16659220472311465
0,ensemble__simple_equal,index=8.2.22E+05,221505.1102,136590.86197916666,-84914.24822083334,0.09247505901336961
0,ensemble__simple_equal,index=9.2.67E+05,266907.6965,237271.10677083328,-29636.589729166735,0.011264707916497585
0,ensemble__simple_equal,index=10.3.15E+05,315466.1173,271430.16927083326,-44035.94802916673,0.024870137145657358
0,ensemble__simple_equal,index=11.3.69E+05,368978.105,372351.94270833326,3373.8377083332743,0.00014598621710163186
0,ensemble__simple_equal,index=12.4.27E+05,427276.195,403847.61458333326,-23428.58041666675,0.007039720692909857
0,ensemble__simple_equal,index=13.4.89E+05,489453.9981,510472.51041666657,21018.512316666543,0.005665880706051744
0,ensemble__simple_equal,index=14.5.54E+05,554196.3218,554681.5104166665,485.1886166664772,3.019149963240757e-06
0,ensemble__simple_equal,index=15.6.24E+05,624442.5514,606982.0833333333,-17460.46806666674,0.003909986362949408
0,ensemble__simple_equal,index=16.6.98E+05,698421.296,697002.9791666665,-1418.3168333334615,2.5799423045053664e-05
0,ensemble__simple_equal,index=17.7.77E+05,776647.2223,751669.3645833331,-24977.857716666884,0.00800154503512511
0,ensemble__simple_equal,index=18.8.59E+05,859343.9142,764151.2604166665,-95192.65378333349,0.11621718390452382
0,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,196530.90678232492,196530.90645427792,0.499134812731185
0,ensemble__inner_holdout,index=2.2.36E+03,2355.33535,46564.23233724748,44208.89698724748,0.025256636021610202
0,ensemble__inner_holdout,index=3.2.10E+04,20979.71604,44316.076115841286,23336.360075841287,0.007037564387852636
0,ensemble__inner_holdout,index=4.5.76E+04,57593.31665,78257.51313383931,20664.19648383931,0.00551814606552218
0,ensemble__inner_holdout,index=5.1.11E+05,111264.7017,83102.04763060299,-28162.654069397016,0.010249514827990459
0,ensemble__inner_holdout,index=6.1.44E+05,144324.2618,92420.649726505,-51903.61207349501,0.03481379049062773
0,ensemble__inner_holdout,index=7.1.81E+05,181378.003,69221.20743079149,-112156.79556920851,0.16255761992479764
0,ensemble__inner_holdout,index=8.2.22E+05,221505.1102,142436.35399368746,-79068.75620631254,0.08079155389107504
0,ensemble__inner_holdout,index=9.2.67E+05,266907.6965,229649.31590459304,-37258.38059540698,0.017939242318851845
0,ensemble__inner_holdout,index=10.3.15E+05,315466.1173,267617.5296055525,-47848.58769444749,0.029586554612133827
