frequency,experiment_name,role,source_wav_id,heat_flux,chunks,selected_chunks,log_mean,log_std,log_p95,raw_mean,selected_log_mean,selected_log_std,selected_log_p95,selected_raw_mean
maxfreq=3kHz,2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,60,60,5.60159243552002,2.5421874565214955,8.284160733222961,1.0780468629484329e-09,5.60159243552002,2.5421874565214955,8.284160733222961,1.0780468629484329e-09
maxfreq=3kHz,2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,60,60,5.554619032192804,2.5221763980531233,8.208102107048035,1.0088069386106e-09,5.554619032192804,2.5221763980531233,8.208102107048035,1.0088069386106e-09
maxfreq=3kHz,2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,60,60,5.48370174285085,2.4945903463735757,8.153252601623535,9.433994538375478e-10,5.48370174285085,2.4945903463735757,8.153252601623535,9.433994538375478e-10
maxfreq=3kHz,2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,60,60,5.039516227280629,2.339927555938359,7.722840785980225,5.855373408305727e-10,5.039516227280629,2.339927555938359,7.722840785980225,5.855373408305727e-10
maxfreq=3kHz,2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,60,60,5.215132033126957,2.7027341671041887,8.402331113815308,1.6892998993111585e-08,5.215132033126957,2.7027341671041887,8.402331113815308,1.6892998993111585e-08
maxfreq=3kHz,2025.07.09_0.3_1,train,index=1.0,6.98060403920294e-05,60,60,5.9625468013745415,2.6735102130657236,8.86171042919159,1.7730853043235853e-09,5.9625468013745415,2.6735102130657236,8.86171042919159,1.7730853043235853e-09
maxfreq=3kHz,2025.07.09_0.3_1,train,index=10.383287,383287.35455980786,60,60,5.957484755261705,2.6741261657198283,8.8481525182724,1.7642045863705537e-09,5.957484755261705,2.6741261657198283,8.8481525182724,1.7642045863705537e-09
maxfreq=3kHz,2025.07.09_0.3_1,train,index=11.442169,442169.29243200656,60,0,5.980408624479123,2.6800085672353147,8.8446546792984,1.7842231621007419e-09,,,,
maxfreq=3kHz,2025.07.09_0.3_1,train,index=12.505101,505101.26893061603,60,0,5.981522305931243,2.67968904894266,8.835423707962036,1.788514064040553e-09,,,,
maxfreq=3kHz,2025.07.09_0.3_1,train,index=13.571694,571694.2524911674,60,16,5.993107882706844,2.680696551671466,8.859514117240906,1.8035151924408014e-09,6.204289438998774,2.9386802163783106,9.339370131492615,5.597702251944351e-08
maxfreq=3kHz,2025.07.09_0.3_1,train,index=14.643516,643516.9402884921,60,13,5.972181237815255,2.67609356611287,8.845827579498291,1.763606027543666e-09,6.814551463001079,3.296559725030695,11.40741515159607,2.5300815375692365e-08
maxfreq=3kHz,2025.07.09_0.3_1,train,index=15.720690,720690.9057380507,60,60,9.833758027055755,4.596974965687795,15.236985325813293,9.910956919491752e-07,9.833758027055755,4.596974965687795,15.236985325813293,9.910956919491752e-07
maxfreq=3kHz,2025.07.09_0.3_1,train,index=16.802409,802409.6877461649,60,60,11.531215289374426,5.063592585900086,16.716726303100586,3.908339919119467e-06,11.531215289374426,5.063592585900086,16.716726303100586,3.908339919119467e-06
maxfreq=3kHz,2025.07.09_0.3_1,train,index=17.887789,887789.2369537686,60,60,12.378913859365952,5.27435870432433,17.642298936843872,1.0422021023129912e-05,12.378913859365952,5.27435870432433,17.642298936843872,1.0422021023129912e-05
maxfreq=3kHz,2025.07.09_0.3_1,train,index=2.2424,2424.7546537583808,60,60,5.989326805961879,2.6883650238807446,8.909212946891785,1.8358501535303453e-09,5.989326805961879,2.6883650238807446,8.909212946891785,1.8358501535303453e-09
maxfreq=3kHz,2025.07.09_0.3_1,train,index=4.59375,59375.420914051836,60,60,6.606007973704555,2.8872661265593864,9.449763894081116,3.4289974770464325e-09,6.606007973704555,2.8872661265593864,9.449763894081116,3.4289974770464325e-09
maxfreq=3kHz,2025.07.09_0.3_1,train,index=6.187171,187171.7169773235,60,60,6.5698156402158965,2.8641543979253834,9.387582182884216,3.240493030571364e-09,6.5698156402158965,2.8641543979253834,9.387582182884216,3.240493030571364e-09
maxfreq=3kHz,2025.07.09_0.3_1,train,index=8.275174,275174.6640882674,60,60,6.17936046430861,2.725683321358232,8.974611282348633,2.1073828852445685e-09,6.17936046430861,2.725683321358232,8.974611282348633,2.1073828852445685e-09
maxfreq=3kHz,2025.06.18_0.3_3,test,index=1.0,-1.42e-06,60,60,4.3234228802712735,2.0983393966611503,6.924255907535553,2.6012848393078617e-10,4.3234228802712735,2.0983393966611503,6.924255907535553,2.6012848393078617e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=10.322114,322114.2428,60,60,4.699449555188602,2.2528081810095566,7.406079053878784,4.661551925650755e-10,4.699449555188602,2.2528081810095566,7.406079053878784,4.661551925650755e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=11.376320,376320.1201,60,60,6.972607829409222,3.9166755868085685,12.969642281532288,8.41852628363686e-08,6.972607829409222,3.9166755868085685,12.969642281532288,8.41852628363686e-08
maxfreq=3kHz,2025.06.18_0.3_3,test,index=12.434018,434018.0833,60,60,10.150075956872431,4.643954308437345,15.06585156917572,8.191329946071862e-07,10.150075956872431,4.643954308437345,15.06585156917572,8.191329946071862e-07
maxfreq=3kHz,2025.06.18_0.3_3,test,index=13.496023,496023.3525,60,60,11.138242476734606,4.931739400947338,16.280049085617065,2.7054266703828173e-06,11.138242476734606,4.931739400947338,16.280049085617065,2.7054266703828173e-06
maxfreq=3kHz,2025.06.18_0.3_3,test,index=14.562158,562158.7854,60,60,12.09998534714267,5.187332090789755,17.168355464935303,6.112650850534585e-06,12.09998534714267,5.187332090789755,17.168355464935303,6.112650850534585e-06
maxfreq=3kHz,2025.06.18_0.3_3,test,index=15.633482,633482.536,60,60,12.625863747652279,5.317539831819,17.700015783309937,1.0677484158127326e-05,12.625863747652279,5.317539831819,17.700015783309937,1.0677484158127326e-05
maxfreq=3kHz,2025.06.18_0.3_3,test,index=16.709792,709792.7143,60,60,13.002540852721847,5.392107513882066,18.074141025543213,1.5582388747676012e-05,13.002540852721847,5.392107513882066,18.074141025543213,1.5582388747676012e-05
maxfreq=3kHz,2025.06.18_0.3_3,test,index=17.789500,789500.1968,60,60,13.191207623206132,5.433744687086999,18.296733856201172,1.9005843365954803e-05,13.191207623206132,5.433744687086999,18.296733856201172,1.9005843365954803e-05
maxfreq=3kHz,2025.06.18_0.3_3,test,index=18.873637,873637.0359,60,60,13.330646453129539,5.47099226083366,18.460689306259155,2.1865087362057206e-05,13.330646453129539,5.47099226083366,18.460689306259155,2.1865087362057206e-05
maxfreq=3kHz,2025.06.18_0.3_3,test,index=2.2380,2380.025286,60,60,4.677563460183498,2.2544891712695434,7.519999325275421,4.305831883313072e-10,4.677563460183498,2.2544891712695434,7.519999325275421,4.305831883313072e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=3.21242,21242.86319,60,60,4.63740761620412,2.2465066897420813,7.504116415977478,4.1870277753892125e-10,4.63740761620412,2.2465066897420813,7.504116415977478,4.1870277753892125e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=4.58389,58389.85471,60,60,4.641263082120976,2.2483305173928656,7.499689996242523,4.180251327998201e-10,4.641263082120976,2.2483305173928656,7.499689996242523,4.180251327998201e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=5.113188,113188.2901,60,60,5.677735654615153,2.5957891005480316,8.675949215888977,1.3676726568881122e-09,5.677735654615153,2.5957891005480316,8.675949215888977,1.3676726568881122e-09
maxfreq=3kHz,2025.06.18_0.3_3,test,index=6.146381,146381.6505,60,60,5.594237940447478,2.5674744455610767,8.517942309379578,1.2177111553417652e-09,5.594237940447478,2.5674744455610767,8.517942309379578,1.2177111553417652e-09
maxfreq=3kHz,2025.06.18_0.3_3,test,index=7.184190,184190.9699,60,60,5.2025626714182405,2.4133436113453994,7.971770405769348,7.522550202934637e-10,5.2025626714182405,2.4133436113453994,7.971770405769348,7.522550202934637e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=8.225704,225704.9618,60,60,4.508968969910514,2.142207719193806,7.065962612628937,3.0482590942939877e-10,4.508968969910514,2.142207719193806,7.065962612628937,3.0482590942939877e-10
maxfreq=3kHz,2025.06.18_0.3_3,test,index=9.271677,271677.6816,60,60,4.568234168560121,2.1671513452954305,7.133474886417389,3.354624892921745e-10,4.568234168560121,2.1671513452954305,7.133474886417389,3.354624892921745e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,60,60,3.4168032900035037,1.4552908076472755,6.37785679101944,1.2060296038384518e-10,3.4168032900035037,1.4552908076472755,6.37785679101944,1.2060296038384518e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,60,60,4.031293708800721,2.0169524061698656,7.647416472434998,9.401571046748356e-09,4.031293708800721,2.0169524061698656,7.647416472434998,9.401571046748356e-09
maxfreq=22kHz,2025.06.11_0.3_2,train,index=11.3.69E+05,368978.105,60,60,7.255111095026562,2.6637297514747535,12.19911777973175,6.793139762541259e-08,7.255111095026562,2.6637297514747535,12.19911777973175,6.793139762541259e-08
maxfreq=22kHz,2025.06.11_0.3_2,train,index=12.4.27E+05,427276.195,60,60,8.574779522224532,2.81814835071436,13.837476134300232,2.827591147547558e-07,8.574779522224532,2.81814835071436,13.837476134300232,2.827591147547558e-07
maxfreq=22kHz,2025.06.11_0.3_2,train,index=13.4.89E+05,489453.9981,60,60,9.541069839869621,2.851690442392485,14.499750018119812,5.84860576839066e-07,9.541069839869621,2.851690442392485,14.499750018119812,5.84860576839066e-07
maxfreq=22kHz,2025.06.11_0.3_2,train,index=14.5.54E+05,554196.3218,60,60,10.29194858948695,2.9010402949526704,15.262766242027283,1.172358720021336e-06,10.29194858948695,2.9010402949526704,15.262766242027283,1.172358720021336e-06
maxfreq=22kHz,2025.06.11_0.3_2,train,index=15.6.24E+05,624442.5514,60,60,10.812619314349739,2.9753664905621546,15.696780323982239,1.9448662326459487e-06,10.812619314349739,2.9753664905621546,15.696780323982239,1.9448662326459487e-06
maxfreq=22kHz,2025.06.11_0.3_2,train,index=16.6.98E+05,698421.296,60,60,11.313002723164377,3.02374361037041,16.148440837860107,2.9618879449519666e-06,11.313002723164377,3.02374361037041,16.148440837860107,2.9618879449519666e-06
maxfreq=22kHz,2025.06.11_0.3_2,train,index=17.7.77E+05,776647.2223,60,60,11.691979813463368,3.0391145851735484,16.46811532974243,4.04978375258637e-06,11.691979813463368,3.0391145851735484,16.46811532974243,4.04978375258637e-06
maxfreq=22kHz,2025.06.11_0.3_2,train,index=18.8.59E+05,859343.9142,60,60,12.049095229198338,3.069989675911886,16.755903482437134,5.469761666690102e-06,12.049095229198338,3.069989675911886,16.755903482437134,5.469761666690102e-06
maxfreq=22kHz,2025.06.11_0.3_2,train,index=2.2.36E+03,2355.33535,60,60,3.835169259657727,1.5149296074381287,6.9377720952034,2.049464101578323e-10,3.835169259657727,1.5149296074381287,6.9377720952034,2.049464101578323e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,60,60,3.863320649348557,1.4842606148140753,6.903233289718628,2.0263764368098792e-10,3.863320649348557,1.4842606148140753,6.903233289718628,2.0263764368098792e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,60,60,3.8960645378907532,1.5037295681281648,6.964603960514069,2.097098023299007e-10,3.8960645378907532,1.5037295681281648,6.964603960514069,2.097098023299007e-10
