snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-12,cnntf_v2_gap,time,time_2,0.25,0.5,0.366841929471687,0.3211073036240447,0.4095023339274763,104509.30863526894
-12,cnntf_v2_gap,time,time_3,0.5,0.75,0.42730518038135773,0.4004357670213997,0.4409464023372063,116301.02756886937
-12,cnntf_v2_gap,time,time_4,0.75,1.0,0.27962316217357347,0.2154658644544966,0.3167421663435474,85779.6213801974
-12,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-12,rf,frequency,freq_10000_15000Hz,10000.0,15000.0,0.0014773292681762333,0.0005032659355548,0.0023906931828298,658.7718366817402
-12,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.0029512462988719665,-0.0024714009819671,0.0100530572478684,1276.5810078184443
-12,rf,frequency,freq_15000_22000Hz,15000.0,22000.0,0.0006138302754659333,-0.0005077216998097,0.0020461116971186,275.3169207780593
-12,rf,frequency,freq_2000_5000Hz,2000.0,5000.0,0.4238135420463669,0.2917498777096036,0.5685976926461174,113266.03567236326
-12,rf,frequency,freq_256_512Hz,256.0,512.0,-2.357797503127479e-05,-7.073392509382437e-05,0.0,-9.678916785730204
-12,rf,frequency,freq_5000_10000Hz,5000.0,10000.0,0.011588992549802701,-0.0194359009289847,0.044129460939839,4728.620480373487
-12,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.008949975439965632,-0.0156844258983253,0.0365719245616514,3595.8575626274305
-12,rf,time,time_1,0.0,0.25,0.026814063281774898,-0.0098614088079723,0.0625935458412129,11489.492728271276
-12,rf,time,time_2,0.25,0.5,0.024983971061344503,-0.0138164198813801,0.0604880667220403,10760.069870171765
-12,rf,time,time_3,0.5,0.75,0.02722847051483017,-0.0102334215538694,0.0667374151313006,11441.597201419027
-12,rf,time,time_4,0.75,1.0,0.021146626546559102,-0.008984578506719,0.0489687416671726,9392.32600108018
-16,alexnet,frequency,freq_0_256Hz,0.0,256.0,-0.0033108276374313335,-0.0053468828707528,-0.00052879386962,-1373.8500687560638
-16,alexnet,frequency,freq_10000_15000Hz,10000.0,15000.0,58.59426761358645,7.28828373924215,114.5204998762258,1730317.6048585565
-16,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,116.05582529364625,25.072762754959264,247.98130957746764,2474748.735957446
-16,alexnet,frequency,freq_15000_22000Hz,15000.0,22000.0,35.357498589778224,10.25769691228597,71.1140340452465,1364362.04612579
-16,alexnet,frequency,freq_2000_5000Hz,2000.0,5000.0,22.196828381953097,4.106826784633816,45.334891757674825,1044367.5579085527
-16,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.053132586903093755,-0.0544852296420075,0.2529356268101949,11538.658044297235
-16,alexnet,frequency,freq_5000_10000Hz,5000.0,10000.0,32.83544012685707,11.467377775701747,54.86264479907491,1358618.9209339288
-16,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,17.865095922353664,6.696929022347331,40.07993025269012,918456.3907764183
-16,alexnet,time,time_1,0.0,0.25,64.65097282902508,9.765180671654576,148.8332239904631,1763852.5236855007
-16,alexnet,time,time_2,0.25,0.5,96.57093223722113,26.688800466646715,226.64377111085344,2187635.1543133412
-16,alexnet,time,time_3,0.5,0.75,37.93969932213873,9.324755540606734,91.07831211694484,1324728.4116562495
-16,alexnet,time,time_4,0.75,1.0,9.820774256029482,4.251312777528898,17.48560589023983,708484.1802869836
-16,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,4.0049450537470594e-05,-6.599331093815053e-05,0.0002131860319979,29.973084609116388
-16,cnntf_v2_gap,frequency,freq_10000_15000Hz,10000.0,15000.0,1.1739122525814982,0.7243314901410414,1.5842682635907368,230391.86908601093
-16,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,1.4613184513082054,0.779325794666089,2.0904608265482985,263863.39542511135
-16,cnntf_v2_gap,frequency,freq_15000_22000Hz,15000.0,22000.0,1.5006075672638903,0.5094398880950288,2.159713626235231,257146.37923341547
-16,cnntf_v2_gap,frequency,freq_2000_5000Hz,2000.0,5000.0,2.0318076385659016,0.9716984687902148,3.2332820866604326,316700.2081470739
-16,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.12822636348895233,-0.0184694664856778,0.3747275346898523,42357.527746872285
-16,cnntf_v2_gap,frequency,freq_5000_10000Hz,5000.0,10000.0,1.669822281439326,0.7236260780780397,2.961099367263245,273906.04981352604
-16,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,1.0876220299744606,0.3071364905992848,1.942100851036328,213604.2092414963
-16,cnntf_v2_gap,time,time_1,0.0,0.25,0.19580902109573736,0.1222257144112121,0.2519315066098204,73956.96039765519
-16,cnntf_v2_gap,time,time_2,0.25,0.5,0.4160218623886774,0.3673039534674061,0.4979446975043295,123228.67731840855
-16,cnntf_v2_gap,time,time_3,0.5,0.75,0.5514188333933062,0.4609509390988275,0.71698153885296,146954.99204757533
-16,cnntf_v2_gap,time,time_4,0.75,1.0,0.41065624406635076,0.3191167876680182,0.5502124034635572,121511.3581648008
-16,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
