snr,fold,model,sample_id,val_local_index,model_prediction_heat_flux,expected_value_heat_flux,sum_shap_heat_flux,reconstructed_prediction_heat_flux,completeness_error
-8,2,rf,near_onb_below_val0060,60,72776.96539783529,312186.1290646485,-239409.28604061037,72776.84302403816,-0.12237379713042174
-8,2,rf,near_onb_above_val0120,120,390571.12361129385,312186.1290646485,78384.53908689297,390570.6681515415,-0.45545975235290825
-8,2,rf,worst_prediction_val0185,185,233122.86733134167,312186.1290646485,-79062.87978054718,233123.24928410136,0.3819527596933767
-8,2,rf,low_heatflux_val0180,180,75397.11496550067,312186.1290646485,-236789.13628646685,75396.99277818168,-0.12218731899338309
-8,2,rf,high_heatflux_val0300,300,743184.9300886011,312186.1290646485,430998.0466263453,743184.1756909939,-0.7543976071756333
-8,3,rf,near_onb_below_val0180,180,260755.13598314417,375346.4082794026,-114589.5044369452,260756.9038424574,1.7678593132295646
-8,3,rf,near_onb_above_val0240,240,567792.0638282377,375346.4082794026,192445.03627712003,567791.4445565226,-0.6192717150552198
-8,3,rf,worst_prediction_val0201,201,121580.48805581887,375346.4082794026,-253765.90051098683,121580.50776841576,0.019712596884346567
-8,3,rf,low_heatflux_val0000,0,124147.23015591093,375346.4082794026,-251199.20866684668,124147.19961255591,-0.03054335502383765
-8,3,rf,high_heatflux_val0300,300,778684.6424124651,375346.4082794026,403339.55455195566,778685.9628313582,1.3204188931267709
-12,1,rf,near_onb_below_val0120,120,88759.80124401435,332193.7912544644,-243434.0027590085,88759.78849545593,-0.012748558423481882
-12,1,rf,near_onb_above_val0180,180,364535.4543199824,332193.7912544644,32342.685336713897,364536.47659117833,1.0222711959504522
-12,1,rf,false_negative_val0237,237,309040.54097576777,332193.7912544644,-23151.81640585365,309041.97484861076,1.4338728429866023
-12,1,rf,low_heatflux_val0060,60,88197.05014480143,332193.7912544644,-243996.766418031,88197.02483643341,-0.025308368014520966
-12,1,rf,high_heatflux_val0300,300,688415.2498614683,332193.7912544644,356221.11359677184,688414.9048512363,-0.34501023206394166
-12,2,rf,near_onb_below_val0060,60,72196.93515858665,312186.1290646485,-239989.0809444655,72197.04812018303,0.11296159637277015
-12,2,rf,near_onb_above_val0120,120,391430.02133046655,312186.1290646485,79243.48449042934,391429.61355507787,-0.4077753886813298
-12,2,rf,worst_prediction_val0086,86,67728.13485842521,312186.1290646485,-244457.85219959944,67728.27686504909,0.14200662387884222
-12,2,rf,low_heatflux_val0180,180,183894.34648664083,312186.1290646485,-128291.60273645564,183894.5263281929,0.17984155207523145
-12,2,rf,high_heatflux_val0300,300,746853.04458518,312186.1290646485,434666.1422833359,746852.2713479844,-0.7732371955644339
-12,3,rf,near_onb_below_val0180,180,268088.01737877564,375346.4082794026,-107256.77546576949,268089.63281363307,1.6154348574345931
-12,3,rf,near_onb_above_val0240,240,565291.0452970399,375346.4082794026,189943.53769437573,565289.9459737784,-1.0993232615292072
-12,3,rf,worst_prediction_val0201,201,132869.22621476185,375346.4082794026,-242477.34174178523,132869.06653761736,-0.15967714448925108
-12,3,rf,low_heatflux_val0000,0,130085.22530709706,375346.4082794026,-245261.2737487652,130085.13453063738,-0.09077645967772696
-12,3,rf,high_heatflux_val0300,300,784840.2461640255,375346.4082794026,409495.5392936013,784841.9475730038,1.7014089783187956
-16,1,rf,near_onb_below_val0120,120,93395.0291666836,332193.7656440201,-238798.90054365952,93394.86510036059,-0.16406632300640922
-16,1,rf,near_onb_above_val0180,180,366014.73919684027,332193.7656440201,33821.69693904002,366015.46258306014,0.723386219877284
-16,1,rf,false_negative_val0230,230,307645.5912921976,332193.7656440201,-24546.778856739944,307646.9867872802,1.3954950826009735
-16,1,rf,low_heatflux_val0060,60,106678.55200716706,332193.7656440201,-225515.38387014417,106678.38177387594,-0.17023329112271313
-16,1,rf,high_heatflux_val0300,300,691431.5455567787,332193.7656440201,359237.57022333756,691431.3358673577,-0.20968942099716514
-16,2,rf,near_onb_below_val0060,60,75779.72811486966,312186.1290646485,-236406.33621944275,75779.79284520578,0.06473033611837309
-16,2,rf,near_onb_above_val0120,120,389800.41173641477,312186.1290646485,77613.89176567263,389800.0208303211,-0.3909060936421156
-16,2,rf,worst_prediction_val0100,100,70298.16199936676,312186.1290646485,-241887.9381357435,70298.19092890504,0.028929538282682188
