snr,fold,model,evaluation_unit,aggregation,group,axis,low,high,unit,low_index,high_index,n_chunks,n_samples,n_source_wavs,n_onb_samples,base_r2,masked_r2,r2_drop,base_rmse_all,masked_rmse_all,rmse_all_increase,base_mae_all,masked_mae_all,mae_all_increase,base_rmse_onb,masked_rmse_onb,rmse_onb_increase,base_recall,masked_recall,recall_drop,base_f1,masked_f1,f1_drop,base_false_negatives,masked_false_negatives,false_negative_increase
no_noise,1,alexnet,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,1,0.9328305348239174,-0.42318199182964644,1.3560125266535639,65341.040392811985,300767.09419329977,235426.05380048777,56765.58938843751,289450.8549475,232685.26555906248,13942.026874999981,355682.86375,341740.83687500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.75,0.050000000000000044,1,0,-1
no_noise,1,alexnet,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,1,0.9328305348239174,0.5030281552637337,0.42980237956018374,65341.040392811985,177732.14922343078,112391.10883061879,56765.58938843751,152503.7798225,95738.19043406248,13942.026874999981,263888.11375,249946.08687500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,1.0,-0.19999999999999996,1,0,-1
no_noise,2,rf,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,0,0.8759126641876676,0.8759126641876676,0.0,97417.50791535618,97417.50791535618,0.0,74443.85158229167,74443.85158229167,0.0,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,0,0.8759126641876676,0.8759126641876676,0.0,97417.50791535618,97417.50791535618,0.0,74443.85158229167,74443.85158229167,0.0,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,0,0.8759126641876676,0.9036405505398537,-0.02772788635218615,97417.50791535618,85846.07439943543,-11571.433515920755,74443.85158229167,71130.39780625001,-3313.453776041657,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,0,0.8759126641876676,0.9276280926901352,-0.051715428502467686,97417.50791535618,74397.49185147988,-23020.016063876305,74443.85158229167,64646.49155625,-9797.360026041664,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,0,0.8759126641876676,0.31903254109931645,0.5568801230883511,97417.50791535618,228210.94262910343,130793.43471374725,74443.85158229167,180674.03843125002,106230.18684895836,nan,nan,nan,1.0,0.6666666666666666,0.33333333333333337,1.0,0.8,0.19999999999999996,0,1,1
no_noise,2,rf,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,0,0.8759126641876676,0.8759534550691931,-4.079088152553201e-05,97417.50791535618,97401.49470731545,-16.013208040734753,74443.85158229167,74436.51531927084,-7.336263020828483,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,0,0.8759126641876676,0.8759126641876676,0.0,97417.50791535618,97417.50791535618,0.0,74443.85158229167,74443.85158229167,0.0,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,freq_15000_22000Hz,frequency,15000.0,22000.0,Hz,153,224,360,6,6,0,0.8759126641876676,0.8759994676097858,-8.680342211819791e-05,97417.50791535618,97383.42848101891,-34.07943433726905,74443.85158229167,74422.99057968751,-20.861002604156965,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
