snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-4,2,alexnet,near_onb_above_val0120,integrated_gradients,output,391846.21875,412532.375,0.6246085444555949,0.6285554715660018,0.7508954309056304
-4,2,alexnet,false_negative_val0133,integrated_gradients,output,354510.09375,416755.84375,0.6397575546149229,0.6454225667432936,0.7343312477634149
-4,2,alexnet,worst_prediction_val0006,integrated_gradients,output,-20163.716796875,429152.8125,0.5956526265991912,0.6046932672616164,0.7372963424999728
-4,2,alexnet,low_heatflux_val0180,integrated_gradients,output,111476.5390625,424819.34375,0.6021212361540462,0.6164857969664859,0.7367993728784554
-4,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,308785.65625,-874733.25,0.598479987477538,0.6025378056350055,0.8376902878332956
-4,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,501374.21875,-900148.375,0.5588008239889334,0.5631237509651338,0.8524092189089469
-4,3,cnntf_v2_gap,worst_prediction_val0033,integrated_gradients,output,287763.53125,-927604.4375,0.6627401900870387,0.668734888633752,0.7970738906814364
-4,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,175168.984375,-917463.4375,0.5577543271707309,0.5728585979135108,0.7967081978806771
-4,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,754552.9375,-831355.5,0.6462809775314687,0.6489196725726032,0.8334514290465276
-4,3,alexnet,near_onb_below_val0180,integrated_gradients,output,255850.390625,469064.40625,0.6468852236281304,0.6499486752007236,0.73845099332004
-4,3,alexnet,near_onb_above_val0240,integrated_gradients,output,480748.59375,466839.90625,0.7543571968643162,0.7560575680737562,0.7013925573004046
-4,3,alexnet,worst_prediction_val0041,integrated_gradients,output,277213.5,457499.9375,0.613476977758659,0.6224086706283886,0.78826427111828
-4,3,alexnet,low_heatflux_val0000,integrated_gradients,output,106381.2890625,475260.78125,0.6482022463507697,0.6567373947985097,0.7359556383488226
-4,3,alexnet,high_heatflux_val0300,integrated_gradients,output,732069.0,435396.34375,0.551646594422995,0.5561603651257652,0.7425044871183129
-8,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,210643.734375,461548.34375,0.6439252642680822,0.6555346326280737,0.8233224498949706
