snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error
-16,1,cnntf_v2_gap,worst_prediction_val0164,164,266907.6965,94778.3359375,172129.36056250002
-16,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,100696.8828125,79717.1667725
-16,1,alexnet,near_onb_below_val0120,120,266907.6965,88205.046875,178702.64962500002
-16,1,alexnet,near_onb_above_val0180,180,368978.105,406875.0625,37896.95750000002
-16,1,alexnet,false_negative_val0230,230,368978.105,212636.421875,156341.68312499998
-16,1,alexnet,worst_prediction_val0154,154,266907.6965,17541.439453125,249366.25704687502
-16,1,alexnet,low_heatflux_val0060,60,20979.71604,64226.140625,43246.424585
-16,2,rf,near_onb_below_val0060,60,221505.1102,75779.7265625,145725.3836375
-16,2,rf,near_onb_above_val0120,120,427276.195,389800.40625,37475.78875000001
-16,2,rf,worst_prediction_val0100,100,221505.1102,70298.1640625,151206.9461375
-16,2,rf,low_heatflux_val0180,180,57593.31665,113054.5390625,55461.2224125
-16,2,rf,high_heatflux_val0300,300,859343.9142,748517.1875,110826.7267
-16,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,197392.734375,24112.375824999996
-16,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,425757.875,1518.320000000007
-16,2,cnntf_v2_gap,worst_prediction_val0205,205,57593.31665,252992.296875,195398.980225
-16,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,214821.40625,157228.0896
-16,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,821451.5625,37892.3517
-16,2,alexnet,near_onb_below_val0060,60,221505.1102,14990.7314453125,206514.3787546875
-16,2,alexnet,near_onb_above_val0120,120,427276.195,415069.9375,12206.257500000007
-16,2,alexnet,worst_prediction_val0104,104,221505.1102,-23524.8125,245029.9227
-16,2,alexnet,low_heatflux_val0180,180,57593.31665,98065.2890625,40471.9724125
-16,2,alexnet,high_heatflux_val0300,300,859343.9142,766665.8125,92678.1017
-16,3,rf,near_onb_below_val0180,180,315466.1173,270918.1875,44547.92979999998
-16,3,rf,near_onb_above_val0240,240,489453.9981,568419.8125,78965.81439999997
-16,3,rf,worst_prediction_val0197,197,315466.1173,134118.25,181347.86729999998
-16,3,rf,low_heatflux_val0000,0,0.000328047,134355.84375,134355.843421953
-16,3,rf,high_heatflux_val0300,300,698421.296,779325.3125,80904.01650000003
-16,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,266239.84375,49226.27354999998
-16,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,473769.46875,15684.529350000026
-16,3,cnntf_v2_gap,worst_prediction_val0197,197,315466.1173,92562.265625,222903.85167499998
-16,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,74617.96875,74617.968421953
-16,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,737974.1875,39552.89150000003
-16,3,alexnet,near_onb_below_val0180,180,315466.1173,261274.765625,54191.35167499998
-16,3,alexnet,near_onb_above_val0240,240,489453.9981,460927.96875,28526.029350000026
-16,3,alexnet,worst_prediction_val0042,42,0.000328047,219526.546875,219526.546546953
-16,3,alexnet,low_heatflux_val0000,0,0.000328047,44454.00390625,44454.003578203
-16,3,alexnet,high_heatflux_val0300,300,698421.296,693853.875,4567.420999999973
-20,1,rf,near_onb_below_val0120,120,266907.6965,123985.4375,142922.25900000002
-20,1,rf,near_onb_above_val0180,180,368978.105,362839.09375,6139.011249999981
-20,1,rf,false_negative_val0194,194,368978.105,305480.65625,63497.44874999998
-20,1,rf,worst_prediction_val0135,135,266907.6965,97303.15625,169604.54025000002
-20,1,rf,low_heatflux_val0060,60,20979.71604,120699.078125,99719.362085
