snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error
-8,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.93346479076211131,69141.88489280692,47886.59822021646,0.94613554658835097,37267.025111610848,26597.995076192754,20108.953165248036,20108.953165248036,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,348869.15183475194,-20108.953165248036
-12,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.92194074761695055,74890.657766932651,58919.721044136277,0.88994132745933152,53270.372367135868,39520.43299999999,1998.1206249999814,1998.1206249999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,366979.984375,-1998.1206249999814
-12,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.91802765982909307,76744.828178137803,49362.926191184888,0.96463318140256382,30197.542060244908,21158.371090625005,2607.8393749999814,2607.8393749999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,366370.265625,-2607.8393749999814
-12,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.93291262860900881,69428.189336299067,55878.47873016059,0.89488181368558029,52061.002524634321,44650.718053125005,35352.198749999981,35352.198749999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,333625.90625,-35352.19874999998
-12,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93320510021088721,69276.685761368193,49161.104913407129,0.94186130081319852,38717.406003870645,27708.931418750042,12623.203958333354,12623.203958333354,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,356354.9010416666,-12623.203958333354
-12,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.93364009339827314,69050.739549548191,47272.838312524415,0.94948851862724981,36088.484953740997,23745.528803418492,13183.353048114455,13183.353048114455,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,355794.7519518855,-13183.353048114455
-16,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.92076052566042921,75454.690873217245,59604.593656983496,0.8892698462520493,53432.629732132824,40188.50331249999,6571.8549999999814,6571.8549999999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,362406.25,-6571.854999999981
-16,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.95620277128720987,56096.887696074569,40612.803711497392,0.98022969529407755,22577.730192005878,14022.073162500004,9852.5581249999814,9852.5581249999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,359125.546875,-9852.558124999981
-16,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.90421737617884812,82958.103695656144,68536.415269700519,0.86812145894410453,58312.366176348354,48724.300084375005,37209.761249999981,37209.761249999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,331768.34375,-37209.76124999998
-16,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.94851783260076727,60819.642426129692,48978.388283719636,0.94468452868510921,37765.644962492275,27563.127382291714,15230.391458333354,15230.391458333354,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,353747.7135416666,-15230.391458333354
-16,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.95095723342444349,59361.235573773003,47108.756460159821,0.95130065907438821,35435.22047672698,24112.594852025657,15580.604825197486,15580.604825197486,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,353397.5001748025,-15580.604825197486
-20,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.92138074796614655,75158.81171436781,59153.766617052941,0.89399161672474192,52280.977980466414,39035.03456249999,6843.5424999999814,6843.5424999999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,362134.5625,-6843.542499999981
-20,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.93003883257866748,70899.631049327232,55303.418270177943,0.94523798230263223,37576.239741933699,27939.156246875005,28595.261249999981,28595.261249999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,340382.84375,-28595.26124999998
-20,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.91085174329083429,80033.512721808249,66330.243676948769,0.87499186987036848,56773.11544458643,47304.307896875005,72967.667499999981,72967.667499999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,296010.4375,-72967.66749999998
-20,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93058158616032816,70624.078523055869,55786.184462466728,0.92540876769069413,43854.83571909718,33577.310976041685,35887.459166666667,35887.459166666667,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,333090.6458333333,-35887.45916666667
-20,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.92831146660712494,71769.562547618436,55067.283134004319,0.93042796129053029,42353.661603691326,31688.021866854862,32295.549421802221,32295.549421802221,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,336682.55557819776,-32295.54942180222
