snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-4,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9997784961894995,0.9997861341005025,0.08090358325158539
-4,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.999772622874064,0.9997804788813915,0.08234892226589532
-4,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9990256496553396,0.9990596175132594,0.11130373118407917
-4,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9990422181042086,0.9990751537650482,0.11414263127038313
-4,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999838334077039,0.9999838339487072,0.024748495418927863
-4,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999842942768837,0.999984300767935,0.0245495638112195
-4,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.9999416635055607,0.9999392371805618,0.07178850484161638
-4,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.9999503710256894,0.9999483206654869,0.06841480370278935
-4,1,alexnet,worst_prediction_val0135,integrated_gradients,1,0.01,0.9985929596613725,0.9985817251337848,0.1624559851143554
-4,1,alexnet,worst_prediction_val0135,integrated_gradients,2,0.01,0.9989639260760754,0.9989477703401843,0.15758747719646177
-4,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9992915073173753,0.9993193504928879,0.09656581712124046
-4,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9993548478144868,0.9993803462506969,0.09114810954442693
-4,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9997418783097837,0.9997515940590845,0.08287534157055239
-4,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.9997339383919589,0.999744009381838,0.08387813676125569
-4,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999637875234381,0.9999626459827392,0.04488440053462199
-4,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999632326830057,0.9999621918142887,0.04466221086431762
-4,2,cnntf_v2_gap,worst_prediction_val0056,integrated_gradients,1,0.01,0.9997371647686836,0.9997445375253466,0.08927728695806517
-4,2,cnntf_v2_gap,worst_prediction_val0056,integrated_gradients,2,0.01,0.9997359659880136,0.999743588992074,0.0893472245060869
-4,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,1,0.01,0.9997371775970211,0.9997475333414066,0.08179187795662149
-4,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,2,0.01,0.9997274161625319,0.999738060670766,0.08283132714566305
-4,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999714620978923,0.9999712432671394,0.0351563728321433
-4,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999708595175273,0.9999706359225317,0.035387339956174185
-4,2,alexnet,near_onb_below_val0060,integrated_gradients,1,0.01,0.9997611234658638,0.9997701645306545,0.060880018223911384
-4,2,alexnet,near_onb_below_val0060,integrated_gradients,2,0.01,0.9997665558393756,0.9997753971602644,0.06023540316933038
-4,2,alexnet,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999772142858669,0.9999770564048399,0.02964768080767017
-4,2,alexnet,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999776181051918,0.9999774732063016,0.0295529061631919
