snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,2,cnntf_v2_gap,worst_prediction_val0006,6,181378.003,62808.55078125,118569.45221875,group_occlusion,heat_flux_change,nan,-10059.64453125,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,93459.578125,35866.261475,integrated_gradients,heat_flux,321123.34375,20591.3828125,300531.9609375,14.595035392915044,273394.126171875,83185.97265625,190208.153515625,183545.6400390625,83185.97265625,100359.6673828125,5,540.1785714285714,158,0.7075892857142857
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,93459.578125,35866.261475,group_occlusion,heat_flux_change,nan,20591.3828125,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,112,0.5022321428571429
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,823911.625,35432.2892,integrated_gradients,heat_flux,67244392448.0,751043.4296875,67243641404.57031,89533.62581515369,365459.008203125,448390.41015625,-82931.40195312502,319281.8849609375,448390.41015625,-129108.52519531251,23,2308.035714285714,70,0.31473214285714285
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,823911.625,35432.2892,group_occlusion,heat_flux_change,nan,751043.4296875,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,112,0.5022321428571429
no_noise,2,alexnet,near_onb_below_val0060,60,221505.1102,156687.703125,64817.407074999996,integrated_gradients,heat_flux,-1276646.5,12200.421875,-1288846.921875,105.6395373110817,1178046.26328125,150587.5625,1027458.7007812499,766779.26796875,150587.5625,616191.70546875,5,540.1785714285714,112,0.5022321428571429
no_noise,2,alexnet,near_onb_below_val0060,60,221505.1102,156687.703125,64817.407074999996,grad_cam,relative_importance,nan,12200.421875,nan,nan,406452.0671875,150587.5625,255864.5046875,447006.47968750005,150587.5625,296418.91718750005,158,15566.964285714286,215,0.9620535714285714
no_noise,2,alexnet,near_onb_below_val0060,60,221505.1102,156687.703125,64817.407074999996,group_occlusion,heat_flux_change,nan,12200.421875,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
no_noise,2,alexnet,near_onb_above_val0120,120,427276.195,387438.0625,39838.13250000001,integrated_gradients,heat_flux,-729208320.0,242950.78125,-729451270.78125,3002.4652196143124,2141688.32109375,265962.78125,1875725.5398437502,1732482.67109375,265962.78125,1466519.88984375,23,2308.035714285714,8,0.03794642857142857
no_noise,2,alexnet,near_onb_above_val0120,120,427276.195,387438.0625,39838.13250000001,grad_cam,relative_importance,nan,242950.78125,nan,nan,1084006.06171875,265962.78125,818043.28046875,1224310.48984375,265962.78125,958347.7085937499,0,49.107142857142854,0,0.002232142857142857
no_noise,2,alexnet,near_onb_above_val0120,120,427276.195,387438.0625,39838.13250000001,group_occlusion,heat_flux_change,nan,242950.78125,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
no_noise,2,alexnet,false_negative_val0134,134,427276.195,366390.5625,60885.63250000001,integrated_gradients,heat_flux,-3598402304.0,221903.28125,-3598624207.28125,16217.08424954284,2124603.11171875,255439.34375,1869163.76796875,1455760.65859375,255439.34375,1200321.31484375,23,2308.035714285714,170,0.7611607142857143
no_noise,2,alexnet,false_negative_val0134,134,427276.195,366390.5625,60885.63250000001,grad_cam,relative_importance,nan,221903.28125,nan,nan,964612.07109375,255439.34375,709172.72734375,1152174.22109375,255439.34375,896734.8773437501,0,49.107142857142854,0,0.002232142857142857
no_noise,2,alexnet,false_negative_val0134,134,427276.195,366390.5625,60885.63250000001,group_occlusion,heat_flux_change,nan,221903.28125,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
