seed,snr,model,fit_role,epoch,training_loss
43,-8,AlexNet,full_training,110,0.00122545
43,-8,AlexNet,full_training,120,0.00109251
43,-8,AlexNet,full_training,130,0.000908836
43,-8,AlexNet,full_training,140,0.00107921
43,-8,AlexNet,full_training,150,0.000858075
43,-8,AlexNet,full_training,160,0.000786617
43,-8,AlexNet,full_training,170,0.000755966
43,-8,AlexNet,full_training,180,0.00086465
43,-8,AlexNet,full_training,190,0.000782472
43,-8,AlexNet,full_training,200,0.000665162
43,-16,AlexNet,inner_weight_fit,10,0.00981165
43,-16,AlexNet,inner_weight_fit,20,0.00703483
43,-16,AlexNet,inner_weight_fit,30,0.00491375
43,-16,AlexNet,inner_weight_fit,40,0.00460873
43,-16,AlexNet,inner_weight_fit,50,0.00441573
43,-16,AlexNet,inner_weight_fit,60,0.00416375
43,-16,AlexNet,inner_weight_fit,70,0.00415571
43,-16,AlexNet,inner_weight_fit,80,0.00362924
43,-16,AlexNet,inner_weight_fit,90,0.00338508
43,-16,AlexNet,inner_weight_fit,100,0.00311662
43,-16,AlexNet,inner_weight_fit,110,0.00311728
43,-16,AlexNet,inner_weight_fit,120,0.00294029
43,-16,AlexNet,inner_weight_fit,130,0.00248735
43,-16,AlexNet,inner_weight_fit,140,0.00221851
43,-16,AlexNet,inner_weight_fit,150,0.00177415
43,-16,AlexNet,inner_weight_fit,160,0.00151697
43,-16,AlexNet,inner_weight_fit,170,0.00124113
43,-16,AlexNet,inner_weight_fit,180,0.00107151
43,-16,AlexNet,inner_weight_fit,190,0.000903686
43,-16,AlexNet,inner_weight_fit,200,0.000877056
43,-16,AlexNet,full_training,10,0.00975937
43,-16,AlexNet,full_training,20,0.0058246
43,-16,AlexNet,full_training,30,0.00571553
43,-16,AlexNet,full_training,40,0.00448661
43,-16,AlexNet,full_training,50,0.00396114
43,-16,AlexNet,full_training,60,0.00389638
43,-16,AlexNet,full_training,70,0.00377943
43,-16,AlexNet,full_training,80,0.00338645
43,-16,AlexNet,full_training,90,0.00362602
43,-16,AlexNet,full_training,100,0.00307412
43,-16,AlexNet,full_training,110,0.00283099
43,-16,AlexNet,full_training,120,0.00256219
43,-16,AlexNet,full_training,130,0.00213662
43,-16,AlexNet,full_training,140,0.00181808
43,-16,AlexNet,full_training,150,0.00143897
43,-16,AlexNet,full_training,160,0.00114002
43,-16,AlexNet,full_training,170,0.00101605
43,-16,AlexNet,full_training,180,0.000927922
43,-16,AlexNet,full_training,190,0.00101296
43,-16,AlexNet,full_training,200,0.000792142
44,-8,Conformer,inner_weight_fit,10,0.0107931
44,-8,Conformer,inner_weight_fit,20,0.00783232
44,-8,Conformer,inner_weight_fit,30,0.00746293
44,-8,Conformer,inner_weight_fit,40,0.00459334
44,-8,Conformer,inner_weight_fit,50,0.00308908
44,-8,Conformer,inner_weight_fit,60,0.00223516
44,-8,Conformer,inner_weight_fit,70,0.0019542
44,-8,Conformer,inner_weight_fit,80,0.00128026
44,-8,Conformer,inner_weight_fit,90,0.00171177
44,-8,Conformer,inner_weight_fit,100,0.00105713
44,-8,Conformer,inner_weight_fit,110,0.00112779
44,-8,Conformer,inner_weight_fit,120,0.000978744
44,-8,Conformer,inner_weight_fit,130,0.00100146
44,-8,Conformer,inner_weight_fit,140,0.000765127
44,-8,Conformer,inner_weight_fit,150,0.000696385
44,-8,Conformer,inner_weight_fit,160,0.000921432
44,-8,Conformer,inner_weight_fit,170,0.000880211
44,-8,Conformer,inner_weight_fit,180,0.000667091
44,-8,Conformer,inner_weight_fit,190,0.000563867
44,-8,Conformer,inner_weight_fit,200,0.000801488
44,-8,Conformer,full_training,10,0.00995187
44,-8,Conformer,full_training,20,0.00648744
44,-8,Conformer,full_training,30,0.00487524
44,-8,Conformer,full_training,40,0.00405626
44,-8,Conformer,full_training,50,0.0028175
44,-8,Conformer,full_training,60,0.00293958
44,-8,Conformer,full_training,70,0.00211668
44,-8,Conformer,full_training,80,0.00118922
44,-8,Conformer,full_training,90,0.00121797
44,-8,Conformer,full_training,100,0.00106994
44,-8,Conformer,full_training,110,0.000782866
44,-8,Conformer,full_training,120,0.000749704
44,-8,Conformer,full_training,130,0.00063485
44,-8,Conformer,full_training,140,0.00075707
44,-8,Conformer,full_training,150,0.000543088
44,-8,Conformer,full_training,160,0.000500752
44,-8,Conformer,full_training,170,0.000543479
44,-8,Conformer,full_training,180,0.0004227
44,-8,Conformer,full_training,190,0.000361522
44,-8,Conformer,full_training,200,0.000385069
44,-16,Conformer,inner_weight_fit,10,0.0109207
44,-16,Conformer,inner_weight_fit,20,0.00798399
44,-16,Conformer,inner_weight_fit,30,0.00758105
44,-16,Conformer,inner_weight_fit,40,0.00629166
44,-16,Conformer,inner_weight_fit,50,0.00559991
44,-16,Conformer,inner_weight_fit,60,0.00489736
44,-16,Conformer,inner_weight_fit,70,0.00410982
44,-16,Conformer,inner_weight_fit,80,0.00394172
44,-16,Conformer,inner_weight_fit,90,0.00394723
44,-16,Conformer,inner_weight_fit,100,0.00317167
44,-16,Conformer,inner_weight_fit,110,0.00237978
44,-16,Conformer,inner_weight_fit,120,0.00208388
44,-16,Conformer,inner_weight_fit,130,0.00244648
44,-16,Conformer,inner_weight_fit,140,0.00141467
44,-16,Conformer,inner_weight_fit,150,0.00132526
44,-16,Conformer,inner_weight_fit,160,0.00223478
44,-16,Conformer,inner_weight_fit,170,0.00120918
44,-16,Conformer,inner_weight_fit,180,0.00109454
44,-16,Conformer,inner_weight_fit,190,0.000901899
44,-16,Conformer,inner_weight_fit,200,0.00104284
44,-16,Conformer,full_training,10,0.00957783
44,-16,Conformer,full_training,20,0.00692292
44,-16,Conformer,full_training,30,0.00544179
44,-16,Conformer,full_training,40,0.00448256
44,-16,Conformer,full_training,50,0.00380096
44,-16,Conformer,full_training,60,0.00366769
44,-16,Conformer,full_training,70,0.00351863
44,-16,Conformer,full_training,80,0.00255343
44,-16,Conformer,full_training,90,0.00279791
44,-16,Conformer,full_training,100,0.00224412
44,-16,Conformer,full_training,110,0.0015447
44,-16,Conformer,full_training,120,0.0012146
44,-16,Conformer,full_training,130,0.000885961
44,-16,Conformer,full_training,140,0.0010614
44,-16,Conformer,full_training,150,0.000962601
44,-16,Conformer,full_training,160,0.000611921
44,-16,Conformer,full_training,170,0.00092013
44,-16,Conformer,full_training,180,0.000614744
44,-16,Conformer,full_training,190,0.000500983
44,-16,Conformer,full_training,200,0.000514072
44,-8,AlexNet,inner_weight_fit,10,0.0129436
44,-8,AlexNet,inner_weight_fit,20,0.00757536
44,-8,AlexNet,inner_weight_fit,30,0.00632798
44,-8,AlexNet,inner_weight_fit,40,0.00542399
44,-8,AlexNet,inner_weight_fit,50,0.0056729
44,-8,AlexNet,inner_weight_fit,60,0.00519893
44,-8,AlexNet,inner_weight_fit,70,0.00432388
44,-8,AlexNet,inner_weight_fit,80,0.00401122
44,-8,AlexNet,inner_weight_fit,90,0.00322505
44,-8,AlexNet,inner_weight_fit,100,0.00252189
44,-8,AlexNet,inner_weight_fit,110,0.00179997
44,-8,AlexNet,inner_weight_fit,120,0.00143835
44,-8,AlexNet,inner_weight_fit,130,0.00127543
44,-8,AlexNet,inner_weight_fit,140,0.00111149
44,-8,AlexNet,inner_weight_fit,150,0.00113449
44,-8,AlexNet,inner_weight_fit,160,0.000985336
44,-8,AlexNet,inner_weight_fit,170,0.00104884
44,-8,AlexNet,inner_weight_fit,180,0.000783766
44,-8,AlexNet,inner_weight_fit,190,0.000932578
44,-8,AlexNet,inner_weight_fit,200,0.000971441
44,-8,AlexNet,full_training,10,0.00805428
44,-8,AlexNet,full_training,20,0.00557951
44,-8,AlexNet,full_training,30,0.00484975
44,-8,AlexNet,full_training,40,0.00391843
44,-8,AlexNet,full_training,50,0.00391427
