seed,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
43,conformer,index=11.376320,376320.1201,above_onb,60,-141674072623.7939
43,conformer,index=12.434018,434018.0833,above_onb,60,-115379329957.8837
43,conformer,index=13.496023,496023.3525,above_onb,60,-64056189186.070335
43,conformer,index=14.562158,562158.7854,above_onb,60,633342811.6559274
43,conformer,index=15.633482,633482.536,above_onb,60,-11637811851.386902
43,conformer,index=16.709792,709792.7143,above_onb,60,-72708299711.45502
43,conformer,index=17.789500,789500.1968,above_onb,60,-37448491590.862976
43,conformer,index=18.873637,873637.0359,above_onb,60,182015820661.11435
43,conformer,index=2.2380,2380.025286,below_onb,60,-82682666972.00662
43,conformer,index=3.21242,21242.86319,below_onb,60,-51496195226.61909
43,conformer,index=4.58389,58389.85471,below_onb,60,6898800604.226478
43,conformer,index=5.113188,113188.2901,below_onb,60,486693258089.49365
43,conformer,index=6.146381,146381.6505,below_onb,60,796472453743.9365
43,conformer,index=7.184190,184190.9699,below_onb,60,630260926467.9215
43,conformer,index=8.225704,225704.9618,below_onb,60,-81825925893.07666
43,conformer,index=9.271677,271677.6816,near_onb,60,41349674950.42027
43,alexnet,index=1.0,-1.42e-06,below_onb,60,1374264621952.7256
43,alexnet,index=10.322114,322114.2428,above_onb,60,-1580190215119.7864
43,alexnet,index=11.376320,376320.1201,above_onb,60,-412907477765.5243
43,alexnet,index=12.434018,434018.0833,above_onb,60,-134848576979.08617
43,alexnet,index=13.496023,496023.3525,above_onb,60,-220148182348.4154
43,alexnet,index=14.562158,562158.7854,above_onb,60,-354035945612.8662
43,alexnet,index=15.633482,633482.536,above_onb,60,-421694904546.9984
43,alexnet,index=16.709792,709792.7143,above_onb,60,-533374850674.09375
43,alexnet,index=17.789500,789500.1968,above_onb,60,-907303077755.9572
43,alexnet,index=18.873637,873637.0359,above_onb,60,-1426688249324.5781
43,alexnet,index=2.2380,2380.025286,below_onb,60,792838844255.2104
43,alexnet,index=3.21242,21242.86319,below_onb,60,519797410764.2568
43,alexnet,index=4.58389,58389.85471,below_onb,60,61387534473.36671
43,alexnet,index=5.113188,113188.2901,below_onb,60,115017716190.16786
43,alexnet,index=6.146381,146381.6505,below_onb,60,324886101569.9184
43,alexnet,index=7.184190,184190.9699,below_onb,60,-378338854111.74133
43,alexnet,index=8.225704,225704.9618,below_onb,60,-1611027029299.1665
43,alexnet,index=9.271677,271677.6816,near_onb,60,-1584266523770.18
43,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,462887972053.8936
43,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,-577625367590.2284
43,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,-211019933740.25824
43,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,-86377442223.04692
43,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,-78904605901.84651
43,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,-100541119717.38608
43,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,-94445925903.22986
43,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,-119465736576.93272
43,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,-269863738013.6855
43,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,-482919236954.16516
43,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,241308774622.30084
43,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,164514644425.2686
43,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,21676704709.30833
43,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,184781377267.76953
43,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,431385780635.15454
43,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,149920908177.88336
43,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,-554793206820.8092
43,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,-585078263777.6718
43,equal_offline,index=1.0,-1.42e-06,below_onb,60,413666849996.5305
43,equal_offline,index=10.322114,322114.2428,above_onb,60,-562356914626.1831
43,equal_offline,index=11.376320,376320.1201,above_onb,60,-206684319584.6428
43,equal_offline,index=12.434018,434018.0833,above_onb,60,-85772433892.5105
43,equal_offline,index=13.496023,496023.3525,above_onb,60,-79666507091.83539
43,equal_offline,index=14.562158,562158.7854,above_onb,60,-80954643749.97012
43,equal_offline,index=15.633482,633482.536,above_onb,60,-64410412807.913185
43,equal_offline,index=16.709792,709792.7143,above_onb,60,-76152312791.9701
43,equal_offline,index=17.789500,789500.1968,above_onb,60,-151156194551.4065
43,equal_offline,index=18.873637,873637.0359,above_onb,60,-232506016838.44577
43,equal_offline,index=2.2380,2380.025286,below_onb,60,226726632110.622
43,equal_offline,index=3.21242,21242.86319,below_onb,60,150318092561.04327
43,equal_offline,index=4.58389,58389.85471,below_onb,60,14949242506.623129
43,equal_offline,index=5.113188,113188.2901,below_onb,60,141416175816.72134
43,equal_offline,index=6.146381,146381.6505,below_onb,60,354610857851.29767
43,equal_offline,index=7.184190,184190.9699,below_onb,60,93780399542.15268
43,equal_offline,index=8.225704,225704.9618,below_onb,60,-528666947026.4392
43,equal_offline,index=9.271677,271677.6816,near_onb,60,-564161623087.7247
44,randomforest,index=1.0,-1.42e-06,below_onb,60,-46199951585.52921
44,randomforest,index=10.322114,322114.2428,above_onb,60,23911948128.689415
44,randomforest,index=11.376320,376320.1201,above_onb,60,-77971032181.7983
44,randomforest,index=12.434018,434018.0833,above_onb,60,-2530343974.118297
44,randomforest,index=13.496023,496023.3525,above_onb,60,1067969779.0825765
44,randomforest,index=14.562158,562158.7854,above_onb,60,3249314374.930955
44,randomforest,index=15.633482,633482.536,above_onb,60,1303961010.6649714
44,randomforest,index=16.709792,709792.7143,above_onb,60,4165262726.0309696
44,randomforest,index=17.789500,789500.1968,above_onb,60,-2558090380.666937
44,randomforest,index=18.873637,873637.0359,above_onb,60,-14853390811.26089
44,randomforest,index=2.2380,2380.025286,below_onb,60,22153775273.746056
44,randomforest,index=3.21242,21242.86319,below_onb,60,-22287436972.14136
44,randomforest,index=4.58389,58389.85471,below_onb,60,-1688867557.4318368
44,randomforest,index=5.113188,113188.2901,below_onb,60,-1342821240.044038
44,randomforest,index=6.146381,146381.6505,below_onb,60,39631486661.47487
44,randomforest,index=7.184190,184190.9699,below_onb,60,53115886855.645645
44,randomforest,index=8.225704,225704.9618,below_onb,60,104133855868.62952
44,randomforest,index=9.271677,271677.6816,near_onb,60,-111425614248.88158
44,conformer,index=1.0,-1.42e-06,below_onb,60,134012246087.86328
44,conformer,index=10.322114,322114.2428,above_onb,60,-62738651490.04709
44,conformer,index=11.376320,376320.1201,above_onb,60,-95771263909.05626
44,conformer,index=12.434018,434018.0833,above_onb,60,-67037378869.467865
44,conformer,index=13.496023,496023.3525,above_onb,60,-6618548724.562725
44,conformer,index=14.562158,562158.7854,above_onb,60,146226258486.48962
44,conformer,index=15.633482,633482.536,above_onb,60,292871503441.58954
44,conformer,index=16.709792,709792.7143,above_onb,60,234243910210.21762
44,conformer,index=17.789500,789500.1968,above_onb,60,136742947184.88466
44,conformer,index=18.873637,873637.0359,above_onb,60,-3778493543.112222
44,conformer,index=2.2380,2380.025286,below_onb,60,9276468071.00877
44,conformer,index=3.21242,21242.86319,below_onb,60,29416255207.85096
44,conformer,index=4.58389,58389.85471,below_onb,60,13347700870.22678
44,conformer,index=5.113188,113188.2901,below_onb,60,421282116793.73615
44,conformer,index=6.146381,146381.6505,below_onb,60,812848673506.2777
44,conformer,index=7.184190,184190.9699,below_onb,60,650569682177.5869
44,conformer,index=8.225704,225704.9618,below_onb,60,-206742387338.92798
44,conformer,index=9.271677,271677.6816,near_onb,60,-120714699148.9548
44,alexnet,index=1.0,-1.42e-06,below_onb,60,16363852689.068966
44,alexnet,index=10.322114,322114.2428,above_onb,60,905693016330.1456
44,alexnet,index=11.376320,376320.1201,above_onb,60,106168800370.18097
44,alexnet,index=12.434018,434018.0833,above_onb,60,-29136417767.900917
44,alexnet,index=13.496023,496023.3525,above_onb,60,-47737263018.047134
44,alexnet,index=14.562158,562158.7854,above_onb,60,-87468490085.29324
44,alexnet,index=15.633482,633482.536,above_onb,60,-82834461489.75635
44,alexnet,index=16.709792,709792.7143,above_onb,60,-137542695623.78775
44,alexnet,index=17.789500,789500.1968,above_onb,60,-359292486836.44855
44,alexnet,index=18.873637,873637.0359,above_onb,60,-552152780993.2217
44,alexnet,index=2.2380,2380.025286,below_onb,60,4011514704.0605183
44,alexnet,index=3.21242,21242.86319,below_onb,60,-6582000136.393267
44,alexnet,index=4.58389,58389.85471,below_onb,60,34877835781.170685
44,alexnet,index=5.113188,113188.2901,below_onb,60,464962111573.12616
44,alexnet,index=6.146381,146381.6505,below_onb,60,670448955517.5125
44,alexnet,index=7.184190,184190.9699,below_onb,60,994873309932.2134
44,alexnet,index=8.225704,225704.9618,below_onb,60,336196662528.6476
44,alexnet,index=9.271677,271677.6816,near_onb,60,675221549015.5128
44,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,36116259070.832924
44,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,309747382334.6793
44,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,-33298603529.757652
44,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,-76239961253.48651
44,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,-56417618016.827576
44,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,-46015035874.26957
44,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,5880992028.292179
44,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,-31112489404.56073
44,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,-239241607786.2475
44,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,-548249697711.1002
44,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,-2124198561.530456
44,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,8994588862.87672
44,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,17755678459.1805
