before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
no_noise,-16,alexnet,index=12.434018,434018.0833,above_onb,60,-158795696782.9318
no_noise,-16,alexnet,index=13.496023,496023.3525,above_onb,60,-81717169418.61009
no_noise,-16,alexnet,index=14.562158,562158.7854,above_onb,60,83892511556.7538
no_noise,-16,alexnet,index=15.633482,633482.536,above_onb,60,228678894403.27173
no_noise,-16,alexnet,index=16.709792,709792.7143,above_onb,60,296591688956.5736
no_noise,-16,alexnet,index=17.789500,789500.1968,above_onb,60,151052634305.10968
no_noise,-16,alexnet,index=18.873637,873637.0359,above_onb,60,-259967823924.45068
no_noise,-16,alexnet,index=2.2380,2380.025286,below_onb,60,-3412734064890.9365
no_noise,-16,alexnet,index=3.21242,21242.86319,below_onb,60,-3405215901735.113
no_noise,-16,alexnet,index=4.58389,58389.85471,below_onb,60,-2689719685654.9375
no_noise,-16,alexnet,index=5.113188,113188.2901,below_onb,60,-1587712207355.9443
no_noise,-16,alexnet,index=6.146381,146381.6505,below_onb,60,-1094486009742.2905
no_noise,-16,alexnet,index=7.184190,184190.9699,below_onb,60,-579694902693.379
no_noise,-16,alexnet,index=8.225704,225704.9618,below_onb,60,430199319766.93146
no_noise,-16,alexnet,index=9.271677,271677.6816,near_onb,60,829259415874.5804
no_noise,-16,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,-8186969567712.821
no_noise,-16,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,1082912972938.4092
no_noise,-16,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,301160531659.83813
no_noise,-16,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,-33855282.34333965
no_noise,-16,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,-20254109439.775913
no_noise,-16,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,9333075770.857298
no_noise,-16,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,16829614404.663475
no_noise,-16,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,7867249086.5448065
no_noise,-16,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,-203226592.72063884
no_noise,-16,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,2983268641.04537
no_noise,-16,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,-7998676238507.698
no_noise,-16,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,-7490301746875.943
no_noise,-16,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,-6201651475018.232
no_noise,-16,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,-4311602280440.9683
no_noise,-16,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,-3062422810448.447
no_noise,-16,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,-2088683659590.4866
no_noise,-16,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,-611321606379.0247
no_noise,-16,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,394230967978.3462
no_noise,-16,equal_offline,index=1.0,-1.42e-06,below_onb,60,-4980989869217.746
no_noise,-16,equal_offline,index=10.322114,322114.2428,above_onb,60,1522262511815.9897
no_noise,-16,equal_offline,index=11.376320,376320.1201,above_onb,60,388146727837.332
no_noise,-16,equal_offline,index=12.434018,434018.0833,above_onb,60,35560194035.87452
no_noise,-16,equal_offline,index=13.496023,496023.3525,above_onb,60,6455790925.290621
no_noise,-16,equal_offline,index=14.562158,562158.7854,above_onb,60,28571443318.44229
